Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_upper,BB_middle,BB_lower,ATR_14,STOCH_K,STOCH_D,OBV,CCI_20,Williams_%R,VWAP,CMF_20,MarketCap,PE,EPS,PB,DividendYield
2023-11-10,159.39199829101562,160.0,163.35000610351562,157.0,163.35000610351562,8742,,,,,,,,,,,,,,,8742.0,,,160.11666870117188,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-13,156.4033966064453,157.0,163.1999969482422,153.64999389648438,162.60000610351562,7098,,,,,,,,,,,,,,,1644.0,,,159.14576995734012,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-15,153.21556091308594,153.8000030517578,164.0,151.1999969482422,157.89999389648438,7065,,,,,,,,,,,,,,,-5421.0,,,158.27827968235178,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-16,155.50682067871094,156.10000610351562,158.75,153.25,153.25,9783,,,,,,,,,,,,,,,4362.0,,,157.60640345165908,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-17,156.55282592773438,157.14999389648438,160.4499969482422,153.1999969482422,153.1999969482422,12403,,,,,,,,,,,,,,,16765.0,,,157.42126364226183,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-20,155.75587463378906,156.35000610351562,160.9499969482422,155.10000610351562,157.6999969482422,6678,,,,,,,,,,,,,,,10087.0,,,157.42712084979172,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-21,155.1083526611328,155.6999969482422,157.4499969482422,155.14999389648438,155.14999389648438,14336,,,,,,,,,,,,,,,-4249.0,,,157.13931111019642,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-22,155.2079620361328,155.8000030517578,159.0500030517578,155.10000610351562,157.0,10380,,,,,,,,,,,,,,,6131.0,,,157.07290584004525,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-23,152.9167022705078,153.5,157.0500030517578,152.9499969482422,156.85000610351562,16893,,,,,,,,,,,,,25.193248538961996,34.043767627353645,-10762.0,,,156.60744182972286,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-24,150.6254425048828,151.1999969482422,156.4499969482422,149.0,155.8000030517578,10988,,,,,,,,,,,,,19.6111750011897,27.039157224811657,-21750.0,,,156.1451661858656,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-28,158.19656372070312,158.8000030517578,161.0,154.10000610351562,158.8000030517578,16207,,,,,,,,,,,,,35.65058374991212,26.81833576335461,-5543.0,,,156.39000630556225,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-29,153.7136688232422,154.3000030517578,160.5,150.0,159.6999969482422,12583,,,,,,,,,,,,,48.08113506691516,34.44763127267233,-18126.0,,,156.2523534531976,,12474134528,31.314919,7.24,4.817475,0.22
2023-11-30,153.96270751953125,154.5500030517578,158.3000030517578,150.3000030517578,154.0500030517578,13411,,,,,,,,,,,,,57.361136542426216,47.03095178641783,-4715.0,,,156.08133686760618,,12474134528,31.314919,7.24,4.817475,0.22
2023-12-01,163.1277618408203,163.75,173.64999389648438,153.8000030517578,154.6999969482422,78860,,,,,,,,,,,,,50.084820180091505,51.84236392981095,74145.0,,-40.16225698902233,158.75819616603405,,12474134528,31.314919,7.24,4.817475,0.22
2023-12-04,166.16616821289062,166.8000030517578,173.0,165.5500030517578,169.0,27070,,,,,58.43672771317719,,,,,,,8.29642813546317,59.04124682741607,55.495734516644596,101215.0,,-27.78901639283375,159.79724686707019,,12474134528,31.314919,7.24,4.817475,0.22
2023-12-05,162.62965393066406,163.25,169.39999389648438,162.5500030517578,168.0500030517578,15008,,,,,53.37343021173295,,,,,,,8.193111186124842,62.29969982954723,57.14192227901827,86207.0,,-42.190655057191066,160.09288035835226,,12474134528,31.314919,7.24,4.817475,0.22
2023-12-06,173.1893768310547,173.85000610351562,176.39999389648438,163.89999389648438,165.0,53963,,,,,63.53362845526753,,,,,,,8.547174236864809,72.43042829275197,64.59045831657176,140170.0,,-9.306526864941866,161.9881439743293,,12474134528,31.314919,7.24,4.817475,0.22
2023-12-07,170.4498291015625,171.10000610351562,179.89999389648438,168.14999389648438,175.8000030517578,23621,,,,,59.88762506611533,,,,,,,8.775947505660179,70.84629089526868,68.52547300585596,116549.0,,-28.478930521633412,162.74531691558596,,12474134528,31.314919,7.24,4.817475,0.22
2023-12-08,171.49583435058594,172.14999389648438,179.0,170.39999389648438,177.0,32272,,,,,60.81232150476402,,,,,,,8.763380262649854,70.61495892701514,71.29722603834527,148821.0,,-25.0809111029687,163.6949916333896,,12474134528,31.314919,7.24,4.817475,0.22
2023-12-11,171.99392700195312,172.64999389648438,175.25,168.0,168.0,27916,160.39000091552734,,160.39000091552734,,61.27018567714635,,,,174.48998611254913,160.39000091552734,146.29001571850554,8.655281672460578,59.9427276048339,67.13465914237257,176737.0,120.70973202014146,-23.46278780600298,164.2647550876042,-0.1395206322646679,12474134528,31.314919,7.24,4.817475,0.22
2023-12-12,164.77146911621094,165.39999389648438,174.39999389648438,165.0,174.1999969482422,14818,160.66000061035157,,160.86714310418992,,51.816376158409184,,,,174.92560851910932,160.66000061035157,146.39439270159383,8.708475402747991,40.97320765566537,57.176964729171466,161919.0,70.95876610742532,-46.92557561200596,164.4059142670373,-0.16924530722825196,12474134528,31.314919,7.24,4.817475,0.22
2023-12-13,161.53382873535156,162.14999389648438,169.89999389648438,158.35000610351562,163.5,20002,160.9175003051758,,160.98931937012273,,48.22423776064788,,,,175.0952025075803,160.9175003051758,146.7397981027713,8.911440573478044,28.407199483397324,43.107711581298865,141917.0,18.90732447900828,-57.44337704228315,164.363226243268,-0.17522836447929122,12474134528,31.314919,7.24,4.817475,0.22
2023-12-14,163.1277618408203,163.75,168.10000610351562,161.4499969482422,165.14999389648438,10644,161.41500015258788,,161.25224133487293,,50.0597598371556,,,,175.25299396748517,161.41500015258788,147.5770063376906,8.749909757892,17.719487751240468,29.033298296767722,152561.0,25.20316470837129,-52.26536273951119,164.36488180753727,-0.17162710941172019,12474134528,31.314919,7.24,4.817475,0.22
2023-12-15,163.4764404296875,164.10000610351562,168.35000610351562,162.14999389648438,164.89999389648438,11185,161.81500015258788,,161.5234570271246,,50.473388275514075,,,,175.4767017985802,161.81500015258788,148.15329850659558,8.567774218544804,25.935714726863115,24.020800653833636,163746.0,25.95000951431648,-52.84277932520416,164.37703199264334,-0.18156190074532277,12474134528,31.314919,7.24,4.817475,0.22
