Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_upper,BB_middle,BB_lower,ATR_14,STOCH_K,STOCH_D,OBV,CCI_20,Williams_%R,VWAP,CMF_20,Adj Close
2020-09-21,12.699999809265137,12.9399995803833,11.505000114440918,11.670000076293945,1997820,,,,,,,,,,,,,,,1997820.0,,,12.038333257039389,,11.60762882232666
2020-09-22,11.75,11.819999694824219,11.0,11.454999923706055,998180,,,,,,,,,,,,,,,999640.0,,,11.833988424784136,,11.393777847290039
2020-09-23,11.619999885559082,11.8149995803833,11.305000305175781,11.4399995803833,722210,,,,,,,,,,,,,,,277430.0,,,11.773000554591059,,11.378857612609863
2020-09-24,11.399999618530273,11.399999618530273,11.0,11.0600004196167,676700,,,,,,,,,,,,,,,-399270.0,,,11.67758817981651,,11.000889778137207
2020-09-25,11.385000228881836,11.675000190734863,11.15999984741211,11.420000076293945,872160,,,,,,,,,,,,,,,472890.0,,,11.634658871180303,,11.358963966369629
2020-09-28,11.75,11.899999618530273,11.630000114440918,11.725000381469727,659110,,,,,,,,,,,,,,,1132000.0,,,11.6476724875784,,11.662335395812988
2020-09-29,11.899999618530273,12.079999923706055,11.444999694824219,11.539999961853027,703970,,,,,,,,,,,,,,,428030.0,,,11.651989722802375,,11.478322982788086
2020-09-30,11.680000305175781,11.680000305175781,11.399999618530273,11.444999694824219,388240,,,,,,,,,,,,,,,39790.0,,,11.644042999121485,,11.383831024169922
2020-10-01,11.479999542236328,11.755000114440918,11.145000457763672,11.454999923706055,694160,,,,,,,,,,,,,41.45290679683717,49.813684007714905,733950.0,,,11.626728383308333,,11.393777847290039
2020-10-05,11.739999771118164,11.800000190734863,11.350000381469727,11.524999618530273,853720,,,,,,,,,,,,,38.333455025585856,45.67982176774411,1587670.0,,,11.619912094796927,,11.463403701782227
2020-10-06,11.649999618530273,11.649999618530273,11.484999656677246,11.5,255320,,,,,,,,,,,,,37.254857961944126,39.013739928122384,1332350.0,,,11.617743934892847,,11.438536643981934
2020-10-07,11.595000267028809,11.699999809265137,11.350000381469727,11.390000343322754,471030,,,,,,,,,,,,,38.6713699275079,38.0865609716793,861320.0,,,11.610761895188201,,11.32912540435791
2020-10-08,11.454999923706055,11.520000457763672,11.21500015258789,11.289999961853027,477500,,,,,,,,,,,,,32.503267663259216,36.143165184237084,383820.0,,,11.597610277752269,,11.229660034179688
2020-10-09,11.574999809265137,11.600000381469727,11.300000190734863,11.425000190734863,584390,,,,,,,,,,,,,31.81311863358368,34.329252074783604,968210.0,,-78.09276893498644,11.588809113982641,,11.36393928527832
2020-10-12,11.510000228881836,11.539999961853027,11.199999809265137,11.229999542236328,355160,,,,,39.9999913302365,,,,,,,0.450714179447719,21.34490818840199,28.553764828414966,613050.0,,-78.70374458480725,11.58000525172124,,11.169981002807617
2020-10-13,11.149999618530273,11.385000228881836,11.140000343322754,11.225000381469727,370140,,,,,39.90234467515063,,,,,,,0.4360203013128164,19.02532646255694,24.061117761514208,242910.0,,-79.16662987367346,11.568980872584072,,11.165007591247559
2020-10-14,11.369999885559082,11.399999618530273,11.140000343322754,11.180000305175781,289150,,,,,38.97990270497066,,,,,,,0.4234473708767238,9.958060823393994,16.776098491450977,-46240.0,,-83.33330389893877,11.560613810551084,,11.120247840881348
2020-10-15,11.199999809265137,11.225000381469727,10.805000305175781,10.864999771118164,488580,,,,,33.19500026888394,,,,,,,0.4232011355493825,10.473779261977084,13.15238884930934,-534820.0,,-95.29415812598079,11.53607204885282,,10.806931495666504
2020-10-16,10.899999618530273,11.095000267028809,10.824999809265137,10.875,277040,,,,,33.53224844477477,,,,,,,0.41225822999326034,8.588839173956897,9.673559753109325,-257780.0,,-94.50982621430826,11.522273099071667,,10.816878318786621
2020-10-19,11.399999618530273,11.399999618530273,10.824999809265137,11.055000305175781,656120,11.338500022888184,,11.338500022888184,,39.45678156236143,,,,11.802268243564669,11.338500022888184,10.874731802211699,0.42388262851268005,19.69590985770898,12.919509431214323,398340.0,-106.8887537546907,-80.39215099623466,11.500269923522461,-0.43291397911198376,10.995915412902832
2020-10-20,10.954999923706055,11.100000381469727,10.869999885559082,10.914999961853027,357610,11.300750017166138,,11.298166683741979,,36.71562047421643,,,,11.773267439108574,11.300750017166138,10.828232595223701,0.4100339047553918,23.34266208490435,17.209137038856742,40730.0,-136.26259211498896,-88.94475685136001,11.485620901450368,-0.3781499829679673,10.856663703918457
2020-10-21,11.055000305175781,11.079999923706055,10.84000015258789,10.914999961853027,374820,11.273750019073486,,11.26167461499065,,36.715620474216415,,,,11.769087004117484,11.273750019073486,10.778413034029487,0.39788860949558985,26.33052413146081,23.12303202469138,40730.0,-122.16072379172988,-88.94475685136001,11.470636536032336,-0.42430102448775536,10.856663703918457
2020-10-22,11.03499984741211,11.09000015258789,10.800000190734863,10.880000114440918,428300,11.245750045776367,,11.225324662557341,,35.99066850943385,,,,11.763150035036507,11.245750045776367,10.728350056516227,0.3901822775211211,16.769350172160223,22.14751212950846,-387570.0,-112.48921185625173,-92.00000762939453,11.453834681572786,-0.42203761388113,10.821850776672363
2020-10-23,10.989999771118164,10.989999771118164,10.805000305175781,10.864999771118164,366960,11.23600001335144,,11.1910080062298,,35.66563506338633,,,,11.77397405172511,11.23600001335144,10.698025974977769,0.37552636240835413,14.217988551179571,19.105954284933535,-754530.0,-112.09153221964827,-92.77782134069712,11.43929896956784,-0.4004692595678564,10.806931495666504
2020-10-26,10.899999618530273,11.0,10.65999984741211,10.824999809265137,372120,11.20625,,11.156150082709356,,34.76404016995496,,,,11.765614676848209,11.20625,10.646885323151793,0.37298877599260677,20.555517625330037,17.180952116223278,-1126650.0,-112.51513070276604,-84.1346184706548,11.42382281692635,-0.4237795752282771,10.767144203186035
2020-10-27,10.895000457763672,10.904999732971191,10.710000038146973,10.789999961853027,192370,11.159499979019165,,11.1212786426278,,33.955206694184106,,,,11.693334233310953,11.159499979019165,10.625665724727376,0.36027527019486477,26.188594279990763,20.320700152166793,-1319020.0,-106.81643856916405,-86.170208448738,11.415781080666418,-0.4279142492633346,10.732332229614258
2020-10-28,10.800000190734863,10.859999656677246,10.5600004196167,10.609999656677246,222790,11.112999963760377,,11.072585405870605,,30.07918093778208,,,,11.667764849853894,11.112999963760377,10.55823507766686,0.3559698392566992,25.722110725891653,24.155407543737486,-1541810.0,-125.09754439643822,-95.19238087552807,11.404880053427942,-0.4115257089131332,10.55329418182373
2020-10-29,10.524999618530273,10.694999694824219,10.414999961853027,10.475000381469727,305970,11.064499998092652,,11.015672546403854,,27.540035108443227,,,,11.66259616199823,11.064499998092652,10.466403834187073,0.3505434030934487,16.640955893533558,22.85055363313866,-1847780.0,-145.79406235671425,-94.66662936740451,11.387477817451968,-0.4050021944297874,10.419015884399414
2020-10-30,10.595000267028809,10.720000267028809,10.414999961853027,10.515000343322754,273340,11.017500019073486,,10.96798947944375,,29.44062828929546,,,,11.632946982592735,11.017500019073486,10.402053055554237,0.3472903246707582,12.261461857041041,18.208176158822084,-1574440.0,-126.7597942490387,-89.84767346954584,11.372883209458406,-0.43961046675608245,10.458802223205566
2020-11-02,10.449999809265137,10.585000038146973,10.199999809265137,10.255000114440918,294960,10.95400004386902,,10.900085730395862,,24.87364594915887,,,,11.607770668571805,10.95400004386902,10.300229419166234,0.34998388925726376,11.717341692037138,13.539919814203913,-1869400.0,-162.59961355775698,-95.41664050684619,11.35394115866144,-0.47557158617985085,10.200191497802734
2020-11-03,10.390000343322754,10.390000343322754,9.800000190734863,9.960000038146973,468220,10.877000045776366,,10.810553759705492,,20.910195500924168,,,,11.612991922603438,10.877000045776366,10.141008168949295,0.36712790806659423,13.32995886388825,12.436254137655476,-2337620.0,-211.93925034834953,-90.00000596046661,11.316822645709076,-0.4630002963447337,9.906767845153809
2020-11-04,10.0,10.149999618530273,9.90999984741211,10.024999618530273,337170,10.808750009536743,,10.735739079593566,,23.79163648120354,,,,11.593351091308564,10.808750009536743,10.024148927764921,0.35804732685599205,15.784084306225372,13.61046162071692,-2000450.0,-181.71173710928295,-85.93753073365596,11.290940518616559,-0.42465107129234625,9.971420288085938
2020-11-05,10.024999618530273,11.869999885559082,10.024999618530273,11.585000038146973,6508550,10.82350001335144,,10.816621075646271,,60.750657453437654,,,,11.653512739235797,10.82350001335144,9.993487287467083,0.4642582511540504,41.927559915638774,23.680534361917466,4508100.0,70.5257559668887,-13.768110600437124,11.254354346387299,0.1152532476986904,11.523083686828613
2020-11-06,11.5,11.699999809265137,11.09000015258789,11.170000076293945,2235170,10.810750007629395,,10.850276218565098,,53.33966859006461,-0.19685220773036427,-0.2875526137185991,0.09070040598823481,11.610701781545597,10.810750007629395,10.010798233713192,0.47466835154856435,58.95730867413315,38.889650965332436,2272930.0,109.70028949063833,-33.81642089201272,11.260101885916077,0.0004718280268766237,11.11030101776123
2020-11-09,11.25,11.28499984741211,10.744999885559082,10.895000457763672,769870,10.794000053405762,,10.854535669917343,,49.068047940917715,-0.1707243459076242,-0.2641869601564041,0.09346261424877988,11.57186006005321,10.794000053405762,10.016140046758315,0.47933489514174027,68.43801331028543,56.44096063335246,1503060.0,36.431954779726716,-47.101428576693856,11.25175586486414,-0.002727374153062998,10.836771011352539
2020-11-10,10.970000267028809,11.100000381469727,10.8100004196167,10.949999809265137,722600,10.780250024795532,,10.863627492712371,,49.93165417407898,-0.1439208096485789,-0.24013373005483904,0.09621292040626014,11.536573279100192,10.780250024795532,10.02392677049087,0.4658109713354036,57.3811240140328,61.59214866615047,2225660.0,36.143247151845074,-44.44445468249551,11.24377555974915,0.0028773587813254527,10.89147663116455
2020-11-11,11.050000190734863,11.050000190734863,10.805000305175781,10.96500015258789,472090,10.769500017166138,,10.873282031748134,,50.179772855015635,-0.12008415630707248,-0.21612381530528574,0.09603965899821326,11.508708430914794,10.769500017166138,10.030291603417481,0.45003875092280926,52.3027746638611,59.37397066272646,2697750.0,37.92729551024735,-43.71980030886152,11.238559464010828,0.024221776735399967,10.906394958496094
2020-11-12,10.975000381469727,11.494999885559082,10.930000305175781,11.199999809265137,1412290,10.786250019073487,,10.904398010559278,,54.023747396179836,-0.08129382388227135,-0.18915781702068285,0.1078639931384115,11.548187550830315,10.786250019073487,10.024312487316658,0.45825023874141585,50.551242481067,53.41171371965365,4110040.0,101.1241725538264,-32.367158215974555,11.237082669927457,0.039714228801326926,11.14013957977295
2020-11-13,11.517612712652928,11.691820532418577,11.348382367664154,11.39815616607666,2310840,10.766031503677368,11.149590148925782,10.901176561619836,11.149590148925782,57.759623008336256,-0.0100982197156085,-0.1233547892202808,0.1132565695046722,11.577069584010962,10.766031503677368,9.954993423343774,0.4684033968487788,67.87440427100604,60.86957384251432,20867740.0,161.5427947381434,-20.289867446250337,11.62764834078486,-0.0413755268163932,
2020-11-14,11.348382327506853,11.447929923979604,11.179151983116917,11.418066024780272,215970,10.786687564849853,11.144518356323244,10.950404129539876,11.160118614645564,58.04254266765228,0.0302633492783925,-0.0926311615205461,0.1228945107989387,11.640906486954425,10.786687564849853,9.932468642745285,0.4541444357069152,76.00644985536537,67.90124199248226,21083710.0,122.21842815161068,-19.323663192306817,11.626559142156568,-0.0263026655083927,
2020-11-17,11.41806628724742,11.41806628724742,11.0348092661805,11.18412971496582,416270,10.802615118026733,11.136353816986084,10.972663709104252,11.16106022642283,53.5076659189926,0.0428791937269164,-0.0655290904710536,0.10840828419797,11.673834097910747,10.802615118026733,9.931396138142718,0.4490810489469156,76.57004200636598,73.4836320442458,20667440.0,85.02673754880085,-30.67634334234492,11.62346846309938,-0.0194946823170074,
2020-11-18,11.184129381783716,11.34838225029688,11.069650311168289,11.228925704956056,453200,10.820782470703126,11.133843021392822,10.99706961347109,11.163721617737858,54.244865504586016,0.0558482198470393,-0.041253628407435,0.0971018482544743,11.711432549069976,10.820782470703126,9.930132392336274,0.4369132553884638,73.83251728112558,75.46966971428564,21120640.0,79.03645605032901,-28.502441621971546,11.620182341168665,-0.0084808811559563,
2020-11-19,11.149287973491925,11.437974861176183,11.049741327361346,11.134356498718262,678220,10.83596339225769,11.13300926208496,11.010144554923205,11.162570044442973,52.35740809790194,0.0578287085336128,-0.0214371610192254,0.0792658695528383,11.737063626418704,10.83596339225769,9.93486315809668,0.433436132418919,69.24314349322641,73.21523426023931,20442420.0,70.70308622957884,-33.09178455600427,11.615263526369816,-0.0183851880029952,
2020-11-20,11.413088691768774,11.413088691768774,11.099514423534456,11.129379272460938,397650,10.85164213180542,11.128705825805664,11.021500242307749,11.161268445541715,52.25435445863344,0.0583243131474819,-0.0054848661858839,0.0638091793333659,11.761661713970785,10.85164213180542,9.941622549640057,0.4248745706914476,68.35748325757798,70.47771467730998,20044770.0,65.59982718821793,-33.33332404929024,11.612479728236195,-0.0284802249975668,
2020-11-23,11.343405432354082,11.343405432354082,11.094537398640544,11.13933277130127,359450,10.869809484481811,11.124006690979003,11.03272238792618,11.160408223022484,52.455891543328,0.0588419541268354,0.0073804978766599,0.0514614562501755,11.787537021022594,10.869809484481811,9.952081947941029,0.4123026751930255,66.29366320645018,67.96476331908485,20404220.0,56.69139214742929,-34.693901775354945,11.609861967802257,-0.0400025923622204,
2020-11-24,11.293632668789895,11.40811174692425,11.164221165498596,11.328474044799805,743890,10.899175930023194,11.11823341369629,11.060889212390334,11.166999039562771,56.236233742938005,0.073665142476619,0.0206374267966517,0.0530277156799672,11.83594591864909,10.899175930023194,9.962405941397298,0.4020509823665937,68.4715205006358,67.70755565488798,21148110.0,70.40766255026784,-26.558212673447382,11.605919935205774,-0.0239465450373958,
2020-11-25,11.348382412268732,11.497703808093153,11.079605418754769,11.378247261047363,1042990,10.939990377426149,11.114446811676023,11.091113788452908,11.17528328354256,57.20065246822951,0.0884097757564355,0.0341918965886084,0.054217879167827,11.88552380302097,10.939990377426149,9.994456951831324,0.4031972257217218,69.0826341896926,67.94927263225952,22191100.0,67.8168803695285,-31.49998298211991,11.600879081555869,0.0061809683143091,
