Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_upper,BB_middle,BB_lower,ATR_14,STOCH_K,STOCH_D,OBV,CCI_20,Williams_%R,VWAP,CMF_20,MarketCap,PE,EPS,PB,DividendYield,EMA_200
2024-07-10,350.3500061035156,350.3500061035156,372.0,336.0,356.0,27300400,,,,,,,,,,,,,,,27300400.0,,,352.78333536783856,,57002647552,37.328205,9.75,4.4798813,,
2024-07-11,362.6000061035156,362.6000061035156,369.2000122070313,344.0,353.3999938964844,6824732,,,,,,,,,,,,,,,34125132.0,,,353.9466193341317,,57002647552,37.328205,9.75,4.4798813,,
2024-07-12,356.75,356.75,364.0,354.0,360.75,1726253,,,,,,,,,,,,,,,32398879.0,,,354.15382817096184,,57002647552,37.328205,9.75,4.4798813,,
2024-07-15,353.3500061035156,353.3500061035156,359.75,345.1000061035156,359.75,1350802,,,,,,,,,,,,,,,31048077.0,,,354.1022505104541,,57002647552,37.328205,9.75,4.4798813,,
2024-07-16,357.45001220703125,357.45001220703125,360.0,349.70001220703125,354.95001220703125,1115273,,,,,,,,,,,,,,,32163350.0,,,354.1492401550157,,57002647552,37.328205,9.75,4.4798813,,
2024-07-18,350.3999938964844,350.3999938964844,357.0,345.8999938964844,357.0,754784,,,,,,,,,,,,,,,31408566.0,,,354.09033591720464,,57002647552,37.328205,9.75,4.4798813,,
2024-07-19,346.79998779296875,346.79998779296875,351.5,345.0,349.25,928215,,,,,,,,,,,,,,,30480351.0,,,353.94359439030603,,57002647552,37.328205,9.75,4.4798813,,
2024-07-22,341.6000061035156,341.6000061035156,345.0,337.1000061035156,345.0,416258,,,,,,,,,,,,,,,30064093.0,,,353.8126894938669,,57002647552,37.328205,9.75,4.4798813,,
2024-07-23,343.8500061035156,343.8500061035156,346.3999938964844,325.1000061035156,339.0,581534,,,,,,,,,,,,,27.61640599493079,25.758229240019507,30645627.0,,,353.59477958622244,,57002647552,37.328205,9.75,4.4798813,,
2024-07-24,346.54998779296875,346.54998779296875,349.70001220703125,338.0,345.0,259595,,,,,,,,,,,,,46.87231093259391,30.88746887544912,30905222.0,,,353.5391280973715,,57002647552,37.328205,9.75,4.4798813,,
2024-07-25,356.95001220703125,356.95001220703125,359.54998779296875,341.5,344.5,546813,,,,,,,,,,,,,71.13972319463134,48.54281337405201,31452035.0,,,353.5277161336401,,57002647552,37.328205,9.75,4.4798813,,
2024-07-26,357.29998779296875,357.29998779296875,359.54998779296875,351.0,358.95001220703125,341123,,,,,,,,,,,,,84.38767456852715,67.4665695652508,31793158.0,,,353.54732174834385,,57002647552,37.328205,9.75,4.4798813,,
2024-07-29,360.04998779296875,360.04998779296875,367.0,357.20001220703125,362.7000122070313,555624,,,,,,,,,,,,,89.77818173593612,81.76852649969821,32348782.0,,,353.6497164306384,,57002647552,37.328205,9.75,4.4798813,,
2024-07-30,354.54998779296875,354.54998779296875,361.0,350.1000061035156,360.1000061035156,305034,,,,,,,,,,,,,77.98352386213999,84.04979338886774,32043748.0,,-37.20685389756373,353.6608304051432,,57002647552,37.328205,9.75,4.4798813,,
2024-07-31,352.5,352.5,356.8999938964844,350.1000061035156,355.0,161023,,,,,51.5937690734915,,,,,,,12.499995640345984,61.20634486806686,76.32268348871432,31882725.0,,-37.86850316490077,353.6589870786623,,57002647552,37.328205,9.75,4.4798813,,
2024-08-01,369.8500061035156,369.8500061035156,386.0,365.2999877929688,375.0,2264338,,,,,62.09421937986801,,,,,,,13.99999595174984,51.740038418584014,63.64330238293029,34147063.0,,-26.51887605101497,354.65866925010283,,57002647552,37.328205,9.75,4.4798813,,
2024-08-02,375.5499877929688,375.5499877929688,381.0,360.04998779296875,362.0,676581,,,,,64.79604100912717,,,,,,,14.49642568426994,56.347505927487866,56.43129640471292,34823644.0,,-17.159299268229496,354.91606552122045,,57002647552,37.328205,9.75,4.4798813,,
2024-08-05,359.20001220703125,359.20001220703125,367.8999938964844,343.54998779296875,365.5499877929688,1158216,,,,,53.10363669561748,,,,,,,15.746680992536373,54.25740400979657,54.11498278528949,33665428.0,,-44.00655251053458,354.96427120549413,,57002647552,37.328205,9.75,4.4798813,,
2024-08-06,360.04998779296875,360.04998779296875,364.6000061035156,353.1000061035156,361.5499877929688,476085,,,,,53.5726693651414,,,,,,,15.443346635926632,48.87584062427266,53.1602501871857,34141513.0,,-42.6108617533528,355.007008041066,,57002647552,37.328205,9.75,4.4798813,,
2024-08-07,359.20001220703125,359.20001220703125,363.3500061035156,354.5,363.3500061035156,367845,355.74499969482423,,355.74499969482423,,53.00179675846044,,,,371.7974723283244,355.74499969482423,339.69252706132403,14.972393740754416,37.53438169032106,46.88920877479677,33773668.0,43.61035606860349,-44.00655251053458,355.0376652627511,-0.0528477952163798,57002647552,37.328205,9.75,4.4798813,,
2024-08-08,351.75,351.75,359.0,350.3999938964844,359.0,137633,355.81499938964845,,355.3645235334124,,48.157861530491125,,,,371.7847549031949,355.81499938964845,339.845243876102,14.531509781453876,32.54402750957818,39.651416608057296,33636035.0,-15.201851748836416,-56.239742910675695,355.03389696824985,0.1383893668145092,57002647552,37.328205,9.75,4.4798813,,
2024-08-09,351.8500061035156,351.8500061035156,358.70001220703125,349.0,357.79998779296875,155534,355.2774993896484,,355.029807587708,,48.22626394713918,,,,371.0196224133363,355.2774993896484,339.53537636596053,14.18640281185226,30.949714902886964,33.6760413675954,33791569.0,-18.351729901670147,-56.07552925954526,355.0279506326429,-0.0290688269518496,57002647552,37.328205,9.75,4.4798813,,
2024-08-12,340.8500061035156,340.8500061035156,352.3999938964844,339.0,349.6000061035156,251510,354.48249969482424,,353.6793503034992,,41.707651832615525,,,,371.4083143023544,354.48249969482424,337.5566850872941,14.13023074646884,21.06959339289328,28.18777860178613,33540059.0,-107.184383944872,-94.06248728434244,354.97137537626594,0.014034079269121,57002647552,37.328205,9.75,4.4798813,,
2024-08-13,333.20001220703125,333.20001220703125,347.70001220703125,326.25,344.0,232099,353.475,,351.7289371514546,,37.8735742198941,,,,372.7818724545158,353.475,334.16812754548425,14.653072279366157,20.01535901066349,24.01155576881457,33307960.0,-165.93358318446784,-88.36818040664225,354.8799611156644,-0.0062116829810245,57002647552,37.328205,9.75,4.4798813,,
2024-08-14,332.95001220703125,332.95001220703125,341.20001220703125,325.95001220703125,333.0,221266,352.25,,349.9404681091286,,37.7514386199239,,,,373.4124125360536,352.25,331.0875874639464,14.695709973697143,15.7132687196389,18.932740374398552,33086694.0,-155.1592853883536,-88.34304509081078,354.7830298079812,-0.0605844287978086,57002647552,37.328205,9.75,4.4798813,,
2024-08-16,333.25,333.25,338.0,326.1499938964844,335.5,315078,351.39250030517576,,348.350899717783,,38.00977018889103,,,,374.117420039315,351.39250030517576,328.6675805710365,14.492445411541322,20.73442020083694,18.82101597704644,33401772.0,-136.0442197382398,-87.8434816371045,354.6407619667473,-0.0433266804264854,57002647552,37.328205,9.75,4.4798813,,
2024-08-19,360.6000061035156,360.6000061035156,363.8999938964844,333.3999938964844,335.79998779296875,1100137,352.08250122070314,,349.517481278329,,55.95600645644724,,,,375.044534454709,352.08250122070314,329.12046798669724,15.646556017608685,44.9248176463852,27.124168855620344,34501909.0,8.723646526399547,-42.29808336357141,354.59705089575937,0.0786551374963262,57002647552,37.328205,9.75,4.4798813,,
2024-08-20,361.9500122070313,361.9500122070313,370.25,357.1000061035156,365.0,700906,353.1000015258789,,350.7015318429673,,56.62353112106528,,,,375.9168978220929,353.1000015258789,330.2831052296649,15.468230151814089,64.95284853463143,43.53736212728452,35202815.0,81.37500745716035,-40.04994618131256,354.7133965916826,0.0542068584797711,57002647552,37.328205,9.75,4.4798813,,
2024-08-21,356.8500061035156,356.8500061035156,363.7999877929688,354.0,363.7999877929688,174508,353.75000152587893,,351.2871008201624,,53.33492427190096,,,,376.2137674700804,353.75000152587893,331.28623558167743,15.063355697610849,80.77340166210209,63.55035594770624,35028307.0,39.11000440733381,-48.54288063635135,354.7252907128187,0.0067843969940527,57002647552,37.328205,9.75,4.4798813,,
2024-08-22,352.45001220703125,352.45001220703125,360.5,348.25,359.25,207660,354.04500274658204,,351.3978542855785,,50.60426095538995,,,,376.2765711215295,354.04500274658204,331.81343437163457,14.862401719210071,70.21768355497669,71.98131125057006,34820647.0,-2.233532454880589,-51.861933013208215,354.7212992080373,-0.0110650297379275,57002647552,37.328205,9.75,4.4798813,,
2024-08-23,352.29998779296875,352.29998779296875,360.9500122070313,351.0,355.1000061035156,150103,353.81250152587893,,351.4837717624728,,50.5093049548551,,,,376.0149249202767,353.81250152587893,331.6100781314812,14.511516754054442,60.22596811997129,70.40568444568335,34670544.0,5.894833047824519,-40.51922607951657,354.721382444665,-0.061762228931007,57002647552,37.328205,9.75,4.4798813,,
2024-08-26,372.0499877929688,372.0499877929688,375.5,360.4500122070313,362.8999938964844,1693795,354.5500015258789,,353.44245900347244,,60.90864720789703,,,,378.10548174938623,354.5500015258789,330.99452130237154,15.132123572124216,66.08853688661378,65.51072952052058,36364339.0,120.30541933758444,-6.962690326879987,355.184418905598,0.0124700591988657,57002647552,37.328205,9.75,4.4798813,,
2024-08-28,385.25,385.25,390.2000122070313,381.7000122070313,387.6000061035156,555693,355.8100021362305,,356.4717486221893,,66.04421030855569,,,,382.846241776428,355.8100021362305,328.773762496033,15.34768791797695,75.60953396608166,67.30801299088891,36920032.0,211.6813193295913,-7.7042991549124515,355.498576952967,0.024936082525076,57002647552,37.328205,9.75,4.4798813,,
2024-08-29,404.75,404.75,410.2000122070313,380.2999877929688,382.0,1818740,358.320002746582,,361.069677324838,,71.91422003551163,7.204601384222372,1.7646361436523346,5.439965240570037,392.7360599376437,358.320002746582,323.9039455555203,16.387140524840202,88.91406073844666,76.87071053038069,38738772.0,231.9800388961032,-6.46885721902819,356.8968139582668,0.1165163579403207,57002647552,37.328205,9.75,4.4798813,,
2024-08-30,404.7000122070313,404.7000122070313,415.7000122070313,402.3500061035156,410.0,708263,360.9300033569336,,365.2249473136183,,71.87991589199935,9.604234434106274,3.3325558017431227,6.271678632363152,400.6875579717556,360.9300033569336,321.1724487421116,16.170202351888445,87.46707836104969,83.99689102185933,38030509.0,216.20739622191311,-12.256267409470752,357.5318254704235,0.080954901701817,57002647552,37.328205,9.75,4.4798813,,
2024-09-02,412.2999877929688,412.2999877929688,423.5,397.5499877929688,407.5,766323,363.0525024414063,,369.7082845021279,,73.9170578865392,11.981104711564685,5.062265583707434,6.9188391278572485,408.5992356929582,363.0525024414063,317.50576918985433,16.86876019868436,85.47910665002524,87.28674858317386,38796832.0,191.58040260982025,-11.481305595651268,358.2484650960945,0.2069246970949159,57002647552,37.328205,9.75,4.4798813,,
2024-09-03,438.8999938964844,438.8999938964844,443.8999938964844,413.2000122070313,415.0499877929688,1403945,366.22000274658205,,376.2979711111142,,79.51162434348255,15.82872601741434,7.215557670448815,8.613168346965525,422.377848513117,366.22000274658205,310.0621569800471,17.92099204902945,85.7910402425166,86.24574175119717,40200777.0,210.54985597412536,-4.239085015853878,360.0122902319946,0.2443639077826231,57002647552,37.328205,9.75,4.4798813,,
2024-09-04,431.3999938964844,431.3999938964844,445.0,428.1499938964844,434.7000122070313,444768,369.8300018310547,,381.54578280495895,,74.6497636896153,18.0645691941636,9.385359975191772,8.679209218971824,432.61061558565,369.8300018310547,307.0493880764594,17.84449305292132,84.45152163717438,85.24055617657207,39756009.0,172.5802598498828,-11.423777822780137,360.5750335454938,0.208221853506952,57002647552,37.328205,9.75,4.4798813,,
2024-09-05,427.25,427.25,440.0,416.0,434.0,628437,373.1900024414063,,385.8985653949629,,72.02537424051934,19.27938049823149,11.364164079799716,7.915216418431774,440.5437592039264,373.1900024414063,305.83624567888614,18.2841721205698,77.90349309091582,82.71535165686893,39127572.0,127.45883029399968,-14.934790987339252,361.2812464142146,0.1940659417620094,57002647552,37.328205,9.75,4.4798813,,
2024-09-06,429.3999938964844,429.3999938964844,450.2000122070313,424.1499938964844,429.25,686737,376.7000015258789,,390.041558585584,,72.56352336393111,20.18295718121533,13.127922700082838,7.055034481132491,447.9742383738248,376.7000015258789,305.42576467793305,18.83887541985388,67.3553081467514,76.5701076249472,39814309.0,121.30040773431716,-17.808232063152566,362.1138002617143,0.1540209929530676,57002647552,37.328205,9.75,4.4798813,,
2024-09-09,428.6499938964844,428.6499938964844,440.0,419.2000122070313,429.0,605917,380.5450012207031,,393.71855242471736,,72.04288261816251,20.60105336097513,14.622548832261296,5.978504528713833,454.2751888908656,380.5450012207031,306.81481355054063,18.978954875076365,54.94757663747486,66.73545929171404,39208392.0,96.6191512391326,-21.137828082634226,362.78023948076407,0.1514431173683614,57002647552,37.328205,9.75,4.4798813,,
