Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_upper,BB_middle,BB_lower,ATR_14,STOCH_K,STOCH_D,OBV,CCI_20,Williams_%R,VWAP,CMF_20,MarketCap,PE,EPS,PB,DividendYield
2023-11-01,380.0,417.9500122070313,378.0,413.3999938964844,411.8835144042969,22439980,,,,,,,,,,,,,,,,22439980.0,,,403.1166687011719,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-02,423.0,433.3999938964844,403.3999938964844,406.9500122070313,405.4571838378906,4315489,,,,,,,,,,,,,,,,18124491.0,,,404.96616964196204,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-03,409.7999877929688,413.2000122070313,386.0499877929688,389.8500061035156,388.4198913574219,1466942,,,,,,,,,,,,,,,,16657549.0,,,404.5191855374118,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-06,372.0,393.75,357.3500061035156,382.5,381.0968322753906,2137882,,,,,,,,,,,,,,,,14519667.0,,,402.6423941639262,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-07,382.0,387.25,376.25,381.7000122070313,380.2998046875,657524,,,,,,,,,,,,,,,,13862143.0,,,402.1991583734093,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-08,385.0,408.7999877929688,385.0,405.2999877929688,403.8132019042969,1164406,,,,,,,,,,,,,,,,15026549.0,,,402.1087343998725,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-09,406.5,419.8999938964844,401.0499877929688,404.0499877929688,402.56781005859375,945054,,,,,,,,,,,,,,,,14081495.0,,,402.2863092879889,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-10,399.0,402.7000122070313,376.6499938964844,387.75,386.3276062011719,666783,,,,,,,,,,,,,,,,13414712.0,,,402.0248178392136,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-13,403.0,415.0,398.0499877929688,400.25,398.78173828125,502996,,,,,,,,,,,,,,59.414733822947476,59.365053092365486,13917708.0,,,402.0601407431032,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-15,403.75,406.8999938964844,391.3500061035156,392.5499877929688,391.1099853515625,444278,,,,,,,,,,,,,,46.782312019157196,56.10034711890348,13473430.0,,,401.9945782189304,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-16,395.0,396.0,384.0,389.1499938964844,387.7224731445313,817395,,,,,,,,,,,,,,40.2158504432674,48.8042987617907,12656035.0,,,401.71234357617203,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-17,391.0,394.0,379.0,381.4500122070313,380.05072021484375,374541,,,,,,,,,,,,,,26.060356262716834,37.68617290838048,12281494.0,,,401.5362359688947,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-20,381.0,398.0,381.0,393.2000122070313,391.7576293945313,518920,,,,,,,,,,,,,,26.95418515761438,31.076797287866203,12800414.0,,,401.38244986923496,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-21,393.9500122070313,401.2000122070313,384.0,389.6499938964844,388.22064208984375,446158,,,,,,,,,,,,,,30.044283617938465,27.686275012756557,12354256.0,,-57.52795137732413,401.2643664961154,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-22,390.0,392.0,382.2999877929688,385.3500061035156,383.9364318847656,208898,,,,,,38.6666660090485,,,,,,,20.82857186453683,35.40670773554568,30.801725503699505,12145358.0,,-63.18211111851255,401.1815308645703,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-23,385.75,386.0,379.2999877929688,383.7000122070313,382.29248046875,236856,,,,,,38.11931351841265,,,,,,,19.819389031857856,29.315619790078035,31.58887038118739,11908502.0,,-57.873683060130524,401.0662140020987,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-24,382.0,384.2999877929688,370.0499877929688,374.2999877929688,372.9269104003906,375797,,,,,,35.07325803888708,,,,,,,19.421575529582295,21.139492967657215,28.620606831093642,11532705.0,,-72.901702642125,400.8186420261669,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-28,376.0,377.7000122070313,358.6000061035156,364.75,363.4119873046875,450131,,,,,,32.253402901460476,,,,,,,19.398606284863252,16.41715561887389,22.29075612553638,11082574.0,,-89.96738153153467,400.4200226322821,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-29,366.8999938964844,372.0,362.25,364.4500122070313,363.1130676269531,478518,,,,,,32.1659182047062,,,,,,,18.709420121658734,15.198414624909498,17.585021070480202,10604056.0,,-90.45675812648908,399.9967481474849,,97478893568,39.324703,14.29,7.1667237,0.22
2023-11-30,366.0,366.7999877929688,355.5,360.1000061035156,358.7790222167969,369766,387.52000122070314,,387.52000122070314,,,30.858824005018505,,,,415.6678264794541,387.52000122070314,359.37217596195217,18.18017495532374,15.677860693871288,15.764476979218225,10234290.0,-164.92633086541665,-92.85713270266825,399.6252911560886,0.3121054500887799,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-01,362.2000122070313,364.0,344.75,346.95001220703125,345.6772766113281,736101,384.19750213623047,,383.65619274321057,,,27.25343191538227,,,,414.9118971923942,384.19750213623047,353.48310708006676,18.256591029943472,12.719863451604345,14.532046256795043,9498189.0,-183.67737371093187,-96.8683100255783,398.7415998340031,-0.33027333218416494,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-04,350.54998779296875,358.0,332.8999938964844,355.3999938964844,354.09625244140625,977080,381.6200012207031,,380.9651261863795,,,32.69513089312998,,,,412.91095795019993,381.6200012207031,350.3290444912063,18.745406392341483,23.622597526285734,17.340107223920455,10475269.0,-173.21352059972364,-72.59439911413537,397.54278521463084,-0.11803700001038236,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-05,355.3999938964844,369.9500122070313,355.3999938964844,360.25,358.928466796875,503045,380.14000091552737,,378.99225702577195,,,35.669599960802465,,,,412.51516367641887,380.14000091552737,347.76483815463587,18.445735815070442,41.911553050021126,26.08467134263707,10978314.0,-92.95686393811798,-63.04053229254645,397.10755077206124,-0.05848890332749314,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-06,360.5499877929688,362.8999938964844,346.04998779296875,348.5,347.2215576171875,349922,378.4400009155273,,376.088232547127,,,31.98196151479883,,,,413.592457106319,378.4400009155273,343.28754472473565,18.331755121387953,54.092435459055345,39.87552867845407,10628392.0,-119.3232475673044,-77.15958723087684,396.7320500008754,-0.16265059230590076,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-07,348.6499938964844,352.45001220703125,341.25,350.04998779296875,348.765869140625,251113,376.85749969482424,,373.60839971339766,,,32.96646512195351,,,,414.06974190202016,376.85749969482424,339.6452574876283,17.822344913219617,52.78095739625129,49.59498196844259,10879505.0,-119.04430820910677,-74.89020600476756,396.4390415420409,-0.15494426285391738,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-08,351.8999938964844,353.45001220703125,336.0,339.45001220703125,338.2048034667969,907573,373.5650009155273,,370.3552199508866,,,29.79078714567721,,,,411.7678512728974,373.5650009155273,335.3621505581572,17.795749719920448,35.357623830880755,47.410338895395796,9971932.0,-121.83316982919409,-90.40993183813625,395.3036530980985,-0.2884961861618375,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-11,341.29998779296875,341.45001220703125,330.95001220703125,332.75,331.52935791015625,248256,370.00000152587893,,366.77377043175454,,,27.95755019995982,,,,409.4452403741618,370.00000152587893,330.55476267759605,17.27462473992613,22.86098866174703,36.99985662962636,9723676.0,-135.3721382446182,-97.43773979648577,394.95571542936807,-0.26010265947629346,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-12,333.0,339.0,319.5,322.1000061035156,320.91845703125,515490,366.7175018310547,,362.5191262100175,,,25.29315814271465,,,,410.4061396438582,366.7175018310547,323.02886401825117,17.43358011564569,9.428334910362905,22.548982467663564,9208186.0,-145.8438844377227,-96.41378468480603,394.14896460275384,-0.29292846890489443,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-13,320.0,348.70001220703125,320.0,343.20001220703125,341.9410400390625,2174828,363.86500244140626,,360.67921059068544,,,37.91695342567208,,,,405.8397429387541,363.86500244140626,321.8902619440584,18.238325265030372,26.804901486817517,19.698075019642484,11383014.0,-100.43150365367237,-64.36088389920113,391.4424838293215,-0.09938551305246182,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-14,346.0,353.0,331.8999938964844,333.79998779296875,332.57550048828125,1234411,360.92750244140626,,358.1192846099505,,,35.07353853643245,,,,402.6836823320273,360.92750244140626,319.17132255078525,18.442731039207892,39.306688625486224,25.179975007555544,10148603.0,-84.62253641306378,-77.93211344629238,390.07757835269547,-0.1452067430011608,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-15,335.0,350.95001220703125,332.6000061035156,347.20001220703125,345.9263610839844,867123,358.8300033569336,,357.0793539049106,,,41.776495511261736,,,,398.88456042926896,358.8300033569336,318.7754462845983,18.43610782951559,64.87195705449626,43.661182388933334,11015726.0,-62.99375630547405,-52.405487290113086,389.2338472263969,-0.09320207486212535,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-18,348.5,358.79998779296875,345.04998779296875,352.5,351.2069091796875,510338,357.382502746582,,356.64322496158576,,,44.22898529437235,,,,396.1338554793224,357.382502746582,318.63115001384165,18.101385841693048,69.59227002171073,57.92363856723108,11526064.0,-24.907279463035866,-37.14285714285714,388.8416148353756,-0.0683216094923724,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-19,355.0,373.4500122070313,352.1499938964844,362.0,360.6720581054688,1235687,355.82250213623047,,357.1533940128633,,,48.42271790649969,,,,391.03071695020924,355.82250213623047,320.6142873222517,18.329859589468324,81.74472925717201,72.06965211112635,12761751.0,26.670342260212873,-21.223372782738736,388.18525967991906,-0.0889481178395095,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-20,363.8999938964844,371.9500122070313,348.25,354.54998779296875,353.2493896484375,622099,354.0675018310547,,356.9054505633496,,,45.531240920669866,-12.42334101703284,-17.225400485291736,4.802059468258896,385.6707026957666,354.0675018310547,322.4643009663428,18.71344191929425,72.3533936116451,74.56346429684264,12139652.0,16.799075420101012,-35.03247476855866,387.81393001537907,-0.09820418231885318,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-21,356.0,360.6000061035156,347.04998779296875,358.6499938964844,357.3343200683594,334004,352.7325012207031,,357.07159754745766,,,47.39301174084463,-10.897907201735336,-15.959901828580456,5.06199462684512,381.01879172284265,352.7325012207031,324.4462107185636,18.344625947240868,65.62017984482121,73.23943423787945,12473656.0,11.767176110257587,-27.432835888437566,387.5997046432742,-0.07371019076209655,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-22,361.0,368.0,354.54998779296875,361.2999877929688,359.974609375,469041,351.6125,,357.4743013803635,,,48.615530876932,-9.367178548985123,-14.64135717266139,5.274178623676267,376.47169623256974,351.6125,326.7533037674303,17.995010680083038,58.500235922747144,65.49126979307117,12942697.0,60.354113616477576,-22.520892798758233,387.3574595206445,-0.07777930704327572,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-26,358.20001220703125,376.0,358.20001220703125,369.6499938964844,368.29400634765625,464401,351.38000030517577,,358.63389114380357,,,52.37136949762119,-7.395043892003116,-13.192094516529735,5.797050624526619,375.4608896085015,351.38000030517577,327.29911100185006,17.98108047386059,66.35124322161887,63.490552996395756,13407098.0,113.12486671979063,-11.238948855779869,387.1821765870353,-0.05649390918273288,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-27,372.4500122070313,376.9500122070313,360.2999877929688,371.0499877929688,369.6888427734375,343578,351.6949996948242,,359.8163765389622,,,52.99177118483184,-5.653969717246355,-11.68446955667306,6.030499839426705,376.61733173584975,351.6949996948242,326.7726676537987,17.88600504101787,71.85045740756414,65.56731218397674,13750676.0,121.38097280255309,-10.269840139982417,387.06436688357866,-0.037783603214454134,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-28,371.4500122070313,373.0,361.0,368.9500122070313,367.5965881347656,321445,351.91999969482424,,360.6862466025878,,,51.89972077990559,-4.392966980719734,-10.226169041482395,5.833202060762661,377.3744522893119,351.91999969482424,326.4655471003366,17.465576109516594,77.19242685172816,71.79804249363707,13429231.0,107.58621294874042,-13.925149347524211,386.94454759267086,-0.010906221587775568,97478893568,39.324703,14.29,7.1667237,0.22
2023-12-29,369.0,373.0,365.2999877929688,368.1000061035156,366.7496948242188,315761,352.3199996948242,,361.3923189360095,,,51.437650691940796,-3.422746326676247,-8.865484498521166,5.442738171844919,378.51666317307894,352.3199996948242,326.1233362165695,16.768035830767637,71.33424974470095,73.45904466799777,13113470.0,108.17286626098031,-15.404707089744585,386.83520820761004,-0.012250458992598587,97478893568,39.324703,14.29,7.1667237,0.22
2024-01-01,370.0,374.7999877929688,364.5499877929688,368.2000122070313,366.8493347167969,235647,353.3824996948242,,362.0406706761068,,,51.4923701810999,-2.6156185885933496,-7.615511316535603,4.999892727942253,380.3346268603502,353.3824996948242,326.4303725292982,16.302461842855664,62.35619652644298,70.29429104095739,13349117.0,97.2243537435746,-15.230632098854606,386.756181096232,0.026093182249290633,97478893568,39.324703,14.29,7.1667237,0.22
