Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_upper,BB_middle,BB_lower,ATR_14,STOCH_K,STOCH_D,OBV,CCI_20,Williams_%R,VWAP,CMF_20,MarketCap,PE,EPS,PB,DividendYield,EMA_200
2023-12-20,1323.2635498046875,1326.050048828125,1434.0,1302.0,1400.0,14609923,,,,,,,,,,,,,,,14609923.0,,,1354.0166829427085,,159165579264,76.496506,34.28,15.8694515,0.12,
2023-12-21,1344.269287109375,1347.0999755859375,1368.699951171875,1225.5999755859375,1272.0,2219262,,,,,,,,,,,,,,,16829185.0,,,1348.7133109456447,,159165579264,76.496506,34.28,15.8694515,0.12,
2023-12-22,1304.2535400390625,1307.0,1367.1500244140625,1293.050048828125,1359.949951171875,699513,,,,,,,,,,,,,,,16129672.0,,,1347.6632337521437,,159165579264,76.496506,34.28,15.8694515,0.12,
2023-12-26,1286.241455078125,1288.949951171875,1320.6500244140625,1275.050048828125,1314.0999755859375,535672,,,,,,,,,,,,,,,15594000.0,,,1346.0981246197557,,159165579264,76.496506,34.28,15.8694515,0.12,
2023-12-27,1273.7677001953125,1276.449951171875,1333.949951171875,1261.050048828125,1290.0999755859375,502560,,,,,,,,,,,,,,,15091440.0,,,1344.5927719476344,,159165579264,76.496506,34.28,15.8694515,0.12,
2023-12-28,1270.4747314453125,1273.1500244140625,1295.0,1262.0999755859375,1285.0,418411,,,,,,,,,,,,,,,14673029.0,,,1343.0976098616134,,159165579264,76.496506,34.28,15.8694515,0.12,
2023-12-29,1248.1717529296875,1250.800048828125,1273.0,1245.0,1270.0,412193,,,,,,,,,,,,,,,14260836.0,,,1341.2524732447896,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-01,1275.6138916015625,1278.300048828125,1285.0,1245.550048828125,1250.800048828125,260880,,,,,,,,,,,,,,,14521716.0,,,1340.3018197115027,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-02,1279.206298828125,1281.9000244140625,1292.699951171875,1262.0,1283.8499755859375,211794,,,,,,,,,,,,,27.88972233799805,24.60665371253735,14733510.0,,,1339.64699020355,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-03,1291.729736328125,1294.449951171875,1300.0,1271.0,1280.0,180756,,,,,,,,,,,,,56.276623261386135,36.4347472389145,14914266.0,,,1339.1857584690945,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-04,1309.1431884765625,1311.9000244140625,1315.699951171875,1285.0999755859375,1285.0999755859375,198156,,,,,,,,,,,,,75.33943626696372,53.168593955449296,15112422.0,,,1338.8437171369085,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-05,1319.072265625,1321.8499755859375,1325.0,1310.0,1310.050048828125,113809,,,,,,,,,,,,,93.52316264768918,75.04640739201301,15226231.0,,,1338.7325305301183,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-08,1308.9935302734375,1311.75,1328.0,1309.0,1325.300048828125,150847,,,,,,,,,,,,,88.67975789705787,85.84745227057026,15075384.0,,,1338.5672063946265,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-09,1346.8138427734375,1349.6500244140625,1355.0,1311.0,1320.0,168773,,,,,,,,,,,,,88.34832614978068,90.1837488981759,15244157.0,,-40.47503152799328,1338.5670660540252,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-10,1333.591796875,1336.4000244140625,1368.25,1325.0,1335.050048828125,130662,,,,,52.072898997668126,,,,,,,46.26783970424107,76.9018468465305,84.64331029778968,15113495.0,,-22.571580900386003,1338.5962555519156,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-11,1494.2535400390625,1497.4000244140625,1537.3499755859375,1338.0999755859375,1340.050048828125,1625991,,,,,71.71627092931105,,,,,,,57.31656195192921,79.27723294034256,81.50913531221791,16739486.0,,-13.665111854997074,1347.220720185575,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-12,1518.103271484375,1521.300048828125,1568.0,1495.0,1525.0,495355,,,,,73.4555368133338,,,,,,,58.43680752679141,75.38994939912835,77.18967639533379,17234841.0,,-14.45818921729876,1351.1274650908676,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-15,1518.103271484375,1521.300048828125,1521.300048828125,1521.300048828125,1521.300048828125,0,,,,,73.4555368133338,,,,,,,54.26274984630631,82.10096325182782,78.92271519709958,17234841.0,,-14.45818921729876,1351.1274650908676,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-16,1483.2265625,1486.3499755859375,1527.699951171875,1475.0,1527.699951171875,119326,,,,,66.51825597469224,,,,,,,54.15112136956122,76.73237016768421,78.07442760621346,17115515.0,,-25.278645329431114,1351.8791311458804,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-17,1444.707763671875,1447.75,1460.0,1420.0,1459.949951171875,442540,1351.490008544922,,1351.490008544922,,59.800931718157045,,,,1526.1822567560616,1351.490008544922,1176.7977603337822,55.02246809930238,65.30754502789016,74.71362614913407,16672975.0,88.05312352351524,-37.22910216718266,1353.5874863979132,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-18,1422.205078125,1425.199951171875,1455.9000244140625,1396.0,1440.0,130917,1356.4475036621093,,1358.510003080822,,56.228552900845806,,,,1533.58097698675,1356.4475036621093,1179.3140303374685,55.3708649789281,43.690179369227565,61.91003152160065,16542058.0,63.85020835688531,-44.28595765300908,1353.9870554089755,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-19,1429.8389892578125,1432.8499755859375,1467.949951171875,1420.800048828125,1427.0,175624,1360.7350036621094,,1365.5900004622615,,57.16345051987395,,,,1540.8814136569729,1360.7350036621094,1180.5885936672462,54.78365336212967,30.883873732833056,46.62719937665028,16717682.0,67.63753978654583,-44.16667464511846,1354.6256146272713,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-23,1410.1805419921875,1413.1500244140625,1476.699951171875,1399.9000244140625,1433.0,175524,1366.0425048828124,,1370.1195265529095,,53.96685789006004,,,,1545.79797076238,1366.0425048828124,1186.287039003245,56.35624431896416,19.326336301212965,31.30012980109121,16542158.0,52.361914411778365,-52.13803891782407,1355.176749737131,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-24,1416.51708984375,1419.5,1434.75,1392.050048828125,1424.8499755859375,46721,1372.5700073242188,,1374.8224287859657,,54.8434176153652,,,,1550.1213597561143,1372.5700073242188,1195.018654892323,55.380794808457786,24.476638690189407,24.89561624141182,16588879.0,35.785244987604514,-52.4920421295723,1355.2939286804085,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-25,1447.102783203125,1450.1500244140625,1460.949951171875,1402.0999755859375,1424.949951171875,113985,1381.2550109863282,,1381.996485512451,,58.91051902117157,,,,1556.122630537051,1381.2550109863282,1206.3873914356054,55.62859343542062,38.02842486426929,27.277133285223897,16702864.0,48.551771358252594,-45.501921075651545,1355.683206536336,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-29,1443.9593505859375,1447.0,1485.5999755859375,1424.0,1468.4000244140625,159191,1389.947509765625,,1388.187296416027,,58.32906321002957,,,,1559.6637120532937,1389.947509765625,1220.2313074779563,56.05512073188611,53.26728923852144,38.59078426432672,16543673.0,54.90168445713645,-46.71814671814672,1356.3155367744475,,159165579264,76.496506,34.28,15.8694515,0.12,
2024-01-30,1397.90625,1400.8499755859375,1461.0,1386.3499755859375,1445.0,145203,1397.4500061035155,,1389.3932658607805,,50.46954453233622,,,,1554.7071493081148,1397.4500061035155,1240.1928628989162,57.38332813775586,47.32793884648212,46.2078843164243,16398470.0,18.74855821525448,-65.0389200054718,1356.670478158274,,159165579264,76.496506,34.28,15.8694515,0.12,
