Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_upper,BB_middle,BB_lower,ATR_14,STOCH_K,STOCH_D,OBV,CCI_20,Williams_%R,VWAP,CMF_20,MarketCap,PE,EPS,PB,DividendYield
2021-01-01,486.79364013671875,509.6499938964844,526.0,505.0,518.0499877929688,14348,,,,,,,,,,,,,,,14348.0,,,513.5499979654948,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-04,493.86175537109375,517.0499877929688,532.0,509.1499938964844,520.0,36003,,,,,,,,,,,,,,,50351.0,,,517.7329814912126,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-05,541.619384765625,567.0499877929688,572.5,513.0,517.5,141432,,,,,,,,,,,,,,,191783.0,,,542.1554046791205,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-06,519.0300903320312,543.4000244140625,580.0,535.2000122070312,575.0,72926,,,,,,,,,,,,,,,118857.0,,,545.1063069223904,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-07,527.4354248046875,552.2000122070312,569.8499755859375,545.0999755859375,546.0,33225,,,,,,,,,,,,,,,152082.0,,,546.2895515232918,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-08,525.62060546875,550.2999877929688,564.0,544.0,557.9000244140625,14946,,,,,,,,,,,,,,,137136.0,,,546.598957372555,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-11,526.9578247070312,551.7000122070312,570.0,542.2000122070312,555.0,46275,,,,,,,,,,,,,,,183411.0,,,547.6341402996253,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-12,515.304931640625,539.5,566.9500122070312,532.2000122070312,551.7000122070312,28100,,,,,,,,,,,,,,,155311.0,,,547.5312861585354,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-13,496.8705139160156,520.2000122070312,547.9500122070312,509.1000061035156,545.0,31170,,,,,,,,,,,,,30.419923324334263,44.57204056123471,124141.0,,,545.90871969505,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-14,487.748779296875,510.6499938964844,524.9500122070312,504.1000061035156,524.7999877929688,26801,,,,,,,,,,,,,14.479280697791815,29.534578582837344,97340.0,,,543.9417794875445,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-15,492.66778564453125,515.7999877929688,523.5,504.3500061035156,520.0,23577,,,,,,,,,,,,,15.306681350723636,20.068628457616565,120917.0,,,542.4636105488958,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-18,478.48382568359375,500.95001220703125,523.4000244140625,495.04998779296875,515.0,23765,,,,,,,,,,,,,11.966434611244042,13.917465553253159,97152.0,,,540.7268611499069,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-19,495.43780517578125,518.7000122070312,523.0,501.3500061035156,501.3500061035156,13275,,,,,,,,,,,,,23.55567977047889,16.942931910815517,110427.0,,,540.0346448876658,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-20,471.7022399902344,493.8500061035156,520.2000122070312,481.8500061035156,518.7000122070312,68581,,,,,,,,,,,,,26.91837196614415,20.81349544928902,41846.0,,-87.77381482809258,535.091705892091,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-21,474.9974670410156,497.29998779296875,506.70001220703125,489.0,506.70001220703125,20658,,,,,46.916352562890225,,,,,,,30.103570120675222,36.548014230336456,29.007355322319825,62504.0,,-84.25880524684726,533.7925127383427,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-22,464.7773742675781,486.6000061035156,499.8999938964844,485.0,493.04998779296875,11412,,,,,44.363525969034626,,,,,,,29.01760039037588,25.456342477550308,29.640909558010296,51092.0,,-95.16046836945331,532.9779059073271,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-25,446.5816955566406,467.54998779296875,492.70001220703125,465.0,487.5,18900,,,,,40.17247703431788,,,,,,,28.92348694870841,17.641111558270254,26.54848942205233,32192.0,,-97.78261931046197,531.2282769987535,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-27,459.3330078125,480.8999938964844,486.0,466.45001220703125,467.54998779296875,10431,,,,,44.15408791055263,,,,,,,28.253951294727006,14.877621888567129,19.325025308129224,42623.0,,-84.85714867001488,530.3514882814932,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-28,452.6946716308594,473.95001220703125,482.0,472.0,480.8999938964844,5614,,,,,42.56588376183984,,,,,,,26.950097630817936,18.221237934476914,16.913323793771426,37009.0,,-91.47617885044643,529.8756475561311,,16125008896,16.166174,64.27,2.536002,4.74
2021-01-29,442.3312683105469,463.1000061035156,481.8500061035156,455.0,476.6499938964844,10900,513.0200012207031,,513.0200012207031,,40.138557396020516,,,,572.4592859478321,513.0200012207031,453.580716493574,26.94294823601063,22.76909608620984,18.62265196975129,26109.0,-136.29782500801105,-92.95651643172555,528.8192037224654,-0.12126482285775804,16125008896,16.166174,64.27,2.536002,4.74
2021-02-01,460.0493469238281,481.6499938964844,484.8999938964844,454.04998779296875,462.25,15241,511.6200012207031,,510.0323814755394,,45.826458958040085,,,,572.6096122286771,511.6200012207031,450.6303902127291,27.22202379797527,36.971006366630014,25.987113462438916,41350.0,-103.1670308818739,-75.55358712563941,527.5570148093279,-0.09044582989642183,16125008896,16.166174,64.27,2.536002,4.74
2021-02-02,450.6888732910156,471.8500061035156,486.79998779296875,463.0,475.0,32856,509.3600021362305,,506.3959647734419,,43.47616229400914,,,,572.6824769689918,509.3600021362305,446.03752730346923,26.97759265476052,47.93378910712543,35.89129718665509,8494.0,-90.49411896667051,-81.04364890039247,525.0392936393409,-0.08675016976068987,16125008896,16.166174,64.27,2.536002,4.74
2021-02-03,457.13616943359375,478.6000061035156,488.0,467.20001220703125,484.0,21625,504.9375030517578,,503.7487306144013,,45.54766641560705,,,,563.7176902623205,504.9375030517578,446.1573158411951,26.536335164632536,66.02450466019906,50.30976671131816,30119.0,-73.59828670105865,-65.37375196491814,523.62851773588,-0.3202814492330852,16125008896,16.166174,64.27,2.536002,4.74
2021-02-04,468.0726318359375,490.04998779296875,497.3999938964844,479.95001220703125,483.79998779296875,20978,502.27000122070314,,502.4440884409316,,48.96441454136649,,,,558.6180504916499,502.27000122070314,445.92195194975636,25.98373892379941,69.90280791557721,61.287033894300556,51097.0,-40.1120751664833,-48.16415597929111,522.6546253546235,-0.2515050760603507,16125008896,16.166174,64.27,2.536002,4.74
2021-02-05,452.742431640625,474.0,483.0,446.95001220703125,483.0,82144,498.36000061035156,,499.7351276370333,,44.727713999171,,,,551.0400502680156,498.36000061035156,445.67995095268753,27.206327256809278,69.65822035841202,68.52851097806276,-31047.0,-91.4017202033739,-64.61741860849446,517.212295256267,-0.12330226166154777,16125008896,16.166174,64.27,2.536002,4.74
2021-02-08,453.41107177734375,474.70001220703125,480.0,467.04998779296875,480.0,26872,494.5800018310547,,497.3508309294141,,44.95143604737257,,,,542.4385499221844,494.5800018310547,446.72145373992504,26.18801903896799,63.88912821614048,67.81671883004323,-4175.0,-69.05189532209481,-63.51084226924012,515.8468433412385,-0.10127416593790294,16125008896,16.166174,64.27,2.536002,4.74
2021-02-09,479.2479248046875,501.75,519.7999877929688,481.79998779296875,488.45001220703125,101722,492.08250122070314,,497.769799412327,,52.88716368335085,,,,532.3718701146718,492.08250122070314,451.7931323267345,27.538873078037238,61.28182772641639,64.94305876698962,97547.0,29.85804304921026,-25.18772997546928,514.2758431394024,-0.05864254184042321,16125008896,16.166174,64.27,2.536002,4.74
2021-02-10,474.47216796875,496.75,510.70001220703125,491.54998779296875,507.95001220703125,16002,489.94500122070315,,497.67267565877205,,51.41182610659521,,,,523.9983548257189,489.94500122070315,455.8916476156874,26.93966960203904,66.19589805253479,63.788951331697206,81545.0,38.552041939744086,-31.640350744905636,514.0347819884425,-0.04444070701837796,16125008896,16.166174,64.27,2.536002,4.74
2021-02-11,498.6375427246094,522.0499877929688,527.7999877929688,490.0,490.0,43861,490.0375,,499.99432443345745,,57.82318257015149,,,,524.4274631034417,490.0375,455.64753689655834,27.715406615676876,78.82359365384319,68.76710647759812,125406.0,104.01937555423336,-7.111937830937474,514.0022658620037,0.030220721389809788,16125008896,16.166174,64.27,2.536002,4.74
2021-02-12,483.784912109375,506.5,518.0,499.95001220703125,506.95001220703125,31803,489.83000030517576,,500.613912582652,,53.17856082957909,,,,523.7670764621807,489.83000030517576,455.8929241481707,27.31430439926692,75.3953343743246,73.47160869356752,93603.0,83.58595975783476,-26.345076344925364,513.8242365655211,0.03203547991382644,16125008896,16.166174,64.27,2.536002,4.74
2021-02-15,473.75579833984375,496.0,514.0,492.45001220703125,514.0,21171,488.84000091552736,,500.17449233668515,,50.24378688867001,,,,520.7857435449262,488.84000091552736,456.8942582861286,26.902567498817053,62.898648540765066,72.3725255229776,72432.0,55.910289875236174,-39.33209325359379,513.5660520899904,0.0006950055454786355,16125008896,16.166174,64.27,2.536002,4.74
2021-02-16,467.49957275390625,489.45001220703125,503.3999938964844,481.0,503.3500061035156,16550,488.26500091552737,,499.1531132767181,,48.44762115593706,,,,519.7285023132233,488.26500091552737,456.8014995178314,26.580955098650435,37.954489933899715,58.749490949663105,55882.0,14.664502155366636,-47.43350298872303,513.2255875234506,0.017313449866019587,16125008896,16.166174,64.27,2.536002,4.74
2021-02-17,469.5531311035156,491.6000061035156,498.0,483.0,488.3999938964844,14557,486.9100006103516,,498.4337697364131,,49.090960870010335,,,,515.1867452312008,486.9100006103516,458.63325598950235,25.7537440201754,23.85825656731286,41.570465013992525,70439.0,20.07451374916453,-44.77426421851574,512.9290834196794,0.007363830770363866,16125008896,16.166174,64.27,2.536002,4.74
2021-02-18,465.5414733886719,487.3999938964844,504.0,486.0,499.95001220703125,13820,486.5875,,497.3829339421342,,47.83511460234306,-10.072919719457275,-15.725687721508741,5.652768002051467,514.686851295238,486.5875,458.488148704762,25.199905161591442,19.334152916277315,27.048966472496605,56619.0,31.21343770414995,-49.96908608035657,512.674670287241,0.034164354392824905,16125008896,16.166174,64.27,2.536002,4.74
2021-02-19,457.80474853515625,479.29998779296875,490.95001220703125,472.0,487.5,16575,485.6875,,495.6607485945946,,45.42177454960011,-10.310303107033576,-14.642610798613708,4.332307691580132,513.5084207450757,485.6875,457.8665792549243,24.753484236265713,19.109265238985902,20.767224907525335,40044.0,-30.16563588880802,-59.98764953051608,512.2056126637245,0.029696572861708227,16125008896,16.166174,64.27,2.536002,4.74
2021-02-22,450.54559326171875,471.70001220703125,488.3500061035156,469.0,480.0,19508,484.94250030517577,,493.378773700541,,43.21857574610256,-10.985056769602238,-13.911099992811414,2.9260432232091755,513.4161190143694,484.94250030517577,456.4688815959821,24.367521512497852,14.130841569806421,17.524753241689854,20536.0,-50.40284999616922,-69.3877458581387,511.5961175914913,0.019822388808502855,16125008896,16.166174,64.27,2.536002,4.74
2021-02-23,507.23388671875,531.0499877929688,544.9000244140625,471.0,481.29998779296875,113357,488.1175003051758,,496.9665083760103,,59.670197496722686,-6.654053104991817,-12.459690615247494,5.805637510255677,521.8088143873906,488.1175003051758,454.42618622296095,27.905557434038183,35.61583573130246,22.951980846698234,133893.0,146.3907150965277,-14.139902904575175,511.9605452945512,0.15263673548373943,16125008896,16.166174,64.27,2.536002,4.74
2021-02-24,491.6649475097656,514.75,531.0499877929688,499.0,531.0499877929688,17736,489.81000061035155,,498.6601742449617,,54.96038499439337,-4.485270877115113,-10.864806667621018,6.379535790505905,525.2371927613173,489.81000061035155,454.38280845938584,28.201588173961795,49.91441477685578,33.2203640259882,116157.0,126.0039477652874,-30.781031808690486,512.0017782620396,0.142669126823077,16125008896,16.166174,64.27,2.536002,4.74
2021-02-25,502.6014404296875,526.2000122070312,530.0,509.8500061035156,511.3999938964844,34630,492.42250061035156,,501.283015955635,,57.49818268071483,-1.8215770367407345,-9.05616074144496,7.234583704704226,530.4004423801748,492.42250061035156,454.4445588405284,27.626474296999124,72.46374480718849,52.664665105115546,150787.0,140.7742400356741,-24.020556725036162,512.2658484558399,0.17370527716806938,16125008896,16.166174,64.27,2.536002,4.74
2021-02-26,486.2205505371094,509.04998779296875,523.0,507.20001220703125,520.0,16485,494.7199996948242,,502.02272755919057,,52.70769398510673,-1.0819718211960776,-7.4613229573951845,6.379351136199107,530.8384573318896,494.7199996948242,458.6015420577588,27.010297561499186,62.80191216623003,61.726690583424734,134302.0,88.99346307962895,-47.23323463707816,512.2759822458264,0.16002053014257175,16125008896,16.166174,64.27,2.536002,4.74
2021-03-01,485.55194091796875,508.3500061035156,522.25,506.0,506.0,9068,496.0550003051758,,502.62532551579295,,52.51537648502745,-0.5460178774499695,-6.078261941406142,5.532244063956172,532.1161217545744,496.0550003051758,459.99387885577727,26.24170487853496,59.55677986554738,64.94081227965528,125234.0,76.48372258981932,-48.15547635551882,512.275467652835,0.13397153605799308,16125008896,16.166174,64.27,2.536002,4.74
2021-03-02,481.540283203125,504.1499938964844,516.5499877929688,501.0,511.1000061035156,10965,497.66999969482424,,502.77053202823976,,51.305727961599814,-0.454932224335721,-4.953595997992058,4.498663773656337,532.1069133698646,497.66999969482424,463.23308601978385,25.478010800994518,39.7922195787462,54.0503038701745,114269.0,47.89562039732608,-53.68908749656225,512.2345101720955,0.14141072278471634,16125008896,16.166174,64.27,2.536002,4.74
2021-03-03,506.51751708984375,530.2999877929688,555.9000244140625,502.0,505.3999938964844,108595,500.2549987792969,,505.39238495821394,,57.82024847483365,1.7076549910640324,-3.6213458001808396,5.329000791244872,536.3019464439434,500.2549987792969,464.2080511146504,27.508154630499373,39.99320353685703,46.44740099371683,222864.0,142.24688095866733,-29.45918231174979,513.5126301134964,0.1292731509022693,16125008896,16.166174,64.27,2.536002,4.74
2021-03-04,508.8099060058594,532.7000122070312,540.0,517.3499755859375,525.0,27847,502.3875,,507.9931113628632,,58.37071671034683,3.5739841872589864,-2.1822798026928742,5.756263989951861,540.7398078775142,502.3875,464.0351921224858,27.16114532932531,42.39323050735623,40.72621787431979,250711.0,128.20864020163106,-26.69735982637645,513.8218446920365,0.13694625692216217,16125008896,16.166174,64.27,2.536002,4.74
2021-03-05,494.0050354003906,517.2000122070312,539.2000122070312,515.0,532.5999755859375,17186,504.54750061035156,,508.86995906230777,,53.5134503288696,3.759011515477198,-0.9940215390588598,4.753033054536058,541.084456987579,504.54750061035156,468.0105442331242,26.94963582059002,46.87308917799357,43.08650774073558,233525.0,92.6084669944529,-44.533948601248795,513.935902234694,0.06869655774926896,16125008896,16.166174,64.27,2.536002,4.74
2021-03-08,493.0976257324219,516.25,529.0,512.0,529.0,19300,506.625,,509.57282010399274,,53.22112722899607,3.7853537587855044,-0.03814647948998695,3.8235002382754915,540.7849231856737,506.625,472.4650768143262,26.238947547690735,38.34243857390515,42.536252753084945,214225.0,64.6162120133479,-45.62717292821172,514.0011411872002,0.04781465280379962,16125008896,16.166174,64.27,2.536002,4.74
