Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_upper,BB_middle,BB_lower,ATR_14,STOCH_K,STOCH_D,OBV,CCI_20,Williams_%R,VWAP,CMF_20,MarketCap,PE,EPS,PB,DividendYield,EMA_200
2021-01-01,882.595947265625,909.9000244140624,928.75,904.75,919.7999877929688,2158857,,,,,,,,,,,,,,,2158857.0,,,914.4666748046876,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-04,891.2288208007812,918.7999877929688,923.2999877929688,909.25,910.5499877929688,1042065,,,,,,,,,,,,,,,3200922.0,,,915.3293810153688,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-05,907.6217041015624,935.7000122070312,938.8499755859376,911.5999755859376,921.5,1871002,,,,,,,,,,,,,,,5071924.0,,,920.2678649888608,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-06,917.5156860351562,945.9000244140624,953.6500244140624,934.0499877929688,945.0,2633011,,,,,,,,,,,,,,,7704935.0,,,928.560118877102,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-07,942.10498046875,971.25,977.9500122070312,946.0,955.7999877929688,2124734,,,,,,,,,,,,,,,9829669.0,,,936.4511996405212,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-08,977.2672119140624,1007.5,1012.5499877929688,974.0999755859376,976.0999755859376,3536689,,,,,,,,,,,,,,,13366358.0,,,952.7500116633692,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-11,983.3781127929688,1013.7999877929688,1026.75,1002.0499877929688,1015.5,1773737,,,,,,,,,,,,,,,15140095.0,,,959.9491807258844,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-12,988.2279663085938,1018.7999877929688,1026.0,1003.4000244140624,1012.6500244140624,1799936,,,,,,,,,,,,,,,16940031.0,,,965.9118552037686,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-13,982.0686645507812,1012.4500122070312,1041.75,1006.75,1024.25,2210980,,,,,,,,,,,,,83.1924059707493,88.84204341969917,14729051.0,,,972.192879168756,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-14,972.9507446289062,1003.0499877929688,1026.0,1000.8499755859376,1015.0,2091931,,,,,,,,,,,,,67.87240697054243,80.94261151712418,12637120.0,,,975.912709101824,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-15,951.9019165039062,981.3499755859376,1011.9000244140624,979.2999877929688,999.0,2598734,,,,,,,,,,,,,38.49196354763453,63.18559216297542,10038386.0,,,977.5408679255034,,997338972160,70.76513,22.48,11.981803,0.63,
2021-01-18,956.0729370117188,985.6500244140624,998.7999877929688,969.0,975.2999877929688,2565847,,,,,,,,,,,,,22.98767719475017,43.11734923764237,12604233.0,,,978.2154224636078,,997338972160,70.76513,22.48,11.981803,0.63,
