Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_upper,BB_middle,BB_lower,ATR_14,STOCH_K,STOCH_D,OBV,CCI_20,Williams_%R,VWAP,CMF_20,MarketCap,PE,EPS,PB,DividendYield
2021-01-01,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,,,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-04,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,,,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-05,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,,,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-06,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,,,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-07,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,,,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-08,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,,,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-11,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,,,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-12,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,,,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-13,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-14,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-15,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-18,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-19,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,601318400,,-0.04,1.8774704,
2021-01-20,0.25,0.25,0.25,0.25,0.25,0,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,,601318400,,-0.04,1.8774704,
2021-01-21,0.25,0.25,0.25,0.25,0.25,0,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,601318400,,-0.04,1.8774704,
2021-01-22,0.25,0.25,0.25,0.25,0.25,0,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,601318400,,-0.04,1.8774704,
2021-01-25,0.25,0.25,0.25,0.25,0.25,0,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,601318400,,-0.04,1.8774704,
2021-01-27,0.25,0.25,0.25,0.25,0.25,0,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,601318400,,-0.04,1.8774704,
2021-01-28,0.25,0.25,0.25,0.25,0.25,0,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,601318400,,-0.04,1.8774704,
2021-01-29,0.25,0.25,0.25,0.25,0.25,0,0.25,,0.25,,,0.0,,,,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,601318400,,-0.04,1.8774704,
2021-02-01,0.25,0.25,0.25,0.25,0.25,0,0.25,,0.25,,,0.0,,,,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,601318400,,-0.04,1.8774704,
2021-02-02,0.25,0.25,0.25,0.25,0.25,0,0.25,,0.25,,,0.0,,,,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,601318400,,-0.04,1.8774704,
2021-02-03,0.25,0.25,0.25,0.25,0.25,0,0.25,,0.25,,,0.0,,,,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,601318400,,-0.04,1.8774704,
2021-02-04,0.25,0.25,0.25,0.25,0.25,0,0.25,,0.25,,,0.0,,,,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,601318400,,-0.04,1.8774704,
2021-02-05,0.25,0.25,0.25,0.25,0.25,0,0.25,,0.25,,,0.0,,,,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,,,601318400,,-0.04,1.8774704,
