Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_upper,BB_middle,BB_lower,ATR_14,STOCH_K,STOCH_D,OBV,CCI_20,Williams_%R,VWAP,CMF_20,MarketCap,PE,EPS,PB,DividendYield
2021-01-01,2.900000095367432,3.0899999141693115,2.900000095367432,3.0199999809265137,3.0199999809265137,26850,,,,,,,,,,,,,,,,26850.0,,,3.003333330154419,,89964000,,-0.94,0.40415704,
2021-01-04,3.1700000762939453,3.299999952316284,2.914999961853028,3.0850000381469727,3.0850000381469727,65350,,,,,,,,,,,,,,,,92200.0,,,3.0718492285893264,,89964000,,-0.94,0.40415704,
2021-01-05,3.275000095367432,3.299999952316284,3.009999990463257,3.234999895095825,3.234999895095825,238170,,,,,,,,,,,,,,,,330370.0,,,3.1510186639369833,,89964000,,-0.94,0.40415704,
2021-01-06,3.299999952316284,3.345000028610229,3.194999933242798,3.234999895095825,3.234999895095825,80450,,,,,,,,,,,,,,,,330370.0,,,3.1720338562761623,,89964000,,-0.94,0.40415704,
2021-01-07,3.200000047683716,3.2149999141693115,3.200000047683716,3.200000047683716,3.200000047683716,1810,,,,,,,,,,,,,,,,328560.0,,,3.1721784621601112,,89964000,,-0.94,0.40415704,
2021-01-08,3.190000057220459,3.2850000858306885,3.1600000858306885,3.234999895095825,3.234999895095825,43080,,,,,,,,,,,,,,,,371640.0,,,3.1773294415302717,,89964000,,-0.94,0.40415704,
2021-01-11,3.234999895095825,3.299999952316284,3.200000047683716,3.240000009536743,3.240000009536743,35320,,,,,,,,,,,,,,,,406960.0,,,3.18231689831315,,89964000,,-0.94,0.40415704,
2021-01-12,3.240000009536743,3.299999952316284,3.220000028610229,3.275000095367432,3.275000095367432,39530,,,,,,,,,,,,,,,,446490.0,,,3.188477302442713,,89964000,,-0.94,0.40415704,
2021-01-13,3.299999952316284,3.3399999141693115,3.2100000381469727,3.299999952316284,3.299999952316284,41100,,,,,,,,,,,,,,69.53222620504285,69.36946429184525,487590.0,,,3.1952970581770144,,89964000,,-0.94,0.40415704,
2021-01-14,3.2950000762939453,3.299999952316284,3.220000028610229,3.2850000858306885,3.2850000858306885,7630,,,,,,,,,,,,,,69.79482499785928,69.24651466876185,479960.0,,,3.196259040861384,,89964000,,-0.94,0.40415704,
2021-01-15,3.259999990463257,3.490000009536743,3.200000047683716,3.390000104904175,3.390000104904175,75610,,,,,,,,,,,,,,70.91318605946581,70.08007908745599,555570.0,,,3.215163389626924,,89964000,,-0.94,0.40415704,
2021-01-18,3.359999895095825,3.359999895095825,3.0199999809265137,3.289999961853028,3.289999961853028,1300,,,,,,,,,,,,,,64.13619378537341,68.28140161423283,554270.0,,,3.2151795750224803,,89964000,,-0.94,0.40415704,
2021-01-19,3.555000066757202,3.555000066757202,3.2950000762939453,3.2950000762939453,3.2950000762939453,19110,,,,,,,,,,,,,,58.12198314077714,64.39045432853878,573380.0,,,3.2198908479468393,,89964000,,-0.94,0.40415704,
2021-01-20,3.2300000190734863,3.240000009536743,3.220000028610229,3.234999895095825,3.234999895095825,3720,,,,,,,,,,,,,,49.678524363700774,57.31223376328378,569660.0,,-48.854990173878164,3.2199553605057227,,89964000,,-0.94,0.40415704,
2021-01-21,3.2049999237060547,3.400000095367432,3.1050000190734863,3.115000009536743,3.115000009536743,2460,,,,,,56.29139365629635,,,,,,,0.19071427413395475,36.44859466010801,48.083034054861976,567200.0,,-68.74999767169399,3.2199073919585945,,89964000,,-0.94,0.40415704,
2021-01-22,3.119999885559082,3.220000028610229,3.119999885559082,3.150000095367432,3.150000095367432,2430,,,,,,58.36973140324023,,,,,,,0.18459182734392127,27.414329385092618,37.847149469633806,569630.0,,-74.31191095307915,3.219706381672692,,89964000,,-0.94,0.40415704,
2021-01-25,3.1549999713897705,3.1549999713897705,3.150000095367432,3.150000095367432,3.150000095367432,780,,,,,,58.36973140324022,,,,,,,0.17176383082095106,17.352036884116117,27.071653643105588,569630.0,,-75.70091708694426,3.219628871908485,,89964000,,-0.94,0.40415704,
2021-01-27,3.0999999046325684,3.400000095367432,3.025000095367432,3.299999952316284,3.299999952316284,13270,,,,,,66.32786050673701,,,,,,,0.186280700048026,35.87746466466222,26.88127697795699,582900.0,,-47.66356514597231,3.2200478615057513,,89964000,,-0.94,0.40415704,
2021-01-28,3.305000066757202,3.305000066757202,3.109999895095825,3.115000009536743,3.115000009536743,2280,,,,,,52.89713802603404,,,,,,,0.18690351944897962,35.77776273091573,29.669088093231363,580620.0,,-82.24298815527777,3.219906613171618,,89964000,,-0.94,0.40415704,
2021-01-29,3.734999895095825,3.734999895095825,3.3399999141693115,3.734999895095825,3.734999895095825,279470,3.244249999523163,,3.244249999523163,,,72.78574948390407,,,,3.5287543555808187,3.244249999523163,2.959745643465507,0.2178389741711298,65.77775743272561,45.810994942767856,860090.0,320.471845499165,-0.0,3.329280962927515,0.42345219228643494,89964000,,-0.94,0.40415704,
