Date,Open,High,Low,Close,Adj Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,EMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_upper,BB_middle,BB_lower,ATR_14,STOCH_K,STOCH_D,OBV,CCI_20,Williams_%R,VWAP,CMF_20,MarketCap,PE,EPS,PB,DividendYield
2024-12-06,438.0,449.0,414.9500122070313,417.25,417.25,6747269,,,,,,,,,,,,,,,,6747269.0,,,427.06667073567706,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-09,412.0,426.9500122070313,410.0,410.7000122070313,410.7000122070313,1538114,,,,,,,,,,,,,,,,5209155.0,,,424.9905765698353,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-10,414.75,416.75,402.1000061035156,405.3999938964844,405.3999938964844,1161752,,,,,,,,,,,,,,,,4047403.0,,,422.9114252033636,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-11,402.3999938964844,423.25,402.3999938964844,417.75,417.75,1617064,,,,,,,,,,,,,,,,5664467.0,,,421.67719954380067,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-12,417.0,418.3500061035156,406.0,410.5499877929688,410.5499877929688,625887,,,,,,,,,,,,,,,,5038580.0,,,421.13945101361526,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-13,410.5,414.6499938964844,406.7999877929688,411.3500061035156,411.3500061035156,650097,,,,,,,,,,,,,,,,5688677.0,,,420.60177915487134,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-16,420.0,446.0,415.2000122070313,418.6499938964844,418.6499938964844,2373444,,,,,,,,,,,,,,,,8062121.0,,,421.5720364207603,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-17,422.8999938964844,426.0,409.0,411.2999877929688,411.2999877929688,500940,,,,,,,,,,,,,,,,7561181.0,,,421.36991933369853,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-18,413.8999938964844,413.8999938964844,398.3500061035156,407.0499877929688,407.0499877929688,690351,,,,,,,,,,,,,,25.456739123163086,29.405035038302206,6870830.0,,,420.7215984878455,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-19,401.0,411.8500061035156,399.0499877929688,408.0,408.0,357534,,,,,,,,,,,,,,19.640916465743757,25.625379878698695,7228364.0,,,420.4045360595501,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-20,412.6499938964844,415.7999877929688,409.7999877929688,412.1499938964844,412.1499938964844,663187,,,,,,,,,,,,,,22.490358514875087,22.529338034593977,7891551.0,,,420.0980822400707,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-23,421.9500122070313,421.9500122070313,398.8500061035156,404.5,404.5,441242,,,,,,,,,,,,,,23.8184256340114,21.983233538210083,7450309.0,,,419.80171500844295,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-24,400.0,404.2000122070313,392.1499938964844,397.5499877929688,397.5499877929688,431304,,,,,,,,,,,,,,23.10807485462764,23.138953001171377,7019005.0,,,419.2725855175712,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-26,395.9500122070313,398.2999877929688,390.2000122070313,391.75,391.75,249327,,,,,,,,,,,,,,15.081640850895484,20.66938044651151,6769678.0,,-97.36396579124114,418.91538510793356,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-27,392.5,399.1000061035156,381.5,384.1000061035156,384.1000061035156,288368,,,,,,30.326420244104263,,,,,,,15.828571864536835,9.810108907768162,15.999941537763762,6481310.0,,-95.96898278524709,418.4328491874997,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-30,382.0499877929688,384.0499877929688,369.0499877929688,374.8500061035156,374.8500061035156,267378,,,,,,27.119831022249898,,,,,,,15.772960896394691,7.424555233090561,10.77210166391807,6213932.0,,-92.46261547699034,417.822737330641,,14090448896,43.778316,6.18,5.735272,0.18
2024-12-31,370.0,378.7000122070313,353.8500061035156,375.6499938964844,375.6499938964844,618283,,,,,,27.830556439599956,,,,,,,16.421321268331905,20.22956881303774,12.488077651298823,6832215.0,,-76.34293083355219,416.26516435617447,,14090448896,43.778316,6.18,5.735272,0.18
2025-01-01,378.3999938964844,383.5499877929688,370.0,380.1000061035156,380.1000061035156,236740,,,,,,31.81392675395895,,,,,,,16.216226020091685,37.42401816975434,21.692714071960882,7068955.0,,-71.51383424996465,415.7981901585053,,14090448896,43.778316,6.18,5.735272,0.18
2025-01-02,380.0,382.8500061035156,373.5,379.9500122070313,379.9500122070313,176255,,,,,,31.75031426006611,,,,,,,15.725781740336254,52.99583775983914,36.88314158087707,6892700.0,,-71.67660571650735,415.46576620424025,,14090448896,43.778316,6.18,5.735272,0.18
