Pattern,SignalType,EMA_Trend,Count_1D,SuccessRate_1D,AvgReturn_1D,Count_2D,SuccessRate_2D,AvgReturn_2D,Count_3D,SuccessRate_3D,AvgReturn_3D,SuccessRange,ConsistencyScore,Count_sum,Count_min,Symbol,Indicator,Company,fisher_p_1D,fisher_p_2D,fisher_p_3D,MACD_Trend,RSI_State,CMF_State
CDL_HARAMI_CROSS,Bearish,,6,0.5,-0.00771050757510565,6,0.5,0.001068629732654117,6,0.5,0.011084492667051133,0.0,1.0,18,6,20MICRONS,CMF_State,20 Microns Limited,1.0,1.0,1.0,,,Negative
CDL_MORNING_STAR,Bullish,,5,0.4,-0.00745526589423972,5,0.4,0.0007632608542309189,5,0.4,-0.01847536153483742,0.0,1.0,15,5,20MICRONS,CMF_State,20 Microns Limited,1.0,1.0,1.0,,,Negative
CMF_State,Negative,,933,0.0,0.0017469285754312346,933,0.0,0.004183285295168729,933,0.0,0.006320336140980744,0.0,1.0,2799,933,20MICRONS,CMF_State,20 Microns Limited,1.0,1.0,1.0,,,Negative
CDL_THREE_INSIDE,Bullish,,5,0.8,0.010750057412508961,5,0.8,0.026019963983575357,5,0.8,0.033127154510395856,0.0,1.0,15,5,21STCENMGM,CMF_State,21st Century Management Services Limited,1.0,1.0,1.0,,,Negative
CMF_State,Negative,,1117,0.0,0.0016572104672237615,1117,0.0,0.00354649256930934,1117,0.0,0.005562122805259687,0.0,1.0,3351,1117,21STCENMGM,CMF_State,21st Century Management Services Limited,1.0,1.0,1.0,,,Negative
RSI_State,Overbought,,289,0.0,0.01183586706302979,289,0.0,0.02242363386767914,289,0.0,0.03188258127479809,0.0,1.0,867,289,21STCENMGM,CMF_State,21st Century Management Services Limited,1.0,1.0,1.0,,,Negative
CMF_State,Negative,,724,0.0,0.002310334269700027,724,0.0,0.00473562106956282,724,0.0,0.007232561156242984,0.0,1.0,2172,724,360ONE,CMF_State,360 ONE WAM LIMITED,1.0,1.0,1.0,,,Negative
CMF_State,Positive,,440,0.0,0.0002322727759314118,440,0.0,0.00022102487572812088,440,0.0,4.827643614216459e-05,0.0,1.0,1320,440,360ONE,CMF_State,360 ONE WAM LIMITED,1.0,1.0,1.0,,,Positive
RSI_State,Overbought,,62,0.0,-0.0029149440899615044,62,0.0,-0.006987212975236703,62,0.0,-0.007172829273168755,0.0,1.0,186,62,360ONE,CMF_State,360 ONE WAM LIMITED,0.8214513903768401,1.0,0.8233675217971859,,,Positive
CDL_BULLISH_ENGULFING,Bullish,,4,0.5,0.00014607801896025004,4,0.5,0.0026217495396527743,4,0.5,0.031186020165740878,0.0,1.0,12,4,3IINFOLTD,CMF_State,3i Infotech Limited,1.0,1.0,1.0,,,Positive
CMF_State,Negative,,1021,0.0,9.634487341721048e-05,1021,0.0,7.556202390219409e-05,1021,0.0,0.0002551393328703656,0.0,1.0,3063,1021,3IINFOLTD,CMF_State,3i Infotech Limited,1.0,1.0,1.0,,,Negative
CMF_State,Positive,,143,0.0,-0.0012043638499444715,143,0.0,-0.0005040832020691763,143,0.0,-0.00114937132576431,0.0,1.0,429,143,3IINFOLTD,CMF_State,3i Infotech Limited,1.0,1.0,1.0,,,Positive
CMF_State,Negative,,740,0.0,0.0006571428384332336,740,0.0,0.0010047718292649256,740,0.0,0.0016332036083135592,0.0,1.0,2220,740,3MINDIA,CMF_State,3M India Limited,1.0,1.0,1.0,,,Negative
CMF_State,Positive,,424,0.0,0.00015804196213853035,424,0.0,0.0008216694753405272,424,0.0,0.0009733330190658301,0.0,1.0,1272,424,3MINDIA,CMF_State,3M India Limited,1.0,1.0,1.0,,,Positive
RSI_State,Overbought,,69,0.0,0.0010710155084506998,69,0.0,0.0015402141043069652,69,0.0,0.00041325385004695934,0.0,1.0,207,69,3MINDIA,CMF_State,3M India Limited,1.0,1.0,0.4857142857142857,,,Positive
CDL_HARAMI,Bearish,,10,0.6,-0.00945999860244189,10,0.6,-0.01441965610883543,10,0.6,-0.00941876982060281,0.0,1.0,30,10,3PLAND,CMF_State,3P Land Holdings Limited,0.7119528945204817,1.0,1.0,,,Positive
CDL_HAMMER,Bullish,,8,0.375,-0.008259457942301787,8,0.375,-0.007023368932258562,8,0.375,-0.017753711198841775,0.0,1.0,24,8,3PLAND,CMF_State,3P Land Holdings Limited,1.0,1.0,0.5454545454545454,,,Positive
CMF_State,Negative,,755,0.0,-8.483164256174746e-05,755,0.0,0.0013430120187677118,755,0.0,0.0041024260531947136,0.0,1.0,2265,755,3PLAND,CMF_State,3P Land Holdings Limited,1.0,1.0,1.0,,,Negative
CDL_BULLISH_ENGULFING,Bearish,,16,0.4375,0.003019181133732906,16,0.4375,0.0088362975764076,16,0.4375,0.006520547330186856,0.0,1.0,48,16,5PAISA,CMF_State,5Paisa Capital Limited,0.16465136734683372,0.41157455314066305,0.2769615230190397,,,Positive
CMF_State,Negative,,967,0.0,0.0007563384626673527,967,0.0,0.0017933376561190954,967,0.0,0.0027543439439580764,0.0,1.0,2901,967,5PAISA,CMF_State,5Paisa Capital Limited,1.0,1.0,1.0,,,Negative
CMF_State,Positive,,197,0.0,-0.0005491690321897882,197,0.0,-0.0021369373016017234,197,0.0,-0.003467433739036016,0.0,1.0,591,197,5PAISA,CMF_State,5Paisa Capital Limited,1.0,1.0,1.0,,,Positive
CDL_PIERCING,Bullish,,7,0.8571428571428571,0.037645087846073864,7,0.8571428571428571,0.07043336252482943,7,0.8571428571428571,0.08587591099302802,0.0,1.0,21,7,63MOONS,CMF_State,63 moons technologies limited,1.0,1.0,1.0,,,Negative
CDL_HARAMI,Bearish,,4,0.75,-0.0165962832067392,4,0.75,-0.04005026182968148,4,0.75,-0.04694802974268465,0.0,1.0,12,4,63MOONS,CMF_State,63 moons technologies limited,1.0,1.0,0.6026831785345718,,,Positive
CDL_HARAMI_CROSS,Bullish,,4,0.5,-0.007164140512996625,4,0.5,-0.013678314661244076,4,0.5,0.0002589177111471013,0.0,1.0,12,4,63MOONS,CMF_State,63 moons technologies limited,1.0,1.0,1.0,,,Positive
CDL_BULLISH_ENGULFING,Bullish,,10,0.7,0.0232639060016679,10,0.7,0.05438913319874426,10,0.7,0.06687284483948028,0.0,1.0,30,10,A2ZINFRA,CMF_State,A2Z Infra Engineering Limited,0.44606325869323404,0.44606325869323404,0.46731634182908555,,,Positive
CDL_THREE_OUTSIDE,Bullish,,6,0.6666666666666666,0.021639391549884066,6,0.6666666666666666,0.03600784691641415,6,0.6666666666666666,0.04245644514983305,0.0,1.0,18,6,A2ZINFRA,CMF_State,A2Z Infra Engineering Limited,1.0,1.0,1.0,,,Negative
MACD_Trend,Bullish,,164,0.5060975609756098,0.005261995517395029,164,0.5060975609756098,0.011767117937410128,164,0.5060975609756098,0.01845813871748063,0.0,1.0,492,164,A2ZINFRA,CMF_State,A2Z Infra Engineering Limited,0.06361179442476536,0.0777646746876359,0.09508204174267904,,,Positive
CDL_BULLISH_ENGULFING,Bullish,,6,0.3333333333333333,0.03189550035110827,6,0.3333333333333333,0.02960672396049363,6,0.3333333333333333,0.02614020619741023,0.0,1.0,18,6,AAATECH,CMF_State,AAA Technologies Limited,0.11958204334365326,0.33104820875718705,0.33104820875718705,,,Positive
CMF_State,Negative,,975,0.0,0.0018806726878459864,975,0.0,0.0039827435906498905,975,0.0,0.006154993824552408,0.0,1.0,2925,975,AAATECH,CMF_State,AAA Technologies Limited,1.0,1.0,1.0,,,Negative
CMF_State,Positive,,189,0.0,-0.0009141533540304492,189,0.0,-0.0023489775680296237,189,0.0,-0.00423484841432581,0.0,1.0,567,189,AAATECH,CMF_State,AAA Technologies Limited,1.0,1.0,1.0,,,Positive
CDL_HARAMI,Bearish,,4,1.0,-0.027057772782551226,4,1.0,-0.02797178100763665,4,1.0,-0.04512298637920775,0.0,1.0,12,4,AADHARHFC,CMF_State,Aadhar Housing Finance Limited,0.0606060606060606,0.01515151515151515,0.0606060606060606,,,Positive
CDL_HAMMER,Bullish,,5,0.2,-8.821068086800957e-07,5,0.2,-0.0156623610403277,5,0.2,-0.020022769839102818,0.0,1.0,15,5,AADHARHFC,CMF_State,Aadhar Housing Finance Limited,1.0,1.0,1.0,,,Negative
CMF_State,Negative,,222,0.0,0.0020823116856076257,222,0.0,0.0034252840657602625,222,0.0,0.006392771083050607,0.0,1.0,666,222,AADHARHFC,CMF_State,Aadhar Housing Finance Limited,1.0,1.0,1.0,,,Negative
CDL_HAMMER,Bullish,,7,0.2857142857142857,0.0031776321884488,7,0.2857142857142857,-0.01345041819014733,7,0.2857142857142857,-0.009808688093592572,0.0,1.0,21,7,AAKASH,CMF_State,Aakash Exploration Services Limited,0.10256410256410256,0.28613053613053613,0.592074592074592,,,Negative
CMF_State,Negative,,768,0.0,-0.0006466141315957159,768,0.0,-0.0001987754780946884,768,0.0,0.0009894432823761494,0.0,1.0,2304,768,AAKASH,CMF_State,Aakash Exploration Services Limited,1.0,1.0,1.0,,,Negative
CMF_State,Positive,,396,0.0,0.0034447712289400415,396,0.0,0.0056788090319440125,396,0.0,0.006731987259324236,0.0,1.0,1188,396,AAKASH,CMF_State,Aakash Exploration Services Limited,1.0,1.0,1.0,,,Positive
CDL_BULLISH_ENGULFING,Bullish,,19,0.5263157894736842,0.002023131583569211,19,0.5263157894736842,0.015967966673704048,19,0.5263157894736842,0.01565336904950851,0.0,1.0,57,19,AAREYDRUGS,CMF_State,Aarey Drugs and Pharmaceuticals Limited,1.0,0.7282820955113843,0.7282820955113843,,,Negative
CDL_THREE_OUTSIDE,Bullish,,4,0.5,0.010944439091441474,4,0.5,0.0034204750860300503,4,0.5,0.014372441638686975,0.0,1.0,12,4,AAREYDRUGS,CMF_State,Aarey Drugs and Pharmaceuticals Limited,0.4666666666666667,0.4666666666666667,0.4666666666666667,,,Positive
