Date,SignalSource,Pattern,SignalType,EMA_Trend,MACD_Trend,RSI_State,CMF_State,Move_1D,Move_2D,Move_3D,Direction_1D,Direction_2D,Direction_3D,Symbol,Company,SuccessFlag_1D,SuccessFlag_2D,SuccessFlag_3D
2023-05-10,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.1620276241060279,0.08621861649638451,0.07173571542174995,1,1,1,ATAM,,0,0,0
2023-05-10,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.1620276241060279,0.08621861649638451,0.07173571542174995,1,1,1,ATAM,,0,0,0
2023-05-10,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.1620276241060279,0.08621861649638451,0.07173571542174995,1,1,1,ATAM,,0,0,0
2023-05-11,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.06523855890944497,-0.07770203290454603,-0.08334953805836187,-1,-1,-1,ATAM,,1,1,1
2023-05-11,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.06523855890944497,-0.07770203290454603,-0.08334953805836187,-1,-1,-1,ATAM,,1,1,1
2023-05-11,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,-0.06523855890944497,-0.07770203290454603,-0.08334953805836187,-1,-1,-1,ATAM,,0,0,0
2023-05-12,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.013333320617675781,-0.019374974568684977,-0.00020834604899089282,-1,-1,-1,ATAM,,1,1,1
2023-05-12,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.013333320617675781,-0.019374974568684977,-0.00020834604899089282,-1,-1,-1,ATAM,,1,1,1
2023-05-12,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,-0.013333320617675781,-0.019374974568684977,-0.00020834604899089282,-1,-1,-1,ATAM,,0,0,0
2023-05-15,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.006123297844406239,0.013302338918449674,0.015413825377724288,-1,1,1,ATAM,,1,0,0
2023-05-15,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.006123297844406239,0.013302338918449674,0.015413825377724288,-1,1,1,ATAM,,1,0,0
2023-05-15,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,-0.006123297844406239,0.013302338918449674,0.015413825377724288,-1,1,1,ATAM,,0,0,0
2023-05-16,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.019545318569923253,0.02166981394716183,0.012959369933592813,1,1,1,ATAM,,0,0,0
2023-05-16,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.019545318569923253,0.02166981394716183,0.012959369933592813,1,1,1,ATAM,,0,0,0
2023-05-16,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.019545318569923253,0.02166981394716183,0.012959369933592813,1,1,1,ATAM,,0,0,0
2023-05-17,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.002083767478054499,-0.0064596919002758435,-0.04355072757302958,1,-1,-1,ATAM,,0,1,1
2023-05-17,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.002083767478054499,-0.0064596919002758435,-0.04355072757302958,1,-1,-1,ATAM,,0,1,1
2023-05-17,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.002083767478054499,-0.0064596919002758435,-0.04355072757302958,1,-1,-1,ATAM,,0,0,0
2023-05-18,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.008525693814831148,-0.04553960111132471,-0.027656452405428023,-1,-1,-1,ATAM,,1,1,1
2023-05-18,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.008525693814831148,-0.04553960111132471,-0.027656452405428023,-1,-1,-1,ATAM,,1,1,1
2023-05-18,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,-0.008525693814831148,-0.04553960111132471,-0.027656452405428023,-1,-1,-1,ATAM,,0,0,0
2023-05-19,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.03733219011888422,-0.019295264104427612,-0.029991585904104556,-1,-1,-1,ATAM,,1,1,1
2023-05-19,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.03733219011888422,-0.019295264104427612,-0.029991585904104556,-1,-1,-1,ATAM,,1,1,1
2023-05-19,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,-0.03733219011888422,-0.019295264104427612,-0.029991585904104556,-1,-1,-1,ATAM,,0,0,0
2023-05-22,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.018736396739685413,0.007625272331154731,0.011546814363766478,1,1,1,ATAM,,0,0,0
2023-05-22,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.018736396739685413,0.007625272331154731,0.011546814363766478,1,1,1,ATAM,,0,0,0
2023-05-22,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.018736396739685413,0.007625272331154731,0.011546814363766478,1,1,1,ATAM,,0,0,0
2023-05-23,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.010906770823237766,-0.007057353009991774,-0.017536381736521944,-1,-1,-1,ATAM,,1,1,1
