Date,SignalSource,Pattern,SignalType,EMA_Trend,MACD_Trend,RSI_State,CMF_State,Move_1D,Move_2D,Move_3D,Direction_1D,Direction_2D,Direction_3D,Symbol,Company,SuccessFlag_1D,SuccessFlag_2D,SuccessFlag_3D
2023-12-26,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.04973437106856837,-0.09705448625732671,-0.05214871904633667,-1,-1,-1,MOTISONS,,1,1,1
2023-12-26,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.04973437106856837,-0.09705448625732671,-0.05214871904633667,-1,-1,-1,MOTISONS,,1,1,1
2023-12-26,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,-0.04973437106856837,-0.09705448625732671,-0.05214871904633667,-1,-1,-1,MOTISONS,,0,0,0
2023-12-27,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.049796723934937503,-0.002540708517978496,0.0472561123350792,-1,-1,1,MOTISONS,,1,1,0
2023-12-27,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.049796723934937503,-0.002540708517978496,0.0472561123350792,-1,-1,1,MOTISONS,,1,1,0
2023-12-27,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,-0.049796723934937503,-0.002540708517978496,0.0472561123350792,-1,-1,1,MOTISONS,,0,0,0
2023-12-28,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.04973253261413024,0.10213902510621442,0.1572191714845066,1,1,1,MOTISONS,,0,0,0
2023-12-28,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.04973253261413024,0.10213902510621442,0.1572191714845066,1,1,1,MOTISONS,,0,0,0
2023-12-28,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.04973253261413024,0.10213902510621442,0.1572191714845066,1,1,1,MOTISONS,,0,0,0
2023-12-29,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.04992366232718104,0.10239431048469516,0.15741213880251737,1,1,1,MOTISONS,,0,0,0
2023-12-29,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.04992366232718104,0.10239431048469516,0.15741213880251737,1,1,1,MOTISONS,,0,0,0
2023-12-29,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.04992366232718104,0.10239431048469516,0.15741213880251737,1,1,1,MOTISONS,,0,0,0
2024-01-01,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.049975679223393854,0.10237742069464906,0.15720522441376583,1,1,1,MOTISONS,,0,0,0
2024-01-01,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.049975679223393854,0.10237742069464906,0.15720522441376583,1,1,1,MOTISONS,,0,0,0
2024-01-01,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.049975679223393854,0.10237742069464906,0.15720522441376583,1,1,1,MOTISONS,,0,0,0
2024-01-02,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.04990757644025967,0.10212574187402446,0.15711652596003778,1,1,1,MOTISONS,,0,0,0
2024-01-02,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.04990757644025967,0.10212574187402446,0.15711652596003778,1,1,1,MOTISONS,,0,0,0
2024-01-02,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.04990757644025967,0.10212574187402446,0.15711652596003778,1,1,1,MOTISONS,,0,0,0
2024-01-03,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.0497359640081958,0.10211274966056827,0.1558099041599259,1,1,1,MOTISONS,,0,0,0
2024-01-03,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.0497359640081958,0.10211274966056827,0.1558099041599259,1,1,1,MOTISONS,,0,0,0
2024-01-03,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.0497359640081958,0.10211274966056827,0.1558099041599259,1,1,1,MOTISONS,,0,0,0
2024-01-04,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.04989519979136725,0.10104821001531561,0.3211739926580275,1,1,1,MOTISONS,,0,0,0
2024-01-04,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.04989519979136725,0.10104821001531561,0.3211739926580275,1,1,1,MOTISONS,,0,0,0
2024-01-04,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.04989519979136725,0.10104821001531561,0.3211739926580275,1,1,1,MOTISONS,,0,0,0
2024-01-05,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.04872201552508604,0.2583865446004212,0.5099840251940635,1,1,1,MOTISONS,,0,0,0
2024-01-05,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.04872201552508604,0.2583865446004212,0.5099840251940635,1,1,1,MOTISONS,,0,0,0
2024-01-05,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.04872201552508604,0.2583865446004212,0.5099840251940635,1,1,1,MOTISONS,,0,0,0
2024-01-08,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.19992383679516612,0.43983248452930357,0.5837776005365563,1,1,1,MOTISONS,,0,0,0
2024-01-08,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.19992383679516612,0.43983248452930357,0.5837776005365563,1,1,1,MOTISONS,,0,0,0
2024-01-08,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.19992383679516612,0.43983248452930357,0.5837776005365563,1,1,1,MOTISONS,,0,0,0
2024-01-09,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.19993656295294615,0.31989844019318037,0.45160270854399576,1,1,1,MOTISONS,,0,0,0
2024-01-09,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.19993656295294615,0.31989844019318037,0.45160270854399576,1,1,1,MOTISONS,,0,0,0
2024-01-09,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.19993656295294615,0.31989844019318037,0.45160270854399576,1,1,1,MOTISONS,,0,0,0
2024-01-10,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.09997351605406357,0.2097328753544434,0.2097328753544434,1,1,1,MOTISONS,,0,0,0
2024-01-10,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.09997351605406357,0.2097328753544434,0.2097328753544434,1,1,1,MOTISONS,,0,0,0
2024-01-10,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.09997351605406357,0.2097328753544434,0.2097328753544434,1,1,1,MOTISONS,,0,0,0
2024-01-11,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.0997836381498709,0.0997836381498709,0.1021880255928671,1,1,1,MOTISONS,,0,0,0
2024-01-11,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.0997836381498709,0.0997836381498709,0.1021880255928671,1,1,1,MOTISONS,,0,0,0
2024-01-11,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.0997836381498709,0.0997836381498709,0.1021880255928671,1,1,1,MOTISONS,,0,0,0
2024-01-12,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.0,0.0021862367829377227,0.008089176176374169,0,1,1,MOTISONS,,0,0,0
2024-01-12,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.0,0.0021862367829377227,0.008089176176374169,0,1,1,MOTISONS,,0,0,0
2024-01-12,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.0,0.0021862367829377227,0.008089176176374169,0,1,1,MOTISONS,,0,0,0
2024-01-15,Candlestick,CDL_HARAMI,Bearish,Bearish,Bearish,Overbought,Negative,0.0021862367829377227,0.008089176176374169,-0.029733287285641175,1,1,-1,MOTISONS,,0,0,1
2024-01-15,Candlestick,CDL_HARAMI_CROSS,Bearish,Bearish,Bearish,Overbought,Negative,0.0021862367829377227,0.008089176176374169,-0.029733287285641175,1,1,-1,MOTISONS,,0,0,1
2024-01-15,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Overbought,Negative,0.0021862367829377227,0.008089176176374169,-0.029733287285641175,1,1,-1,MOTISONS,,0,0,1
2024-01-15,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Overbought,Negative,0.0021862367829377227,0.008089176176374169,-0.029733287285641175,1,1,-1,MOTISONS,,0,0,1
2024-01-15,Indicator,RSI_State,Overbought,Bearish,Bearish,Overbought,Negative,0.0021862367829377227,0.008089176176374169,-0.029733287285641175,1,1,-1,MOTISONS,,0,0,0
