Date,SignalSource,Pattern,SignalType,EMA_Trend,MACD_Trend,RSI_State,CMF_State,Move_1D,Move_2D,Move_3D,Direction_1D,Direction_2D,Direction_3D,Symbol,Company,SuccessFlag_1D,SuccessFlag_2D,SuccessFlag_3D
2021-01-01,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.037037001061669184,0.0,-0.037037089364844955,1,0,-1,SANWARIA,,0,0,1
2021-01-01,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.037037001061669184,0.0,-0.037037089364844955,1,0,-1,SANWARIA,,0,0,1
2021-01-01,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.037037001061669184,0.0,-0.037037089364844955,1,0,-1,SANWARIA,,0,0,0
2021-01-04,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.035714252262698754,-0.07142858967489152,-0.10714284193759038,-1,-1,-1,SANWARIA,,1,1,1
2021-01-04,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.035714252262698754,-0.07142858967489152,-0.10714284193759038,-1,-1,-1,SANWARIA,,1,1,1
2021-01-04,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,-0.035714252262698754,-0.07142858967489152,-0.10714284193759038,-1,-1,-1,SANWARIA,,0,0,0
2021-01-05,Candlestick,CDL_BULLISH_ENGULFING,Bearish,Bearish,Bearish,Neutral,Negative,-0.037037089364844955,-0.07407409042651403,-0.07407409042651403,-1,-1,-1,SANWARIA,,1,1,1
2021-01-05,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.037037089364844955,-0.07407409042651403,-0.07407409042651403,-1,-1,-1,SANWARIA,,1,1,1
2021-01-05,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.037037089364844955,-0.07407409042651403,-0.07407409042651403,-1,-1,-1,SANWARIA,,1,1,1
2021-01-05,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,-0.037037089364844955,-0.07407409042651403,-0.07407409042651403,-1,-1,-1,SANWARIA,,0,0,0
2021-01-06,Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,Bearish,Bearish,Neutral,Negative,-0.03846150319251662,-0.03846150319251662,-0.07692300638503313,-1,-1,-1,SANWARIA,,1,1,1
2021-01-06,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.03846150319251662,-0.03846150319251662,-0.07692300638503313,-1,-1,-1,SANWARIA,,1,1,1
2021-01-06,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,-0.03846150319251662,-0.03846150319251662,-0.07692300638503313,-1,-1,-1,SANWARIA,,1,1,1
2021-01-06,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,-0.03846150319251662,-0.03846150319251662,-0.07692300638503313,-1,-1,-1,SANWARIA,,0,0,0
2021-01-07,Indicator,EMA_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.0,-0.039999961853027344,-0.0800000190734863,0,-1,-1,SANWARIA,,0,1,1
2021-01-07,Indicator,MACD_Trend,Bearish,Bearish,Bearish,Neutral,Negative,0.0,-0.039999961853027344,-0.0800000190734863,0,-1,-1,SANWARIA,,0,1,1
2021-01-07,Indicator,CMF_State,Negative,Bearish,Bearish,Neutral,Negative,0.0,-0.039999961853027344,-0.0800000190734863,0,-1,-1,SANWARIA,,0,0,0
