Pattern,SignalType,EMA_Trend,Count_1D,SuccessRate_1D,AvgReturn_1D,Count_2D,SuccessRate_2D,AvgReturn_2D,Count_3D,SuccessRate_3D,AvgReturn_3D,Count_sum,Count_min,SuccessRange,ConsistencyScore,ExpectedReturn_1D,ExpectedReturn_2D,ExpectedReturn_3D,ExpectedReturn_sum,Symbol,Indicator,Company,MACD_Trend,RSI_State,CMF_State
CDL_HARAMI,Bullish,Bullish,27,0.4444444444444444,0.0003617060580617598,27,0.4444444444444444,0.00015198334606762268,27,0.48148148148148145,0.00473680632255859,81,27,0.037037037037037035,0.962962962962963,0.0001607582480274488,6.75481538078323e-05,0.0022806845256763577,0.0025089909275116387,ABFRL,EMA_Trend,,,,
CDL_ENGULFING,Bearish,Bearish,45,0.5555555555555556,-0.004862561079465406,45,0.5333333333333333,-0.001591660351677393,45,0.5111111111111111,0.0033345903967533625,135,45,0.04444444444444451,0.9555555555555555,-0.0027014228219252256,-0.0008488855208946096,0.0017043462027850518,-0.0018459621400347835,ABFRL,EMA_Trend,,,,
CDL_HARAMI,Bearish,Bearish,14,0.5,0.0009560088329094242,14,0.42857142857142855,0.005196650470482646,14,0.42857142857142855,0.0035608215604900906,42,14,0.07142857142857145,0.9285714285714286,0.0004780044164547121,0.0022271359159211335,0.0015260663830671817,0.004231206715443027,ABFRL,EMA_Trend,,,,
CDL_HARAMI,Bearish,,10,0.5,-0.0003176042779406751,10,0.5,-0.000205385493480148,10,0.5,0.0009413122228388859,30,10,0.0,1.0,-0.00015880213897033756,-0.000102692746740074,0.00047065611141944297,0.0002091612257090314,ABFRL,MACD_Trend,,Bearish,,
CDL_DARKCLOUDCOVER,Bearish,,4,0.5,0.004151252684438805,4,0.5,0.010853032301023247,4,0.5,0.026148959594789772,12,4,0.0,1.0,0.0020756263422194027,0.005426516150511623,0.013074479797394886,0.020576622290125912,ABFRL,MACD_Trend,,Bearish,,
CDL_HARAMI_CROSS,Bearish,,4,0.25,0.006329901196225035,4,0.25,0.007985821796636094,4,0.25,0.02767738826352817,12,4,0.0,1.0,0.0015824752990562588,0.0019964554491590236,0.006919347065882042,0.010498277814097325,ABFRL,MACD_Trend,,Bearish,,
CDL_HARAMI,Bullish,,5,0.2,-0.00840011890510659,5,0.6,0.005106745316743466,5,0.4,0.006065314811146827,15,5,0.39999999999999997,0.6000000000000001,-0.001680023781021318,0.0030640471900460794,0.0024261259244587313,0.0038101493334834926,ABFRL,RSI_State,,,Oversold,
CDL_INVERTED_HAMMER,Bullish,,4,0.75,0.00047749992815473985,4,0.75,0.015905050129094017,4,0.75,0.027118642921903136,12,4,0.0,1.0,0.0003581249461160549,0.011928787596820513,0.02033898219142735,0.03262589473436392,ABFRL,CMF_State,,,,Positive
CDL_THREE_OUTSIDE_UP,Bearish,,25,0.52,-0.026437783265477702,25,0.52,-0.02164847533247356,25,0.52,-0.019184646589934608,75,25,0.0,1.0,-0.013747647298048405,-0.011257207172886252,-0.009976016226765996,-0.03498087069770066,ABFRL,CMF_State,,,,Negative
CDL_HARAMI,Bullish,,15,0.4666666666666667,0.00042454453927569523,15,0.5333333333333333,0.005011718234431783,15,0.5333333333333333,0.011970013262659281,45,15,0.06666666666666665,0.9333333333333333,0.00019812078499532445,0.002672916391696951,0.006384007073418283,0.009255044250110558,ABFRL,CMF_State,,,,Positive
