Pattern,SignalType,EMA_Trend,Count_1D,SuccessRate_1D,AvgReturn_1D,Count_2D,SuccessRate_2D,AvgReturn_2D,Count_3D,SuccessRate_3D,AvgReturn_3D,Count_sum,Count_min,SuccessRange,ConsistencyScore,ExpectedReturn_1D,ExpectedReturn_2D,ExpectedReturn_3D,ExpectedReturn_sum,Symbol,Indicator,Company,MACD_Trend,RSI_State,CMF_State
CDL_PIERCING,Bullish,Bullish,5,0.4,0.00149568427753759,5,0.4,-0.019487528912047036,5,0.4,0.00872722751963433,15,5,0.0,1.0,0.0005982737110150361,-0.007795011564818814,0.003490891007853732,-0.0037058468459500466,BALAJITELE,EMA_Trend,,,,
CDL_BULLISH_ENGULFING,Bearish,Bearish,41,0.5853658536585366,-0.0064538722345189896,41,0.5609756097560976,-0.0024439350697144633,41,0.5365853658536586,-0.0014913237298779544,123,41,0.04878048780487798,0.951219512195122,-0.003777876429962335,-0.0013709879659373819,-0.0008002224892028048,-0.005949086885102522,BALAJITELE,EMA_Trend,,,,
CDL_HAMMER,Bullish,Bullish,6,0.5,0.0001652986724341813,6,0.5,0.00828074584574027,6,0.6666666666666666,0.02303882980894058,18,6,0.16666666666666663,0.8333333333333334,8.264933621709065e-05,0.004140372922870135,0.015359219872627054,0.019582242131714278,BALAJITELE,EMA_Trend,,,,
CDL_THREE_OUTSIDE_UP,Bullish,,4,0.75,0.013695994468582912,4,0.75,0.06887016754746447,4,0.75,0.06677286079516617,12,4,0.0,1.0,0.010271995851437184,0.051652625660598354,0.05007964559637463,0.11200426710841016,BALAJITELE,MACD_Trend,,Bullish,,
CDL_BULLISH_ENGULFING,Bullish,,24,0.4166666666666667,0.002397648384016876,24,0.375,0.0012845757325667534,24,0.4166666666666667,0.014092620894730479,72,24,0.041666666666666685,0.9583333333333333,0.0009990201600070317,0.0004817158997125325,0.005871925372804366,0.007352661432523931,BALAJITELE,MACD_Trend,,Bullish,,
CDL_HARAMI,Bullish,,26,0.5,0.0007534272232063752,26,0.5,0.005022326072543224,26,0.5769230769230769,0.0069532086494494055,78,26,0.07692307692307687,0.9230769230769231,0.0003767136116031876,0.002511163036271612,0.004011466528528503,0.006899343176403302,BALAJITELE,MACD_Trend,,Bullish,,
CDL_HARAMI,Bullish,,6,0.6666666666666666,0.0005500454642612765,6,0.5,0.003028468970354211,6,0.6666666666666666,0.047175492155038745,18,6,0.16666666666666663,0.8333333333333334,0.00036669697617418436,0.0015142344851771055,0.03145032810335916,0.033331259564710454,BALAJITELE,RSI_State,,,Oversold,
CDL_BULLISH_ENGULFING,Bearish,,70,0.5428571428571428,-0.003679514806724011,70,0.5428571428571428,-0.0022509497862487063,70,0.5714285714285714,-0.0021698873577204996,210,70,0.02857142857142858,0.9714285714285714,-0.0019974508950787485,-0.001221944169677869,-0.0012399356329831426,-0.00445933069773976,BALAJITELE,CMF_State,,,,Negative
CDL_SHOOTING_STAR,Bearish,,15,0.4,-0.003545732178801823,15,0.4,0.001452810389431325,15,0.4666666666666667,-0.005782183354422429,45,15,0.06666666666666665,0.9333333333333333,-0.0014182928715207293,0.00058112415577253,-0.0026983522320638002,-0.0035355209478119994,BALAJITELE,CMF_State,,,,Negative
CDL_HARAMI,Bullish,,6,0.3333333333333333,0.0013235636851355685,6,0.3333333333333333,-0.00622014223310761,6,0.5,0.00426843306626105,18,6,0.16666666666666669,0.8333333333333333,0.0004411878950451895,-0.002073380744369203,0.002134216533130525,0.0005020236838065113,BALAJITELE,CMF_State,,,,Positive
