Pattern,SignalType,EMA_Trend,Count_1D,SuccessRate_1D,AvgReturn_1D,Count_2D,SuccessRate_2D,AvgReturn_2D,Count_3D,SuccessRate_3D,AvgReturn_3D,Count_sum,Count_min,SuccessRange,ConsistencyScore,ExpectedReturn_1D,ExpectedReturn_2D,ExpectedReturn_3D,ExpectedReturn_sum,Symbol,Indicator,Company,MACD_Trend,RSI_State,CMF_State
CDL_HARAMI,Bullish,Bullish,39,0.48717948717948717,0.0018161930294950575,39,0.48717948717948717,-0.00036769363692348633,39,0.48717948717948717,0.004885953518898853,117,39,0.0,1.0,0.0008848119887283613,-0.00017913279747554462,0.002380336329719954,0.0030860155209727707,BHAGCHEM,EMA_Trend,,,,
CDL_HAMMER,Bullish,Bullish,10,0.6,-0.0013810534814335472,10,0.5,-0.016752414665869787,10,0.5,-0.013081168531308562,30,10,0.09999999999999998,0.9,-0.0008286320888601283,-0.008376207332934893,-0.006540584265654281,-0.015745423687449304,BHAGCHEM,EMA_Trend,,,,
CDL_BULLISH_ENGULFING,Bullish,Bullish,15,0.6,0.00366364528111401,15,0.4666666666666667,0.013274616540845519,15,0.5333333333333333,0.031046199540617513,45,15,0.1333333333333333,0.8666666666666667,0.002198187168668406,0.006194821052394575,0.01655797308832934,0.02495098130939232,BHAGCHEM,EMA_Trend,,,,
CDL_SHOOTING_STAR,Bearish,,4,0.75,-0.0047013957673575635,4,0.75,0.0026648657983142643,4,0.75,0.010976086272448449,12,4,0.0,1.0,-0.0035260468255181726,0.001998649348735698,0.008232064704336337,0.006704667227553862,BHAGCHEM,MACD_Trend,,Bearish,,
CDL_HAMMER,Bullish,,5,0.6,-0.007782519955980028,5,0.6,-0.0167728627810926,5,0.6,-0.0028960112274430292,15,5,0.0,1.0,-0.004669511973588016,-0.01006371766865556,-0.0017376067364658174,-0.016470836378709393,BHAGCHEM,MACD_Trend,,Bullish,,
CDL_HARAMI,Bullish,,24,0.4583333333333333,-0.0015051521800779576,24,0.375,-0.0045210823543338175,24,0.4166666666666667,0.0027246662669462712,72,24,0.08333333333333331,0.9166666666666667,-0.0006898614158690638,-0.0016954058828751815,0.001135277611227613,-0.0012499896875166323,BHAGCHEM,MACD_Trend,,Bullish,,
CDL_BULLISH_ENGULFING,Bearish,,4,0.75,0.011236227373003421,4,0.75,-0.005471776696619246,4,0.75,-0.011186602140288021,12,4,0.0,1.0,0.008427170529752566,-0.0041038325224644345,-0.008389951605216016,-0.0040666135979278845,BHAGCHEM,RSI_State,,,Overbought,
CDL_INVERTED_HAMMER,Bullish,,4,0.25,0.00321526282934409,4,0.25,0.0007812841453193331,4,1.0,0.021270553370468626,12,4,0.75,0.25,0.0008038157073360225,0.00019532103632983328,0.021270553370468626,0.02226969011413448,BHAGCHEM,RSI_State,,,Oversold,
CDL_BULLISH_ENGULFING,Bullish,,5,0.6,0.0009298895523286221,5,0.6,0.00509691978014355,5,0.6,0.021383572050719037,15,5,0.0,1.0,0.0005579337313971732,0.0030581518680861297,0.012830143230431421,0.016446228829914724,BHAGCHEM,CMF_State,,,,Positive
CDL_THREE_OUTSIDE_UP,Bearish,,19,0.42105263157894735,0.00025365955449070156,19,0.5789473684210527,-0.004179191563967516,19,0.5263157894736842,-0.0119036787472927,57,19,0.1578947368421053,0.8421052631578947,0.00010680402294345328,-0.002419531958086457,-0.006265094077522473,-0.008577822012665477,BHAGCHEM,CMF_State,,,,Negative
CDL_BULLISH_ENGULFING,Bearish,,42,0.5952380952380952,0.004040018345169776,42,0.42857142857142855,0.007147535357619451,42,0.47619047619047616,0.007409941458564466,126,42,0.16666666666666669,0.8333333333333333,0.002404772824505819,0.0030632294389797646,0.0035285435516973643,0.008996545815182947,BHAGCHEM,CMF_State,,,,Negative
