Pattern,SignalType,EMA_Trend,Count_1D,SuccessRate_1D,AvgReturn_1D,Count_2D,SuccessRate_2D,AvgReturn_2D,Count_3D,SuccessRate_3D,AvgReturn_3D,Count_sum,Count_min,SuccessRange,ConsistencyScore,ExpectedReturn_1D,ExpectedReturn_2D,ExpectedReturn_3D,ExpectedReturn_sum,Symbol,Indicator,Company,MACD_Trend,RSI_State,CMF_State
CDL_THREE_OUTSIDE_UP,Bearish,Bearish,10,0.4,0.0020658938474552024,10,0.4,0.004686869488878897,10,0.4,0.008740305817836658,30,10,0.0,1.0,0.000826357538982081,0.001874747795551559,0.0034961223271346635,0.006197227661668303,CUMMINSIND,EMA_Trend,,,,
CDL_ENGULFING,Bearish,Bearish,19,0.5263157894736842,-0.0028250339982655494,19,0.5263157894736842,-0.004917169138168315,19,0.47368421052631576,-0.004157346244539684,57,19,0.05263157894736842,0.9473684210526316,-0.0014868599990871313,-0.002587983756930692,-0.001969269273729324,-0.006044113029747147,CUMMINSIND,EMA_Trend,,,,
CDL_HARAMI,Bearish,Bearish,8,0.5,-0.0013564298087551663,8,0.625,-0.0007523234914227211,8,0.625,0.0005398529295331939,24,8,0.125,0.875,-0.0006782149043775831,-0.0004702021821392007,0.00033740808095824616,-0.0008110090055585377,CUMMINSIND,EMA_Trend,,,,
CDL_ENGULFING,Bullish,,22,0.5,-0.0002671292785829015,22,0.5,0.0007072691816915711,22,0.45454545454545453,0.005230063490607103,66,22,0.04545454545454547,0.9545454545454546,-0.00013356463929145075,0.00035363459084578557,0.002377301586639592,0.0025973715381939267,CUMMINSIND,MACD_Trend,,Bullish,,
CDL_ENGULFING,Bearish,,42,0.5714285714285714,0.0018654696089065235,42,0.5714285714285714,-2.0692476090645146e-05,42,0.5,0.002226617260048276,126,42,0.0714285714285714,0.9285714285714286,0.0010659826336608706,-1.1824272051797225e-05,0.001113308630024138,0.002167466991633211,CUMMINSIND,MACD_Trend,,Bearish,,
CDL_HARAMI,Bullish,,27,0.4444444444444444,-0.0004708523330920714,27,0.37037037037037035,-0.004672108140323146,27,0.4074074074074074,-0.004928873592594394,81,27,0.07407407407407407,0.9259259259259259,-0.00020926770359647618,-0.0017304104223419057,-0.0020080596117977158,-0.003947737737736098,CUMMINSIND,MACD_Trend,,Bullish,,
CDL_ENGULFING,Bearish,,11,0.7272727272727273,-0.00247896744762157,11,0.6363636363636364,0.001423650911028211,11,0.5454545454545454,0.004502056485960895,33,11,0.18181818181818188,0.8181818181818181,-0.001802885416452051,0.0009059596706543161,0.002455667174160488,0.001558741428362753,CUMMINSIND,RSI_State,,,Overbought,
CDL_THREE_OUTSIDE_UP,Bearish,,4,0.25,0.014517027360078177,4,0.5,0.022276628816898514,4,0.25,0.019308621071548238,12,4,0.25,0.75,0.0036292568400195444,0.011138314408449257,0.004827155267887059,0.01959472651635586,CUMMINSIND,RSI_State,,,Overbought,
CDL_DARKCLOUDCOVER,Bearish,,4,0.0,0.012140241344620328,4,0.0,0.010199272152616123,4,0.0,0.018749910250775104,12,4,0.0,1.0,0.0,0.0,0.0,0.0,CUMMINSIND,CMF_State,,,,Negative
CDL_ENGULFING,Bearish,,33,0.5757575757575758,0.0009456763110863062,33,0.5454545454545454,-0.0014886566843980995,33,0.5151515151515151,5.309073222049442e-05,99,33,0.06060606060606066,0.9393939393939393,0.0005444803003224188,-0.000811994555126236,2.734977114389106e-05,-0.00024016448365992614,CUMMINSIND,CMF_State,,,,Negative
CDL_HARAMI,Bullish,,28,0.5357142857142857,0.00157145812956653,28,0.4642857142857143,0.0010099904239483806,28,0.4642857142857143,0.0022353555991763935,84,28,0.0714285714285714,0.9285714285714286,0.0008418525694106411,0.00046892412540460533,0.0010378436710461827,0.002348620365861429,CUMMINSIND,CMF_State,,,,Positive
