Pattern,SignalType,EMA_Trend,Count_1D,SuccessRate_1D,AvgReturn_1D,Count_2D,SuccessRate_2D,AvgReturn_2D,Count_3D,SuccessRate_3D,AvgReturn_3D,Count_sum,Count_min,SuccessRange,ConsistencyScore,ExpectedReturn_1D,ExpectedReturn_2D,ExpectedReturn_3D,ExpectedReturn_sum,Symbol,Indicator,Company,MACD_Trend,RSI_State,CMF_State
CDL_THREE_INSIDE_UP,Bullish,Bullish,5,0.2,0.017585169005425706,5,0.2,0.0033926125143199483,5,0.2,0.019724195754461004,15,5,0.0,1.0,0.0035170338010851415,0.0006785225028639897,0.003944839150892201,0.008140395454841333,DBCORP,EMA_Trend,,,,
CDL_ENGULFING,Bearish,Bearish,36,0.4444444444444444,0.005831978275724727,36,0.4722222222222222,0.002926666592920346,36,0.5277777777777778,0.0033096548657889266,108,36,0.08333333333333337,0.9166666666666666,0.002591990344766545,0.0013820370022123857,0.0017467622902774891,0.00572078963725642,DBCORP,EMA_Trend,,,,
CDL_THREE_OUTSIDE_UP,Bullish,Bullish,11,0.7272727272727273,0.0137051948137774,11,0.8181818181818182,0.026106717611076666,11,0.8181818181818182,0.018042042652541914,33,11,0.09090909090909094,0.9090909090909091,0.009967414410019927,0.021360041681790003,0.014761671261170659,0.04608912735298059,DBCORP,EMA_Trend,,,,
CDL_ENGULFING,Bearish,,43,0.5581395348837209,-0.0011248373006713585,43,0.46511627906976744,0.001347757971258714,43,0.5581395348837209,-0.004689917270340095,129,43,0.09302325581395349,0.9069767441860466,-0.0006278161678165722,0.0006268641726784717,-0.002617628243910751,-0.0026185802390488516,DBCORP,MACD_Trend,,Bearish,,
CDL_HARAMI,Bullish,,26,0.46153846153846156,-0.00016704251249421133,26,0.5,0.010260268508541939,26,0.5769230769230769,0.014021485666664125,78,26,0.11538461538461531,0.8846153846153847,-7.709654422809753e-05,0.0051301342542709695,0.008089318653844687,0.013142356363887558,DBCORP,MACD_Trend,,Bullish,,
CDL_ENGULFING,Bullish,,32,0.40625,0.002239508874850027,32,0.4375,0.00873958347791063,32,0.53125,0.0156724786777112,96,32,0.125,0.875,0.0009098004804078234,0.0038235677715859006,0.008326004297534075,0.0130593725495278,DBCORP,MACD_Trend,,Bullish,,
CDL_HARAMI,Bearish,,4,0.75,-0.013341528753642556,4,0.5,-0.0002140207747973466,4,0.25,0.013153227517918087,12,4,0.5,0.5,-0.010006146565231917,-0.0001070103873986733,0.0032883068794795217,-0.006824850073151069,DBCORP,RSI_State,,,Overbought,
CDL_ENGULFING,Bullish,,24,0.5833333333333334,0.015351264855156263,24,0.5833333333333334,0.025381441666322002,24,0.6666666666666666,0.029761490011024447,72,24,0.08333333333333326,0.9166666666666667,0.008954904498841154,0.014805840972021169,0.019840993340682962,0.04360173881154528,DBCORP,CMF_State,,,,Positive
CDL_ENGULFING,Bearish,,60,0.43333333333333335,0.006492822414789707,60,0.4166666666666667,0.006046304219827572,60,0.5,0.0026097527278473513,180,60,0.08333333333333331,0.9166666666666667,0.0028135563797422065,0.002519293424928155,0.0013048763639236757,0.006637726168594037,DBCORP,CMF_State,,,,Negative
CDL_THREE_OUTSIDE_UP,Bearish,,22,0.3181818181818182,0.002766819630079303,22,0.5454545454545454,-0.006025829900019617,22,0.5454545454545454,0.00010174859734228926,66,22,0.22727272727272724,0.7727272727272727,0.0008803517004797783,-0.003286816309101609,5.549923491397595e-05,-0.0023509653737078546,DBCORP,CMF_State,,,,Negative
