Pattern,SignalType,EMA_Trend,Count_1D,SuccessRate_1D,AvgReturn_1D,Count_2D,SuccessRate_2D,AvgReturn_2D,Count_3D,SuccessRate_3D,AvgReturn_3D,Count_sum,Count_min,SuccessRange,ConsistencyScore,ExpectedReturn_1D,ExpectedReturn_2D,ExpectedReturn_3D,ExpectedReturn_sum,Symbol,Indicator,Company,MACD_Trend,RSI_State,CMF_State
CDL_HARAMI,Bearish,Bearish,11,0.5454545454545454,-0.005935682366997183,11,0.5454545454545454,0.012414258084309545,11,0.5454545454545454,-0.0031466068791267325,33,11,0.0,1.0,-0.0032376449274530085,0.006771413500532479,-0.0017163310249782176,0.0018174375481012526,LOYALTEX,EMA_Trend,,,,
CDL_INVERTED_HAMMER,Bullish,Bullish,9,0.5555555555555556,0.0019640191868532573,9,0.5555555555555556,-0.0012828372253750702,9,0.4444444444444444,-0.009897576098333551,27,9,0.11111111111111116,0.8888888888888888,0.0010911217704740318,-0.0007126873474305945,-0.004398922710370467,-0.004020488287327029,LOYALTEX,EMA_Trend,,,,
CDL_HARAMI,Bullish,Bullish,15,0.6,0.0027288952842733287,15,0.5333333333333333,-0.0013431842133006114,15,0.4666666666666667,-0.005069662078804593,45,15,0.1333333333333333,0.8666666666666667,0.0016373371705639972,-0.0007163649137603261,-0.0023658423034421433,-0.0014448700466384722,LOYALTEX,EMA_Trend,,,,
CDL_HARAMI_CROSS,Bearish,,4,0.5,0.003084933459560346,4,0.5,0.0034558060222183162,4,0.5,0.004966419844859349,12,4,0.0,1.0,0.001542466729780173,0.0017279030111091581,0.0024832099224296744,0.005753579663319006,LOYALTEX,MACD_Trend,,Bearish,,
CDL_HARAMI,Bearish,,12,0.3333333333333333,0.005349745997185397,12,0.4166666666666667,0.0003334149708777527,12,0.4166666666666667,-0.00028489408476331524,36,12,0.08333333333333337,0.9166666666666666,0.0017832486657284657,0.00013892290453239696,-0.00011870586865138136,0.0018034657016094814,LOYALTEX,MACD_Trend,,Bearish,,
CDL_BULLISH_ENGULFING,Bullish,,8,0.25,-0.01286175175589542,8,0.375,0.006526073855404407,8,0.25,-0.006436520009232949,24,8,0.125,0.875,-0.003215437938973855,0.0024472776957766527,-0.0016091300023082372,-0.0023772902455054395,LOYALTEX,MACD_Trend,,Bullish,,
CDL_HARAMI,Bullish,,4,0.5,-0.00910824694229534,4,0.25,-0.02410885719576014,4,0.25,-0.046600256143634305,12,4,0.25,0.75,-0.00455412347114767,-0.006027214298940035,-0.011650064035908576,-0.02223140180599628,LOYALTEX,RSI_State,,,Oversold,
CDL_HARAMI_CROSS,Bearish,,6,0.6666666666666666,-0.006967254777804466,6,0.6666666666666666,-0.00393531986269563,6,0.6666666666666666,-0.017855399162775436,18,6,0.0,1.0,-0.0046448365185363105,-0.00262354657513042,-0.01190359944185029,-0.01917198253551702,LOYALTEX,CMF_State,,,,Negative
CDL_HARAMI,Bullish,,13,0.46153846153846156,-0.0034129279592229633,13,0.46153846153846156,-0.006075183829509197,13,0.46153846153846156,-0.003885693425787937,39,13,0.0,1.0,-0.0015751975196413677,-0.0028039309982350142,-0.0017933969657482787,-0.006172525483624661,LOYALTEX,CMF_State,,,,Positive
CDL_HARAMI,Bearish,,16,0.375,-0.000712187696280446,16,0.4375,0.014286725408758534,16,0.4375,0.002602094216334873,48,16,0.0625,0.9375,-0.00026707038610516726,0.006250442366331859,0.0011384162196465069,0.007121788199873198,LOYALTEX,CMF_State,,,,Negative
