Pattern,SignalType,EMA_Trend,Count_1D,SuccessRate_1D,AvgReturn_1D,Count_2D,SuccessRate_2D,AvgReturn_2D,Count_3D,SuccessRate_3D,AvgReturn_3D,Count_sum,Count_min,SuccessRange,ConsistencyScore,ExpectedReturn_1D,ExpectedReturn_2D,ExpectedReturn_3D,ExpectedReturn_sum,Symbol,Indicator,Company,MACD_Trend,RSI_State,CMF_State
CDL_ENGULFING,Bearish,Bearish,78,0.41025641025641024,-0.004016547841542653,78,0.47435897435897434,-0.005844722457606773,78,0.47435897435897434,-0.003937141052096334,234,78,0.0641025641025641,0.9358974358974359,-0.0016478144990944217,-0.0027724965504032128,-0.0018676181913790302,-0.006287929240876665,RCOM,EMA_Trend,,,,
CDL_HARAMI,Bullish,Bullish,23,0.21739130434782608,-0.001152976894107731,23,0.2608695652173913,-0.0033239056766540677,23,0.30434782608695654,-0.002901759863765382,69,23,0.08695652173913046,0.9130434782608695,-0.000250647150892985,-0.0008671058286923654,-0.0008831443063633771,-0.0020008972859487275,RCOM,EMA_Trend,,,,
CDL_HARAMI_CROSS,Bullish,Bullish,20,0.2,-0.0039191533703441086,20,0.25,-0.0012514080344551426,20,0.3,0.000503498605214292,60,20,0.09999999999999998,0.9,-0.0007838306740688217,-0.00031285200861378565,0.00015104958156428758,-0.0009456331011183197,RCOM,EMA_Trend,,,,
CDL_HARAMI,Bullish,,32,0.28125,0.0012558033590870515,32,0.25,-0.002966849115636404,32,0.34375,0.0018100865034543293,96,32,0.09375,0.90625,0.00035319469474323325,-0.000741712278909101,0.0006222172355624257,0.00023369965139655798,RCOM,MACD_Trend,,Bullish,,
CDL_HARAMI_CROSS,Bullish,,27,0.25925925925925924,-0.0007371256066144633,27,0.25925925925925924,7.327401069327315e-05,27,0.37037037037037035,0.0063025756840147515,81,27,0.1111111111111111,0.8888888888888888,-0.0001911066387518979,1.8996965735293037e-05,0.0023342872903758336,0.0021621776173592288,RCOM,MACD_Trend,,Bullish,,
CDL_ENGULFING,Bearish,,57,0.3333333333333333,0.0022629277570786546,57,0.45614035087719296,-0.0001147491152840501,57,0.42105263157894735,0.0017208315621405014,171,57,0.12280701754385964,0.8771929824561404,0.0007543092523595515,-5.2341701708514075e-05,0.000724560657743369,0.0014265282083944064,RCOM,MACD_Trend,,Bearish,,
CDL_HARAMI,Bullish,,4,0.25,0.0032840777716195424,4,0.25,0.006568147713398781,4,0.25,0.009852225485018351,12,4,0.0,1.0,0.0008210194429048856,0.0016420369283496952,0.0024630563712545878,0.004926112742509169,RCOM,RSI_State,,,Oversold,
CDL_HARAMI_CROSS,Bullish,,4,0.25,0.0032840777716195424,4,0.25,0.006568147713398781,4,0.25,0.009852225485018351,12,4,0.0,1.0,0.0008210194429048856,0.0016420369283496952,0.0024630563712545878,0.004926112742509169,RCOM,RSI_State,,,Oversold,
CDL_INVERTED_HAMMER,Bullish,,10,0.5,0.0017702776054589696,10,0.5,0.007499823474237543,10,0.6,0.019428249921526884,30,10,0.09999999999999998,0.9,0.0008851388027294848,0.0037499117371187717,0.01165694995291613,0.016292000492764386,RCOM,RSI_State,,,Oversold,
CDL_ENGULFING,Bearish,,103,0.42718446601941745,-0.003634746701115701,103,0.4854368932038835,-0.004940418570785233,103,0.46601941747572817,-0.0039797520254130836,309,103,0.05825242718446605,0.941747572815534,-0.00155270732863195,-0.002398261442128754,-0.0018546417205808545,-0.005805610491341558,RCOM,CMF_State,,,,Negative
CDL_HARAMI,Bearish,,15,0.26666666666666666,-0.0016839029595603868,15,0.4,-0.00578597022279476,15,0.4,-0.0033341172707076483,45,15,0.13333333333333336,0.8666666666666667,-0.00044904078921610317,-0.002314388089117904,-0.0013336469082830594,-0.004097075786617067,RCOM,CMF_State,,,,Negative
CDL_HARAMI,Bullish,,7,0.2857142857142857,0.0026882078771121192,7,0.42857142857142855,-0.0018855383048981742,7,0.42857142857142855,-0.0057173512846506735,21,7,0.14285714285714285,0.8571428571428572,0.0007680593934606054,-0.0008080878449563603,-0.0024502934077074313,-0.0024903218592031862,RCOM,CMF_State,,,,Positive
