Pattern,SignalType,EMA_Trend,Count_1D,SuccessRate_1D,AvgReturn_1D,Count_2D,SuccessRate_2D,AvgReturn_2D,Count_3D,SuccessRate_3D,AvgReturn_3D,Count_sum,Count_min,SuccessRange,ConsistencyScore,ExpectedReturn_1D,ExpectedReturn_2D,ExpectedReturn_3D,ExpectedReturn_sum,Symbol,Indicator,Company,MACD_Trend,RSI_State,CMF_State
CDL_HARAMI_CROSS,Bearish,Bearish,4,0.75,-0.02223143580755227,4,0.75,-0.03195981935834394,4,0.75,-0.049900328835379065,12,4,0.0,1.0,-0.0166735768556642,-0.023969864518757954,-0.0374252466265343,-0.07806868800095645,VIKASLIFE,EMA_Trend,,,,
CDL_BULLISH_ENGULFING,Bullish,Bullish,8,0.25,-0.012219901614545656,8,0.25,-0.018522558419471757,8,0.25,-0.005527340163103342,24,8,0.0,1.0,-0.003054975403636414,-0.004630639604867939,-0.0013818350407758355,-0.009067450049280189,VIKASLIFE,EMA_Trend,,,,
CDL_HARAMI,Bullish,Bullish,28,0.21428571428571427,-0.001822547886548612,28,0.25,-0.013580971494592416,28,0.25,-0.022274501404047214,84,28,0.035714285714285726,0.9642857142857143,-0.00039054597568898827,-0.003395242873648104,-0.005568625351011804,-0.009354414200348896,VIKASLIFE,EMA_Trend,,,,
CDL_HARAMI,Bullish,,51,0.2549019607843137,-0.004824027507152641,51,0.2549019607843137,-0.0073667758048058625,51,0.29411764705882354,-0.006007193249364567,153,51,0.03921568627450983,0.9607843137254901,-0.001229654070450673,-0.001877805597303455,-0.001766821543930755,-0.004874281211684883,VIKASLIFE,MACD_Trend,,Bullish,,
CDL_BULLISH_ENGULFING,Bearish,,67,0.4626865671641791,-0.004205486759049561,67,0.40298507462686567,-0.004285813675636394,67,0.4925373134328358,-0.005438127260003463,201,67,0.08955223880597013,0.9104477611940298,-0.0019458222317990505,-0.001727118943913174,-0.0026784805907479744,-0.006351421766460199,VIKASLIFE,MACD_Trend,,Bearish,,
CDL_INVERTED_HAMMER,Bullish,,8,0.5,0.00285531970761195,8,0.375,0.0012366163973386995,8,0.5,-0.0024634103459247325,24,8,0.125,0.875,0.001427659853805975,0.00046373114900201233,-0.0012317051729623663,0.0006596858298456212,VIKASLIFE,MACD_Trend,,Bullish,,
CDL_HARAMI,Bullish,,5,0.4,-0.002027598052818913,5,0.4,0.006673593237301057,5,0.4,0.01928277549990176,15,5,0.0,1.0,-0.0008110392211275653,0.002669437294920423,0.007713110199960705,0.009571508273753563,VIKASLIFE,RSI_State,,,Oversold,
CDL_BULLISH_ENGULFING,Bearish,,134,0.5074626865671642,-0.00692497837480693,134,0.4552238805970149,-0.008583579680610355,134,0.5298507462686567,-0.008992624379292343,402,134,0.07462686567164178,0.9253731343283582,-0.0035141681304990393,-0.003907450451621132,-0.004764748738281764,-0.012186367320401934,VIKASLIFE,CMF_State,,,,Negative
CDL_THREE_OUTSIDE_UP,Bearish,,40,0.625,-0.011774494394836518,40,0.65,-0.0194593042173059,40,0.7,-0.021409568247296017,120,40,0.07499999999999996,0.925,-0.007359058996772824,-0.012648547741248834,-0.01498669777310721,-0.034994304511128865,VIKASLIFE,CMF_State,,,,Negative
CDL_SHOOTING_STAR,Bearish,,8,0.625,-0.004857148746652815,8,0.625,-0.012960306135935976,8,0.75,-0.027662443731320083,24,8,0.125,0.875,-0.003035717966658009,-0.008100191334959985,-0.020746832798490062,-0.03188274210010805,VIKASLIFE,CMF_State,,,,Negative
