SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_MORNING_STAR,Bullish,0.5,0.15406245532136303,2,2D,0.07703122766068152
Candlestick,CDL_MORNING_STAR,Bullish,0.5,0.08904969389415118,2,1D,0.04452484694707559
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6,0.026361369368181443,10,2D,0.015816821620908864
Candlestick,CDL_THREE_INSIDE,Bullish,0.4,0.03267296695584376,5,3D,0.013069186782337506
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.4791666666666667,0.027265525165890148,48,3D,0.013064730808655696
Indicator,RSI_State,Overbought,0.5512820512820513,0.015562612727192103,78,2D,0.008579389067554621
Candlestick,CDL_EVENING_STAR,Bearish,0.3333333333333333,0.022801232843265667,3,3D,0.007600410947755222
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.4375,0.01714898103459002,48,2D,0.007502679202633133
Indicator,RSI_State,Overbought,0.5256410256410257,0.01378018154106048,78,3D,0.00724342875876256
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6,0.011378997901005172,10,3D,0.006827398740603102
Indicator,RSI_State,Oversold,0.15384615384615385,0.04249424269867456,13,3D,0.0065375757997960865
Candlestick,CDL_EVENING_STAR,Bearish,0.3333333333333333,0.01954616724370854,3,2D,0.006515389081236179
Indicator,RSI_State,Overbought,0.5256410256410257,0.011709311962082424,78,1D,0.006154894749299736
Indicator,RSI_State,Oversold,0.3076923076923077,0.018778971450459918,13,1D,0.005778145061679975
Candlestick,CDL_THREE_INSIDE,Bullish,0.2,0.028328458229181796,5,2D,0.00566569164583636
Indicator,CMF_State,Positive,0.5232273838630807,0.009619882990183242,409,3D,0.005033386210022528
Indicator,RSI_State,Oversold,0.15384615384615385,0.032194901185918626,13,2D,0.004953061720910558
Indicator,CMF_State,Positive,0.511002444987775,0.008587447245447324,409,2D,0.004388206538627116
Indicator,MACD_Trend,Bullish,0.5184563758389261,0.008388057167734799,596,3D,0.004348841719513511
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.6153846153846154,0.006960783984802943,39,3D,0.00428355937526335
Candlestick,CDL_THREE_INSIDE,Bullish,0.2,0.02068787971285533,5,1D,0.0041375759425710664
Indicator,EMA_Trend,Bearish,0.5045207956600362,0.007995298662459334,553,3D,0.0040337944427236054
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.3,0.01314664061290297,10,1D,0.003943992183870891
Indicator,MACD_Trend,Bullish,0.5083892617449665,0.005419344514488485,596,2D,0.0027551365568624347
Indicator,CMF_State,Positive,0.4792176039119804,0.005318301448013203,409,1D,0.002548623676798503
Indicator,EMA_Trend,Bullish,0.5564648117839607,0.004272444603612013,611,3D,0.0023774650822063572
Indicator,EMA_Trend,Bearish,0.46112115732368897,0.005053145978839823,553,2D,0.0023301125218881643
Candlestick,CDL_EVENING_STAR,Bearish,0.3333333333333333,0.006736996985182708,3,1D,0.0022456656617275694
Indicator,CMF_State,Negative,0.5364238410596026,0.004102426053194709,755,3D,0.0022006391411176916
Indicator,MACD_Trend,Bearish,0.545774647887324,0.0035784889809454424,568,3D,0.0019530485635441677
Indicator,EMA_Trend,Bullish,0.5515548281505729,0.002834452162453605,611,2D,0.0015633557753631179
Indicator,MACD_Trend,Bullish,0.4966442953020134,0.003088661050049145,596,1D,0.0015339658906284345
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4044943820224719,0.003696393409873637,89,1D,0.0014951703680387745
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5625,0.002135083604317821,48,1D,0.0012009845274287743
Indicator,MACD_Trend,Bearish,0.5088028169014085,0.0022822370896521792,568,2D,0.001161208660051901
Indicator,EMA_Trend,Bearish,0.47739602169981915,0.0023397326258427524,553,1D,0.0011169790474186015
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.48314606741573035,0.002110630812795565,89,3D,0.0010197429769686437
Candlestick,CDL_HARAMI_CROSS,Bullish,0.45454545454545453,0.0019926617228660415,22,1D,0.0009057553285754734
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4606741573033708,0.0018446387970479578,89,2D,0.0008497774233591716
Indicator,EMA_Trend,Bullish,0.530278232405892,0.001337586350265524,611,1D,0.0007092929255090504
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5384615384615384,0.0012981269449211462,39,1D,0.0006989914318806171
Indicator,CMF_State,Negative,0.5072847682119205,0.0013430120187677076,755,2D,0.0006812895406464
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.48717948717948717,0.0008871420598365235,39,2D,0.00043219741376651145
Indicator,MACD_Trend,Bearish,0.5140845070422535,0.0004758722117499767,568,1D,0.00024463853139259365
Candlestick,CDL_HARAMI,Bullish,0.5238095238095238,0.00018707274690841187,84,2D,9.79904864758348e-05
Candlestick,CDL_PIERCING,Bullish,0.0,0.004395285139976224,2,2D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,0.14213757687057993,2,3D,0.0
Candlestick,CDL_PIERCING,Bullish,0.0,0.0007991150390319612,2,1D,0.0
Candlestick,CDL_HARAMI,Bullish,0.5119047619047619,-2.5012540560789436e-05,84,3D,-1.2804038620404116e-05
Indicator,CMF_State,Negative,0.519205298013245,-8.483164256175194e-05,755,1D,-4.4045038257227494e-05
Candlestick,CDL_HARAMI,Bullish,0.47619047619047616,-0.0003825543815258591,84,1D,-0.00018216875310755193
Candlestick,CDL_HARAMI_CROSS,Bullish,0.6363636363636364,-0.0010475789452729543,22,2D,-0.00066664114699188
Candlestick,CDL_HAMMER,Bullish,0.5833333333333334,-0.0022473910991735826,12,2D,-0.00131097814118459
Candlestick,CDL_HAMMER,Bullish,0.5,-0.0033909469941869517,12,3D,-0.0016954734970934758
Candlestick,CDL_PIERCING,Bullish,0.5,-0.004742104699257066,2,3D,-0.002371052349628533
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6666666666666666,-0.0037804171914020226,6,3D,-0.0025202781276013483
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5833333333333334,-0.005046815911204265,24,3D,-0.0029439759482024885
Candlestick,CDL_HARAMI,Bearish,0.53125,-0.005605129773255189,32,1D,-0.0029777251920418196
Candlestick,CDL_SHOOTING_STAR,Bearish,1.0,-0.0032099029164255333,1,3D,-0.0032099029164255333
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5833333333333334,-0.005849865866487974,24,2D,-0.0034124217554513184
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5,-0.007146859494739454,24,1D,-0.003573429747369727
Candlestick,CDL_HARAMI_CROSS,Bullish,0.6363636363636364,-0.006780843544156998,22,3D,-0.004315082255372635
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6363636363636364,-0.007649606986404691,11,1D,-0.004867931718621167
Candlestick,CDL_HARAMI,Bearish,0.5625,-0.009371316868367025,32,2D,-0.0052713657384564514
Candlestick,CDL_HAMMER,Bullish,0.6666666666666666,-0.009456270819643092,12,1D,-0.006304180546428728
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6666666666666666,-0.012357176385863053,6,2D,-0.008238117590575368
Candlestick,CDL_HARAMI,Bearish,0.625,-0.015411176492399075,32,3D,-0.009631985307749422
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6666666666666666,-0.016748171998325085,6,1D,-0.01116544799888339
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6363636363636364,-0.01864071198109746,11,2D,-0.011862271260698384
Candlestick,CDL_THREE_INSIDE,Bearish,0.4,-0.03132558645099326,5,2D,-0.012530234580397304
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6363636363636364,-0.027709737732175273,11,3D,-0.01763346946592972
Candlestick,CDL_SHOOTING_STAR,Bearish,1.0,-0.02246913203486689,1,2D,-0.02246913203486689
Candlestick,CDL_THREE_INSIDE,Bearish,0.8,-0.02857474993569107,5,1D,-0.022859799948552858
Candlestick,CDL_SHOOTING_STAR,Bearish,1.0,-0.033827134120611446,1,1D,-0.033827134120611446
Candlestick,CDL_THREE_INSIDE,Bearish,0.8,-0.06159613605302405,5,3D,-0.04927690884241925
