SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.42857142857142855,0.032975496415267154,7,3D,0.014132355606543065
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.5833333333333334,0.022195754744043516,12,3D,0.012947523600692052
Candlestick,CDL_PIERCING,Bullish,0.6666666666666666,0.01577589929914558,3,2D,0.010517266199430386
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.6666666666666666,0.014198735809057728,3,3D,0.009465823872705151
Candlestick,CDL_PIERCING,Bullish,0.6666666666666666,0.011669717088385823,3,1D,0.007779811392257215
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.5,0.013209405963796652,12,2D,0.006604702981898326
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.6666666666666666,0.009798169286937811,3,2D,0.006532112857958541
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5714285714285714,0.009882211516852773,7,1D,0.005646978009630156
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.3333333333333333,0.013317678657357631,3,1D,0.00443922621911921
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5714285714285714,0.006294797927602014,7,2D,0.0035970273872011505
Candlestick,CDL_PIERCING,Bullish,0.6666666666666666,0.005203624454038954,3,3D,0.003469082969359302
Indicator,EMA_Trend,Bearish,0.5307346326836582,0.006499944997983462,667,3D,0.003449745920968734
Candlestick,CDL_HARAMI,Bullish,0.4067796610169492,0.007855568039999546,59,2D,0.003195485304406595
Candlestick,CDL_HARAMI,Bullish,0.4745762711864407,0.005811239297049721,59,3D,0.002757876276565969
Candlestick,CDL_HARAMI,Bullish,0.4067796610169492,0.005947242328973992,59,1D,0.002419217218565692
Indicator,EMA_Trend,Bearish,0.5112443778110944,0.004187255143016711,667,2D,0.0021407106503278837
Candlestick,CDL_HARAMI_CROSS,Bullish,0.2857142857142857,0.007038174475985711,21,1D,0.0020109069931387746
Indicator,MACD_Trend,Bullish,0.40714285714285714,0.004566087288374574,560,3D,0.0018590498245525053
Indicator,MACD_Trend,Bullish,0.39464285714285713,0.004248202986113576,560,2D,0.001676522964162679
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.35185185185185186,0.003599921064430788,54,1D,0.0012666388930404624
Indicator,MACD_Trend,Bullish,0.40535714285714286,0.0027358483295570534,560,1D,0.0011089956621597342
