SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE,Bullish,0.42857142857142855,0.03135192072517258,14,3D,0.01343653745364539
Candlestick,CDL_HARAMI_CROSS,Bullish,0.3333333333333333,0.03441239527761639,21,3D,0.011470798425872128
Candlestick,CDL_HARAMI,Bullish,0.4375,0.018426203872411617,64,3D,0.008061464194180083
Candlestick,CDL_THREE_INSIDE,Bullish,0.5,0.015002658036315382,14,2D,0.007501329018157691
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.4827586206896552,0.01490305670122411,58,3D,0.007194579097142674
Indicator,RSI_State,Oversold,0.3333333333333333,0.020987075285538843,18,3D,0.006995691761846281
Candlestick,CDL_HARAMI_CROSS,Bullish,0.3333333333333333,0.018184573534367948,21,2D,0.006061524511455982
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.47058823529411764,0.010989225510492953,17,2D,0.005171400240231978
Candlestick,CDL_HAMMER,Bullish,0.2857142857142857,0.01802817700497883,7,3D,0.005150907715708236
Candlestick,CDL_HARAMI_CROSS,Bearish,0.2,0.025672465168295112,5,1D,0.005134493033659023
Candlestick,CDL_HARAMI,Bearish,0.46153846153846156,0.011020188653317673,26,2D,0.005086240916915849
Indicator,EMA_Trend,Bearish,0.42063492063492064,0.011983697669951571,378,3D,0.0050407617183129624
Candlestick,CDL_HARAMI,Bullish,0.421875,0.011521969324447472,64,2D,0.004860830808751278
Indicator,MACD_Trend,Bullish,0.45901639344262296,0.010315038704463401,549,3D,0.0047347718643438565
Indicator,RSI_State,Oversold,0.3888888888888889,0.01193100550637031,18,2D,0.004639835474699565
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.46551724137931033,0.00944841409446209,58,2D,0.004398399664663387
Candlestick,CDL_MORNING_STAR,Bullish,0.2,0.02107037323454484,5,2D,0.004214074646908968
Candlestick,CDL_HARAMI_CROSS,Bearish,0.4,0.01014105525154121,5,2D,0.0040564221006164835
Indicator,CMF_State,Negative,0.4576,0.008643697598707395,625,3D,0.003955356021168504
