SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE,Bullish,0.5,0.06657380583231093,2,2D,0.033286902916155464
Candlestick,CDL_HAMMER,Bullish,0.4444444444444444,0.030168874659613536,9,2D,0.013408388737606015
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6,0.019048262820273255,5,1D,0.011428957692163953
Candlestick,CDL_HARAMI_CROSS,Bearish,0.2,0.055862380114064615,5,3D,0.011172476022812924
Candlestick,CDL_THREE_INSIDE,Bullish,0.5,0.020644197564241462,2,3D,0.010322098782120731
Candlestick,CDL_HAMMER,Bullish,0.4444444444444444,0.018311750661038566,9,1D,0.008138555849350474
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5416666666666666,0.013408147073872945,24,3D,0.007262746331681178
Candlestick,CDL_EVENING_STAR,Bearish,0.3333333333333333,0.020786837099667072,3,3D,0.006928945699889024
Candlestick,CDL_THREE_INSIDE,Bearish,0.3333333333333333,0.01929442632122676,3,3D,0.00643147544040892
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5454545454545454,0.01149804213649846,11,2D,0.006271659347180978
Candlestick,CDL_EVENING_STAR,Bearish,0.3333333333333333,0.016921984602938183,3,2D,0.005640661534312728
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.36363636363636365,0.014974459606972584,11,3D,0.0054452580388991215
Candlestick,CDL_HARAMI_CROSS,Bearish,0.2,0.02560668181954886,5,2D,0.005121336363909772
Candlestick,CDL_THREE_INSIDE,Bearish,0.3333333333333333,0.012698591681243506,3,1D,0.004232863893747835
Candlestick,CDL_HAMMER,Bullish,0.2222222222222222,0.017768620118588114,9,3D,0.003948582248575136
Candlestick,CDL_THREE_INSIDE,Bearish,0.3333333333333333,0.00791146059599579,3,2D,0.0026371535319985964
Candlestick,CDL_HARAMI_CROSS,Bullish,0.4166666666666667,0.0055353723145896245,24,1D,0.00230640513107901
Candlestick,CDL_HARAMI_CROSS,Bullish,0.375,0.00506180998399076,24,2D,0.0018981787439965349
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5454545454545454,0.0034422393654052804,11,1D,0.0018775851084028802
Indicator,RSI_State,Oversold,0.4473684210526316,0.002598178074449354,38,2D,0.0011623428227799742
Indicator,RSI_State,Overbought,0.4583333333333333,0.0023713358143045656,24,1D,0.0010868622482229258
Indicator,RSI_State,Oversold,0.42105263157894735,0.002491402340871246,38,3D,0.0010490115119457877
Indicator,CMF_State,Positive,0.48026315789473684,0.0020241162339015564,152,2D,0.0009721084544395633
Indicator,CMF_State,Positive,0.4605263157894737,0.0020974876861460574,152,3D,0.0009659482765146316
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.36363636363636365,0.002029501254667564,22,3D,0.0007380004562427506
Indicator,RSI_State,Overbought,0.4583333333333333,0.0014207431560466454,24,3D,0.0006511739465213791
Candlestick,CDL_HARAMI,Bearish,0.6363636363636364,0.0008248004454404514,11,3D,0.0005248730107348328
Indicator,RSI_State,Overbought,0.4166666666666667,0.0012131166137547555,24,2D,0.0005054652557311481
Indicator,CMF_State,Positive,0.5131578947368421,0.0005816656256275828,152,1D,0.0002984863078878386
Candlestick,CDL_HARAMI,Bullish,0.48,0.0005842661032463359,50,3D,0.0002804477295582412
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.058114006537479224,1,2D,0.0
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.0,0.03973762335822573,2,1D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,0.0027396842224955975,1,1D,0.0
Candlestick,CDL_EVENING_STAR,Bearish,0.0,0.019421020030618703,3,1D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,0.006849315068493178,1,2D,0.0
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.13486847712117522,1,3D,0.0
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.007675405230548105,1,1D,0.0
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.0,0.060454215617704365,2,2D,0.0
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.0,0.05509614218690029,2,3D,0.0
Indicator,RSI_State,Oversold,0.42105263157894735,-0.00032775974583320276,38,1D,-0.00013800410350871695
Indicator,MACD_Trend,Bearish,0.5357142857142857,-0.0005477021471777682,364,1D,-0.0002934118645595187
Indicator,EMA_Trend,Bearish,0.509090909090909,-0.0009430093854060577,440,1D,-0.00048007750529762935
Indicator,EMA_Trend,Bullish,0.5654205607476636,-0.0010118784781969425,214,1D,-0.0005721368965506076
Indicator,CMF_State,Negative,0.5318725099601593,-0.0014340225079844695,502,1D,-0.0007627171506610624
Indicator,MACD_Trend,Bullish,0.5172413793103449,-0.001490008766690012,290,1D,-0.0007706941896672477
Indicator,MACD_Trend,Bearish,0.5384615384615384,-0.0014886954632125698,364,2D,-0.0008016052494221529
Indicator,EMA_Trend,Bearish,0.5318181818181819,-0.0019051369056631183,440,2D,-0.0010131864452844765
Candlestick,CDL_THREE_INSIDE,Bullish,0.5,-0.0020781459619581555,2,1D,-0.0010390729809790777
Indicator,EMA_Trend,Bearish,0.5,-0.002251758530382504,440,3D,-0.001125879265191252
Indicator,MACD_Trend,Bearish,0.5192307692307693,-0.0022590933917584098,364,3D,-0.0011729907995668668
Indicator,EMA_Trend,Bullish,0.5654205607476636,-0.002082698284546244,214,2D,-0.001177600431916334
Indicator,MACD_Trend,Bullish,0.5482758620689655,-0.0025588707681906647,290,2D,-0.0014029670763528127
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.52,-0.002856910499311751,50,3D,-0.0014855934596421105
Indicator,CMF_State,Negative,0.5617529880478087,-0.003170564420194631,502,2D,-0.001781074036842402
Indicator,MACD_Trend,Bullish,0.5275862068965518,-0.0040290821045245945,290,3D,-0.002125688144800907
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.58,-0.0037286243800154152,50,1D,-0.0021626021404089406
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5454545454545454,-0.004212403296710743,22,1D,-0.002297674525478587
Candlestick,CDL_HARAMI,Bullish,0.48,-0.004836470584983692,50,1D,-0.0023215058807921725
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.6363636363636364,-0.003711387935271522,22,2D,-0.002361792322445514
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,-0.004956223695365941,8,3D,-0.0024781118476829705
Indicator,CMF_State,Negative,0.5418326693227091,-0.004600720982482857,502,3D,-0.0024928209307476835
Candlestick,CDL_HARAMI,Bullish,0.52,-0.004913505861553271,50,2D,-0.002555023048007701
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.6,-0.004295064735905427,50,2D,-0.0025770388415432563
Indicator,EMA_Trend,Bullish,0.5700934579439252,-0.004672757250205102,214,3D,-0.0026639083389019737
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,-0.006275205877278978,6,1D,-0.003137602938639489
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.625,-0.005715768540787175,8,2D,-0.0035723553379919844
Candlestick,CDL_MORNING_STAR,Bullish,1.0,-0.0041096308459975806,1,3D,-0.0041096308459975806
Candlestick,CDL_HARAMI,Bearish,0.5454545454545454,-0.010529415817941413,11,2D,-0.0057433177188771336
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.875,-0.006868956731219553,8,1D,-0.0060103371398171086
