SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.013751231977535694,2,1D,0.006875615988767847
Candlestick,CDL_HARAMI,Bearish,0.4375,0.014363438644892076,32,3D,0.0062840044071402834
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.4,0.0135933924814724,5,2D,0.00543735699258896
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.4,0.011615309781957638,5,1D,0.004646123912783055
Candlestick,CDL_THREE_INSIDE,Bullish,0.38461538461538464,0.011812732582183218,13,2D,0.004543358685455084
Candlestick,CDL_EVENING_STAR,Bearish,0.3333333333333333,0.01133504007737792,6,2D,0.003778346692459306
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.3333333333333333,0.01125489265420502,3,3D,0.0037516308847350068
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.3333333333333333,0.011001919967440285,12,3D,0.0036673066558134283
Indicator,RSI_State,Oversold,0.18181818181818182,0.019385949719676634,11,2D,0.003524718130850297
Candlestick,CDL_THREE_INSIDE,Bullish,0.23076923076923078,0.0148304014089519,13,1D,0.0034224003251427464
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.2,0.01668217376902297,5,3D,0.003336434753804594
Candlestick,CDL_THREE_INSIDE,Bullish,0.38461538461538464,0.008048255637650744,13,3D,0.0030954829375579784
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5189873417721519,0.005877913099556788,79,3D,0.0030505624947066877
Indicator,RSI_State,Oversold,0.18181818181818182,0.016453500098311643,11,3D,0.0029915454724202986
Candlestick,CDL_HARAMI,Bearish,0.46875,0.0061505889521381515,32,2D,0.0028830885713147583
Indicator,EMA_Trend,Bearish,0.37919463087248323,0.007174720941016814,298,3D,0.0027206156588419463
Candlestick,CDL_EVENING_STAR,Bearish,0.16666666666666666,0.01618110930212689,6,3D,0.0026968515503544813
Indicator,CMF_State,Negative,0.42229199372056514,0.006129902862570644,637,3D,0.0025886089011483565
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4430379746835443,0.005814416550333946,79,2D,0.002576007332426432
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.45454545454545453,0.00527346239561441,33,2D,0.0023970283616429134
Indicator,RSI_State,Oversold,0.18181818181818182,0.012929814465357469,11,1D,0.0023508753573377216
Indicator,MACD_Trend,Bearish,0.4112903225806452,0.005652128521999833,620,3D,0.0023246657630805767
Candlestick,CDL_HARAMI,Bearish,0.46875,0.004761895109653396,32,1D,0.0022321383326500293
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.3939393939393939,0.004771362370763241,33,3D,0.001879627600603701
Candlestick,CDL_HARAMI,Bullish,0.4189189189189189,0.00434600135136164,74,3D,0.0018206221877325789
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.3333333333333333,0.00543310114712392,3,1D,0.0018110337157079732
Indicator,EMA_Trend,Bearish,0.3926174496644295,0.004495714964967468,298,2D,0.0017650961439637375
Indicator,CMF_State,Negative,0.43328100470957615,0.0040025138316627925,637,2D,0.00173421321434683
