SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6666666666666666,0.06276688358255948,6,3D,0.041844589055039655
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6666666666666666,0.05207927852593867,6,2D,0.03471951901729244
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.5,0.03458888040394842,2,2D,0.01729444020197421
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.5,0.03356225874158986,2,3D,0.01678112937079493
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6666666666666666,0.011452088359364732,6,1D,0.0076347255729098205
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.6666666666666666,0.010809789294760397,3,1D,0.007206526196506931
Candlestick,CDL_PIERCING,Bullish,0.5,0.011993084248288752,8,3D,0.005996542124144376
Candlestick,CDL_EVENING_STAR,Bearish,0.42857142857142855,0.01034236290381623,7,3D,0.00443244124449267
Candlestick,CDL_HARAMI,Bullish,0.5454545454545454,0.007512913764242171,55,3D,0.004097952962313911
Candlestick,CDL_EVENING_STAR,Bearish,0.42857142857142855,0.008996943479685002,7,1D,0.0038558329198650006
Candlestick,CDL_EVENING_STAR,Bearish,0.14285714285714285,0.020759750273403377,7,2D,0.0029656786104861966
Indicator,EMA_Trend,Bullish,0.4850187265917603,0.0060980060738132875,534,3D,0.0029576471406697405
Indicator,EMA_Trend,Bullish,0.47191011235955055,0.004185770746308164,534,2D,0.001975307543201605
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5,0.0035718500396286932,20,3D,0.0017859250198143466
Indicator,MACD_Trend,Bearish,0.5343383584589615,0.002890860335746208,597,3D,0.0015446975663367512
Indicator,MACD_Trend,Bullish,0.43738977072310403,0.0029218781638980975,567,3D,0.001277999620188233
Indicator,MACD_Trend,Bullish,0.4426807760141093,0.0023823582046895698,567,2D,0.001054624178795559
Indicator,EMA_Trend,Bullish,0.47752808988764045,0.0021639162345052855,534,1D,0.0010333307861401645
Candlestick,CDL_HARAMI,Bullish,0.4727272727272727,0.001661659455514827,55,2D,0.0007855117426070091
Indicator,MACD_Trend,Bearish,0.5159128978224455,0.0014710865202010473,597,2D,0.0007589525095844599
Indicator,MACD_Trend,Bullish,0.4409171075837742,0.0015180531973213716,567,1D,0.0006693356249212396
Candlestick,CDL_MORNING_STAR,Bullish,0.4,0.0014122869073125877,5,1D,0.0005649147629250351
Indicator,MACD_Trend,Bearish,0.5025125628140703,0.0003756189885431855,597,1D,0.00018875326057446505
Indicator,EMA_Trend,Bearish,0.5746031746031746,0.00020033856500700247,630,3D,0.00011511517544846808
Indicator,CMF_State,Negative,0.0,0.0025137233667401923,952,2D,0.0
Indicator,CMF_State,Positive,0.0,-0.0007737211816870378,212,2D,-0.0
Indicator,RSI_State,Overbought,0.0,0.009409608818073095,86,2D,0.0
Indicator,RSI_State,Overbought,0.0,0.004830203267305097,86,1D,0.0
Indicator,CMF_State,Negative,0.0,0.0035551439082105334,952,3D,0.0
Indicator,RSI_State,Oversold,0.0,0.0033034874691037536,71,2D,0.0
Indicator,RSI_State,Oversold,0.0,0.0066776101722496066,71,3D,0.0
Indicator,CMF_State,Positive,0.0,-9.190854932645233e-06,212,3D,-0.0
Indicator,CMF_State,Positive,0.0,-0.00015763751036934352,212,1D,-0.0
Indicator,RSI_State,Overbought,0.0,0.012678044810058362,86,3D,0.0
Indicator,RSI_State,Oversold,0.0,0.0006022841956918241,71,1D,0.0
Indicator,CMF_State,Negative,0.0,0.0011747897597056724,952,1D,0.0
Indicator,EMA_Trend,Bearish,0.5396825396825397,-9.78702207864816e-06,630,2D,-5.2818849313339265e-06
Indicator,EMA_Trend,Bearish,0.5349206349206349,-0.00011198503203860809,630,1D,-5.990310443969988e-05
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3055555555555556,-0.00038509769587610765,36,3D,-0.00011766874040658846
Candlestick,CDL_HARAMI,Bullish,0.45454545454545453,-0.000495853993873241,55,1D,-0.00022538817903329134
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.4444444444444444,-0.0007404761936493395,36,1D,-0.00032910053051081754
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.55,-0.0013803506198918833,80,2D,-0.0007591928409405359
Candlestick,CDL_HAMMER,Bullish,0.3333333333333333,-0.0024136328163861243,12,3D,-0.000804544272128708
Candlestick,CDL_PIERCING,Bullish,0.5,-0.0016709504949449366,8,1D,-0.0008354752474724683
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,-0.0021075099207105707,6,1D,-0.0010537549603552854
Candlestick,CDL_MORNING_STAR,Bullish,0.2,-0.005504263238733121,5,2D,-0.0011008526477466242
Candlestick,CDL_HAMMER,Bullish,0.25,-0.004447326032370903,12,2D,-0.0011118315080927259
Candlestick,CDL_HARAMI_CROSS,Bullish,0.4,-0.0028577884568513623,20,2D,-0.0011431153827405449
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3888888888888889,-0.002955355798263485,36,1D,-0.0011493050326580219
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5625,-0.0020895226966920243,80,3D,-0.0011753565168892636
Candlestick,CDL_HARAMI_CROSS,Bullish,0.3,-0.004402443443179071,20,1D,-0.0013207330329537213
Candlestick,CDL_HARAMI,Bearish,0.5652173913043478,-0.0025906271393303275,23,1D,-0.0014642675135345328
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3055555555555556,-0.004806925190315318,36,2D,-0.001468782697040792
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.55,-0.003098825559392444,80,1D,-0.0017043540576658445
Candlestick,CDL_SHOOTING_STAR,Bearish,0.47058823529411764,-0.003657926807161992,17,2D,-0.001721377321017408
Candlestick,CDL_SHOOTING_STAR,Bearish,0.4117647058823529,-0.004624746910918207,17,1D,-0.0019043075515545558
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.6666666666666666,-0.0035742002870821077,36,2D,-0.0023828001913880716
Candlestick,CDL_HAMMER,Bullish,0.3333333333333333,-0.007287098000725939,12,1D,-0.002429032666908646
Candlestick,CDL_HARAMI,Bearish,0.782608695652174,-0.0032489097564122084,23,2D,-0.0025426250267573808
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.3333333333333333,-0.008567722647522738,3,2D,-0.002855907549174246
Candlestick,CDL_MORNING_STAR,Bullish,0.2,-0.017332725758095413,5,3D,-0.003466545151619083
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.45161290322580644,-0.007881423271400219,31,1D,-0.0035593524451484858
Candlestick,CDL_HARAMI_CROSS,Bearish,0.7142857142857143,-0.005059471524528537,7,1D,-0.003613908231806098
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5833333333333334,-0.0064312745021821716,36,3D,-0.0037515767929396002
Candlestick,CDL_HARAMI,Bearish,0.7391304347826086,-0.0053707960531562925,23,3D,-0.003969718821898129
Candlestick,CDL_PIERCING,Bullish,0.5,-0.008239896036680017,8,2D,-0.004119948018340008
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.41935483870967744,-0.010105586140437136,31,3D,-0.004237826445989767
Candlestick,CDL_THREE_INSIDE_UP,Bearish,1.0,-0.004778761193179493,2,1D,-0.004778761193179493
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3225806451612903,-0.015976174826958563,31,2D,-0.005153604782889859
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5294117647058824,-0.010774687662005315,17,3D,-0.005704246409296932
Candlestick,CDL_HARAMI_CROSS,Bearish,0.8571428571428571,-0.012606414897643501,7,2D,-0.010805498483694428
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.3333333333333333,-0.034110879147272954,3,3D,-0.011370293049090985
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6666666666666666,-0.019372997065401316,6,2D,-0.01291533137693421
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.6666666666666666,-0.019895115905094813,3,2D,-0.01326341060339654
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.6666666666666666,-0.022916868465594487,3,3D,-0.015277912310396324
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6666666666666666,-0.029177588855429093,6,3D,-0.019451725903619394
Candlestick,CDL_HARAMI_CROSS,Bearish,0.8571428571428571,-0.025174244956595926,7,3D,-0.021577924248510794
Candlestick,CDL_ADVANCE_BLOCK,Bearish,1.0,-0.02669847932117227,3,1D,-0.02669847932117227
