SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_PIERCING,Bullish,1.0,0.05508549338469415,2,2D,0.05508549338469415
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.8333333333333334,0.06157832870347366,6,3D,0.05131527391956139
Candlestick,CDL_HARAMI_CROSS,Bullish,0.7058823529411765,0.05551105644004661,17,3D,0.039184275134150556
Candlestick,CDL_PIERCING,Bullish,0.5,0.07074229274317229,2,3D,0.03537114637158614
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.8333333333333334,0.036633538933502297,6,2D,0.030527949111251916
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.5,0.05972291045466038,2,3D,0.02986145522733019
Candlestick,CDL_PIERCING,Bullish,1.0,0.027672872174153373,2,1D,0.027672872174153373
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,1.0,0.026069495130270792,2,1D,0.026069495130270792
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.5,0.05081969092612748,2,2D,0.02540984546306374
Candlestick,CDL_THREE_INSIDE_UP,Bullish,1.0,0.024793324595259847,1,1D,0.024793324595259847
Candlestick,CDL_THREE_INSIDE_UP,Bullish,1.0,0.023140473069735767,1,2D,0.023140473069735767
Candlestick,CDL_HARAMI,Bullish,0.6666666666666666,0.03324324699036009,27,3D,0.02216216466024006
Candlestick,CDL_HARAMI_CROSS,Bullish,0.6470588235294118,0.02897468747238068,17,2D,0.01874832718801103
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.02590254594753838,2,2D,0.01295127297376919
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.021042232865575772,2,3D,0.010521116432787886
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5,0.019388124118096428,6,1D,0.009694062059048214
Candlestick,CDL_HARAMI,Bullish,0.5185185185185185,0.013486601460857109,27,2D,0.006993052609333315
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5882352941176471,0.01167164480227827,17,1D,0.006865673413104865
Candlestick,CDL_SHOOTING_STAR,Bearish,0.4,0.009467464235199664,5,2D,0.0037869856940798657
Indicator,MACD_Trend,Bearish,0.4742268041237113,0.006511931529642439,582,3D,0.0030881324779747647
Indicator,EMA_Trend,Bearish,0.43402225755166934,0.006710181444284907,629,3D,0.0029123680990298566
Candlestick,CDL_HARAMI,Bullish,0.4444444444444444,0.005854310880860541,27,1D,0.0026019159470491294
Indicator,MACD_Trend,Bearish,0.45532646048109965,0.004794703536727085,582,2D,0.0021831553904341537
Indicator,EMA_Trend,Bearish,0.41812400635930047,0.004263489781157342,629,2D,0.0017826674283694449
Candlestick,CDL_SHOOTING_STAR,Bearish,0.2,0.00835970002073776,5,1D,0.001671940004147552
Candlestick,CDL_THREE_INSIDE_UP,Bullish,1.0,0.0016528515255240794,1,3D,0.0016528515255240794
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.42857142857142855,0.0033593856571155767,21,3D,0.00143973671019239
Indicator,MACD_Trend,Bearish,0.38316151202749144,0.002820669482546795,582,1D,0.001080771983862432
Indicator,EMA_Trend,Bearish,0.35135135135135137,0.0020927324482692767,629,1D,0.0007352843737162323
Indicator,MACD_Trend,Bullish,0.41408934707903783,0.0015314696046981606,582,3D,0.0006341652486808535
Indicator,EMA_Trend,Bullish,0.3775700934579439,0.0008608510873477034,535,3D,0.000325031625503245
Indicator,EMA_Trend,Bullish,0.3644859813084112,0.0006842814327147078,535,2D,0.00024941098949414584
Indicator,MACD_Trend,Bullish,0.39690721649484534,0.00044211027573053894,582,2D,0.0001754767589239768
Indicator,EMA_Trend,Bullish,0.35514018691588783,0.00029287824302130024,535,1D,0.00010401283397018139
Indicator,CMF_State,Negative,0.0,0.0035307373637473052,1137,3D,0.0
Indicator,RSI_State,Overbought,0.0,0.0026931730664537658,92,3D,0.0
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.0,0.014645593353145192,2,1D,0.0
Indicator,RSI_State,Oversold,0.0,0.014002657450434199,39,3D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,-0.0583941753191729,1,3D,-0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,-0.05547447003377748,1,1D,-0.0
Indicator,CMF_State,Positive,0.0,0.024696706577983063,27,3D,0.0
Indicator,CMF_State,Positive,0.0,0.024641286285636527,27,2D,0.0
Indicator,CMF_State,Negative,0.0,0.0020954361557943275,1137,2D,0.0
Indicator,RSI_State,Overbought,0.0,0.005945311142816398,92,2D,0.0
Indicator,RSI_State,Oversold,0.0,0.007302797587031644,39,2D,0.0
Indicator,RSI_State,Overbought,0.0,0.0057181663073748255,92,1D,0.0
Indicator,CMF_State,Negative,0.0,0.0008894219119719974,1137,1D,0.0
Indicator,RSI_State,Oversold,0.0,0.0021524489398421333,39,1D,0.0
Indicator,CMF_State,Positive,0.0,0.017101698372800348,27,1D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,-0.061313880604568216,1,2D,-0.0
Indicator,MACD_Trend,Bullish,0.3745704467353952,-0.0002897097403169488,582,1D,-0.00010851670685411483
Candlestick,CDL_SHOOTING_STAR,Bearish,0.6,-0.0009263906764419127,5,3D,-0.0005558344058651476
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.29411764705882354,-0.003079126514190648,51,1D,-0.0009056254453501906
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.42857142857142855,-0.003757455595019895,7,2D,-0.0016103381121513835
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5714285714285714,-0.0033220217277832548,7,1D,-0.0018982981301618597
Candlestick,CDL_HAMMER,Bullish,0.1111111111111111,-0.018458692278673375,9,1D,-0.002050965808741486
Candlestick,CDL_HARAMI,Bearish,0.42857142857142855,-0.00562301880538006,7,1D,-0.00240986520230574
Candlestick,CDL_HAMMER,Bullish,0.3333333333333333,-0.007686059428166716,9,2D,-0.0025620198093889053
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.42857142857142855,-0.0066830629279995835,21,1D,-0.0028641698262855354
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3333333333333333,-0.008894402848785564,51,2D,-0.0029648009495951877
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.42857142857142855,-0.0069259803668624016,21,2D,-0.002968277300083886
Candlestick,CDL_HAMMER,Bullish,0.1111111111111111,-0.0364997363756809,9,3D,-0.004055526263964544
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3333333333333333,-0.01980637347034919,51,3D,-0.006602124490116396
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5714285714285714,-0.01322692901182189,7,3D,-0.007558245149612509
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6,-0.014234605814854962,5,1D,-0.008540763488912978
Candlestick,CDL_HARAMI,Bearish,0.7142857142857143,-0.028324903227705263,7,2D,-0.02023207373407519
Candlestick,CDL_HARAMI,Bearish,0.7142857142857143,-0.045424123062946506,7,3D,-0.03244580218781894
Candlestick,CDL_HARAMI_CROSS,Bearish,1.0,-0.04489803457408106,5,2D,-0.04489803457408106
Candlestick,CDL_HARAMI_CROSS,Bearish,0.8,-0.06802612587256145,5,3D,-0.05442090069804916
