SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6,0.026313046572586464,5,1D,0.015787827943551876
Indicator,RSI_State,Oversold,0.45,0.020978832893689563,20,3D,0.009440474802160304
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.5,0.014888107993235089,4,1D,0.0074440539966175445
Candlestick,CDL_HARAMI_CROSS,Bearish,0.4,0.018442665469435425,5,2D,0.00737706618777417
Candlestick,CDL_HARAMI_CROSS,Bullish,0.35714285714285715,0.01925350886416585,14,1D,0.006876253165773518
Indicator,RSI_State,Oversold,0.4,0.016739463873872956,20,2D,0.006695785549549183
Candlestick,CDL_HARAMI_CROSS,Bullish,0.35714285714285715,0.017629424656842838,14,3D,0.006296223091729585
Candlestick,CDL_HARAMI_CROSS,Bullish,0.2857142857142857,0.02066955050390455,14,2D,0.005905585858258442
Candlestick,CDL_EVENING_STAR,Bearish,0.75,0.007425531829476861,4,1D,0.005569148872107646
Candlestick,CDL_HARAMI_CROSS,Bearish,0.4,0.01169669192694458,5,3D,0.004678676770777833
Indicator,MACD_Trend,Bearish,0.5008210180623974,0.008735223546380608,609,3D,0.004374783549500961
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.25,0.01697346591220747,4,2D,0.004243366478051867
Candlestick,CDL_HAMMER,Bullish,0.5625,0.00731808600352734,16,3D,0.004116423376984129
Indicator,CMF_State,Negative,0.5007874015748032,0.008072494305913926,635,3D,0.004042603447686029
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.4642857142857143,0.008326389816097181,56,2D,0.003865823843187977
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.007668115463972586,4,2D,0.003834057731986293
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5714285714285714,0.006703802679552395,14,2D,0.0038307443883156544
Indicator,RSI_State,Oversold,0.45,0.008331303094231352,20,1D,0.0037490863924041083
Candlestick,CDL_MORNING_STAR,Bullish,0.25,0.014243572269559163,4,1D,0.0035608930673897907
Candlestick,CDL_MORNING_STAR,Bullish,0.25,0.013437143761864973,4,2D,0.003359285940466243
Indicator,EMA_Trend,Bullish,0.5208034433285509,0.006192628145843122,697,3D,0.0032251420616083975
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.005926386368339769,14,3D,0.0029631931841698845
Indicator,MACD_Trend,Bearish,0.4942528735632184,0.0057538586971052205,609,2D,0.002843861195120971
