SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.7142857142857143,0.018951124582987183,7,2D,0.013536517559276559
Candlestick,CDL_HAMMER,Bullish,0.8181818181818182,0.015464679644168906,11,2D,0.01265291970886547
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5714285714285714,0.021241675160521525,7,3D,0.012138100091726585
Candlestick,CDL_PIERCING,Bullish,0.5,0.019440134019435396,2,3D,0.009720067009717698
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.42857142857142855,0.022098914846416937,7,1D,0.009470963505607258
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.42857142857142855,0.014932790044827853,7,2D,0.006399767162069079
Candlestick,CDL_HAMMER,Bullish,0.7272727272727273,0.007969528810947086,11,3D,0.005796020953416062
Candlestick,CDL_MORNING_STAR,Bullish,0.6,0.008884206620141688,5,3D,0.0053305239720850125
Candlestick,CDL_PIERCING,Bullish,0.5,0.0103444056286775,2,1D,0.00517220281433875
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.2857142857142857,0.015498421188723561,7,3D,0.004428120339635303
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.42857142857142855,0.008861579500959369,7,1D,0.003797819786125444
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5555555555555556,0.005896061297157257,36,1D,0.0032755896095318098
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5384615384615384,0.005068286532029658,26,2D,0.002729077363400585
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.4722222222222222,0.005568664933211225,36,2D,0.0026296473295719675
Candlestick,CDL_SHOOTING_STAR,Bearish,0.6153846153846154,0.0042729186243305635,13,3D,0.002629488384203424
Candlestick,CDL_PIERCING,Bullish,0.5,0.005026048034117991,2,2D,0.0025130240170589957
Candlestick,CDL_HAMMER,Bullish,0.6363636363636364,0.0038190598936401854,11,1D,0.0024303108414073906
Candlestick,CDL_HARAMI,Bullish,0.4606741573033708,0.005046943273902057,89,2D,0.0023249963396627456
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.6538461538461539,0.003205684943803573,26,1D,0.00209602477094849
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.45,0.00422353839251832,80,3D,0.0019005922766332439
Candlestick,CDL_HARAMI,Bullish,0.42696629213483145,0.003971983285917612,89,3D,0.0016959029760097667
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.525,0.0026137402917902745,80,2D,0.0013722136531898943
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5384615384615384,0.00200389055997513,26,3D,0.0010790179938327622
Indicator,MACD_Trend,Bearish,0.4861788617886179,0.0014623468161020484,615,3D,0.0007109621105927032
Indicator,EMA_Trend,Bullish,0.464471403812825,0.0014762231094922924,577,3D,0.0006856634200068187
Indicator,EMA_Trend,Bearish,0.5059625212947189,0.0012820653589679673,587,3D,0.0006486770214880515
Indicator,MACD_Trend,Bullish,0.4426229508196721,0.0012841708706529868,549,3D,0.0005684035001250925
Indicator,MACD_Trend,Bearish,0.4943089430894309,0.001086634620194383,615,2D,0.0005371332106326707
Indicator,EMA_Trend,Bearish,0.524701873935264,0.00097471420791016,587,2D,0.0005114343714417875
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.525,0.0008476904396158599,80,1D,0.00044503748079832646
