SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_MORNING_STAR,Bullish,0.8,0.059926564064134526,5,3D,0.047941251251307625
Candlestick,CDL_MORNING_STAR,Bullish,0.8,0.04612568518477953,5,2D,0.03690054814782363
Candlestick,CDL_MORNING_STAR,Bullish,0.8,0.022766029853591642,5,1D,0.018212823882873316
Candlestick,CDL_HARAMI,Bearish,0.5,0.018968216316415005,12,2D,0.009484108158207502
Candlestick,CDL_HARAMI,Bearish,0.5833333333333334,0.01562661355912201,12,3D,0.009115524576154506
Candlestick,CDL_HARAMI_CROSS,Bullish,0.53125,0.01288517810322316,32,2D,0.006845250867337303
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.6666666666666666,0.010258473740191546,3,3D,0.00683898249346103
Candlestick,CDL_HARAMI_CROSS,Bullish,0.625,0.010352797065441701,32,1D,0.006470498165901064
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5,0.010838990686097921,32,3D,0.005419495343048961
Indicator,EMA_Trend,Bullish,0.532394366197183,0.00953514639579906,710,3D,0.005076458221988794
Candlestick,CDL_HARAMI,Bullish,0.589041095890411,0.00707914592678626,73,1D,0.0041699078746823175
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.375,0.010614478074758613,8,3D,0.00398042927803448
Indicator,EMA_Trend,Bullish,0.5295774647887324,0.00656541002443558,710,2D,0.0034768931960391237
Candlestick,CDL_HARAMI,Bullish,0.5205479452054794,0.0063380975158332156,73,2D,0.003299283638378934
Candlestick,CDL_HARAMI,Bullish,0.5068493150684932,0.00616123795345332,73,3D,0.0031228192366818197
Indicator,MACD_Trend,Bearish,0.4877250409165303,0.005354320413943429,611,3D,0.0026114361429707723
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5333333333333333,0.004650910826664171,45,1D,0.0024804857742208915
Indicator,MACD_Trend,Bullish,0.488245931283906,0.004930944119208669,553,3D,0.002407513403591936
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.4594594594594595,0.004056503354443933,37,3D,0.0018637988385282935
Indicator,MACD_Trend,Bullish,0.4755877034358047,0.003593046119179755,553,2D,0.0017088085521596303
Indicator,EMA_Trend,Bullish,0.5,0.0032367749716407947,710,1D,0.0016183874858203974
Indicator,MACD_Trend,Bearish,0.4828150572831424,0.003285614625165756,611,2D,0.0015863442134597349
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.4166666666666667,0.003424804380921196,12,1D,0.0014270018253838318
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,0.002795518052959467,2,2D,0.0013977590264797335
Indicator,MACD_Trend,Bullish,0.4665461121157324,0.0017924192538021065,553,1D,0.0008362462341427549
Indicator,MACD_Trend,Bearish,0.48117839607201307,0.0016615020510160905,611,1D,0.0007994788919782824
Candlestick,CDL_HARAMI,Bearish,0.3333333333333333,0.0014925130860762397,12,1D,0.0004975043620254132
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5411764705882353,0.0008942840316866292,85,2D,0.00048396547597158755
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.0009431409608760127,8,1D,0.00047157048043800637
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.4222222222222222,0.0005460749446396419,45,2D,0.00023056497662562659
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.6363636363636364,0.00033897364456878724,11,3D,0.00021571050108922825
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.5,0.00018169360485215114,20,1D,9.084680242607557e-05
Indicator,RSI_State,Oversold,0.0,0.032560114356900635,28,3D,0.0
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.09880913179846718,1,3D,0.0
Indicator,CMF_State,Negative,0.0,0.005120965994891966,751,3D,0.0
Indicator,CMF_State,Positive,0.0,0.0031743948880437896,413,2D,0.0
Indicator,RSI_State,Overbought,0.0,0.009280503124643291,111,2D,0.0
Indicator,RSI_State,Oversold,0.0,0.019412165974191747,28,2D,0.0
Indicator,RSI_State,Overbought,0.0,0.011870420365844923,111,3D,0.0
Indicator,CMF_State,Positive,0.0,0.005211758858784413,413,3D,0.0
Indicator,CMF_State,Positive,0.0,0.0013772952012782711,413,1D,0.0
Indicator,CMF_State,Negative,0.0,0.0035731557271912067,751,2D,0.0
Indicator,RSI_State,Oversold,0.0,0.010640184251349232,28,1D,0.0
Indicator,RSI_State,Overbought,0.0,0.005086273589022126,111,1D,0.0
Indicator,CMF_State,Negative,0.0,0.0019141979792216646,751,1D,0.0
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.0,1,1D,0.0
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.09022641073612414,1,2D,0.0
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5135135135135135,-0.0001260488776761662,37,1D,-6.472780204992317e-05
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5882352941176471,-0.0003748961318208781,17,3D,-0.00022052713636522243
Candlestick,CDL_HAMMER,Bullish,0.3888888888888889,-0.000731991460683929,18,1D,-0.000284663345821528
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5833333333333334,-0.000540046155696435,12,3D,-0.0003150269241562538
Indicator,EMA_Trend,Bearish,0.5110132158590308,-0.00064256526286689,454,1D,-0.000328359341376913
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5058823529411764,-0.0007941893871007306,85,1D,-0.0004017663958274284
Candlestick,CDL_HAMMER,Bullish,0.2777777777777778,-0.0019411508109730506,18,2D,-0.0005392085586036252
Candlestick,CDL_HAMMER,Bullish,0.3888888888888889,-0.001427657429370868,18,3D,-0.0005552001114220043
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.4444444444444444,-0.0015777618352338571,45,3D,-0.0007012274823261587
Indicator,EMA_Trend,Bearish,0.5572687224669604,-0.0014691103027898238,454,2D,-0.0008186892215987344
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4823529411764706,-0.001922954924600433,85,3D,-0.0009275429636307972
Indicator,EMA_Trend,Bearish,0.5506607929515418,-0.0016996741633821676,454,3D,-0.0009359439225672729
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.4166666666666667,-0.0030363618989605787,12,2D,-0.0012651507912335746
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,-0.0031226607935383593,8,2D,-0.0015613303967691797
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5294117647058824,-0.00335883460139046,17,2D,-0.0017782065536773024
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5882352941176471,-0.003690643154378288,17,1D,-0.002170966561398993
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5135135135135135,-0.004931219308413487,37,2D,-0.0025322477529690877
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.45454545454545453,-0.006248289821508843,11,2D,-0.002840131737049474
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.18181818181818182,-0.015657402477155725,11,1D,-0.0028468004503919503
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.45,-0.010389091361762937,20,2D,-0.004675091112793322
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.45,-0.010442342141787192,20,3D,-0.004699053963804236
Candlestick,CDL_PIERCING,Bullish,0.3333333333333333,-0.015669532619711157,3,1D,-0.005223177539903719
Candlestick,CDL_EVENING_STAR,Bearish,0.6,-0.009645831801863857,10,1D,-0.005787499081118314
Candlestick,CDL_PIERCING,Bullish,0.3333333333333333,-0.017647856751785745,3,2D,-0.005882618917261915
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,-0.01312247931895677,2,1D,-0.006561239659478385
Candlestick,CDL_PIERCING,Bullish,0.3333333333333333,-0.021029811367221558,3,3D,-0.007009937122407186
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,-0.014303501294197718,2,3D,-0.007151750647098859
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.6666666666666666,-0.011168147543716792,3,1D,-0.007445431695811194
Candlestick,CDL_EVENING_STAR,Bearish,0.6,-0.0163262106350618,10,2D,-0.00979572638103708
Candlestick,CDL_EVENING_STAR,Bearish,0.7,-0.021017042018346498,10,3D,-0.014711929412842547
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.6666666666666666,-0.03164148945130437,3,2D,-0.02109432630086958
