SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_PIERCING,Bullish,0.3333333333333333,0.02473096167838873,3,3D,0.008243653892796243
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.42857142857142855,0.01805339817993179,7,3D,0.0077371706485421955
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.42,0.009599089768629158,50,3D,0.004031617702824246
Candlestick,CDL_SHOOTING_STAR,Bearish,0.2857142857142857,0.013614949757366166,7,1D,0.0038899856449617614
Candlestick,CDL_SHOOTING_STAR,Bearish,0.2857142857142857,0.01327006625636129,7,2D,0.0037914475018175115
Candlestick,CDL_PIERCING,Bullish,0.3333333333333333,0.01000654172227311,3,2D,0.00333551390742437
Candlestick,CDL_MORNING_STAR,Bullish,0.3333333333333333,0.009936909721560768,3,2D,0.003312303240520256
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.43243243243243246,0.007203044122500909,37,3D,0.0031148298908112043
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.38,0.008183184695748094,50,2D,0.0031096101843842757
Candlestick,CDL_SHOOTING_STAR,Bearish,0.2857142857142857,0.010871310010872983,7,3D,0.003106088574535138
Indicator,RSI_State,Oversold,0.35714285714285715,0.007821582247721615,14,3D,0.002793422231329148
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.35135135135135137,0.007898964774365871,37,2D,0.0027753119477501712
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.46,0.00575930705919593,50,1D,0.002649281247230128
Indicator,EMA_Trend,Bullish,0.4652482269503546,0.004729978296035295,705,3D,0.0022006140157440806
Candlestick,CDL_HARAMI,Bearish,0.5185185185185185,0.004142968639609225,27,3D,0.0021482059612788575
Candlestick,CDL_MORNING_STAR,Bullish,0.3333333333333333,0.0062888004963586415,3,3D,0.002096266832119547
Candlestick,CDL_HARAMI,Bearish,0.4444444444444444,0.004704024183779519,27,2D,0.0020906774150131193
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.3783783783783784,0.005266089877478936,37,1D,0.001992574548235273
Indicator,RSI_State,Overbought,0.47674418604651164,0.004139411291270687,86,3D,0.0019734402667685837
Indicator,CMF_State,Positive,0.4769874476987448,0.003973862626559768,478,3D,0.001895482591748174
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5909090909090909,0.0029532064219498447,22,3D,0.001745076522061272
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.0034193744981432656,8,3D,0.0017096872490716328
Candlestick,CDL_HARAMI_CROSS,Bullish,0.36363636363636365,0.004640428095599205,22,1D,0.001687428398399711
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4235294117647059,0.003952343073662782,85,2D,0.0016739335370807077
Indicator,MACD_Trend,Bearish,0.47758620689655173,0.0034459538056913347,580,3D,0.0016457400072008616
Indicator,EMA_Trend,Bullish,0.46382978723404256,0.003145769761789468,705,2D,0.0014591017192980937
Indicator,RSI_State,Oversold,0.35714285714285715,0.004018906258879097,14,2D,0.0014353236638853918
Indicator,MACD_Trend,Bullish,0.5,0.002829988842650871,584,3D,0.0014149944213254354
Indicator,CMF_State,Positive,0.4790794979079498,0.0029507047510347367,478,2D,0.0014136221506003237
Candlestick,CDL_HARAMI,Bullish,0.4117647058823529,0.0033040185406446793,51,1D,0.0013604782226183973
Indicator,RSI_State,Overbought,0.4418604651162791,0.0029676433599578277,86,2D,0.0013112842753302029
Indicator,CMF_State,Negative,0.4970845481049563,0.0025537322972500197,686,3D,0.001269420864959558
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.14285714285714285,0.00873767913426436,7,1D,0.0012482398763234799
Indicator,RSI_State,Overbought,0.4883720930232558,0.0023343224442620185,86,1D,0.0011400179378954042
Candlestick,CDL_HARAMI_CROSS,Bullish,0.36363636363636365,0.003116461115803654,22,2D,0.001133258587564965
Indicator,MACD_Trend,Bearish,0.45689655172413796,0.0024381327512537393,580,2D,0.001113974446693519
Candlestick,CDL_PIERCING,Bullish,0.3333333333333333,0.00281344418606048,3,1D,0.0009378147286868266
Indicator,MACD_Trend,Bullish,0.5,0.0017684102390487565,584,2D,0.0008842051195243782
Indicator,CMF_State,Positive,0.48326359832635984,0.0017192402209887684,478,1D,0.0008308462155824383
Indicator,EMA_Trend,Bullish,0.4921985815602837,0.0016007858604919882,705,1D,0.0007879045299159147
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.46153846153846156,0.0016843238139310724,13,3D,0.0007773802218143411
Indicator,CMF_State,Negative,0.478134110787172,0.0015108333882464116,686,2D,0.0007223809786367682
Indicator,MACD_Trend,Bearish,0.4879310344827586,0.0013965083923821928,580,1D,0.0006813997845588975
Candlestick,CDL_HARAMI,Bullish,0.47058823529411764,0.0013341191240715076,51,2D,0.0006278207642689448
Candlestick,CDL_HARAMI,Bearish,0.4074074074074074,0.0012927922554172094,27,1D,0.0005266931410959001
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.43529411764705883,0.0010941800043109224,85,3D,0.00047629011952357803
Indicator,EMA_Trend,Bearish,0.5250544662309368,0.0006900479143882342,459,3D,0.0003623127393628855
Indicator,MACD_Trend,Bullish,0.4982876712328767,0.0006941127723396988,584,1D,0.00034586783690214446
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.47368421052631576,0.0006823554853656132,19,2D,0.0003232210193837115
Indicator,CMF_State,Negative,0.5,0.0005736733250662166,686,1D,0.0002868366625331083
Indicator,EMA_Trend,Bearish,0.5010893246187363,0.0004991304864271624,459,2D,0.00025010895834040814
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3076923076923077,0.0006973014567009426,13,1D,0.0002145542943695208
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4823529411764706,0.0003485072019833469,85,1D,0.00016810347389784969
Indicator,EMA_Trend,Bearish,0.49455337690631807,0.00018906905224663265,459,1D,9.350473825704926e-05
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5263157894736842,2.1527028142784143e-05,19,1D,1.1330014811991653e-05
Candlestick,CDL_MORNING_STAR,Bullish,0.0,0.008478499662691505,3,1D,0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.01758208038894774,7,2D,0.0
Indicator,RSI_State,Oversold,0.35714285714285715,-0.0007790951542349973,14,1D,-0.0002782482693696419
Candlestick,CDL_EVENING_STAR,Bearish,0.2857142857142857,-0.0012414755915549952,7,2D,-0.0003547073118728558
Candlestick,CDL_HARAMI,Bullish,0.5882352941176471,-0.0008026514644609605,51,3D,-0.00047214792027115325
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.46153846153846156,-0.002804267165304626,13,2D,-0.0012942771532175198
Candlestick,CDL_HAMMER,Bullish,0.5294117647058824,-0.003823836802384354,17,2D,-0.002024384189497599
Candlestick,CDL_HARAMI_CROSS,Bearish,0.42857142857142855,-0.0056794153242410205,7,3D,-0.002434035138960437
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,-0.004914546843399342,4,3D,-0.002457273421699671
Candlestick,CDL_HAMMER,Bullish,0.6470588235294118,-0.00393835506165866,17,1D,-0.0025483473928379565
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.631578947368421,-0.004159361768836894,19,3D,-0.002626965327686459
Candlestick,CDL_THREE_INSIDE,Bullish,0.6,-0.004432009637284695,10,3D,-0.002659205782370817
Candlestick,CDL_EVENING_STAR,Bearish,0.5714285714285714,-0.004971845182608784,7,3D,-0.0028410543900621622
Candlestick,CDL_HAMMER,Bullish,0.5294117647058824,-0.0057440169842333764,17,3D,-0.003040950168123552
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.75,-0.004515024954343652,8,1D,-0.003386268715757739
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5714285714285714,-0.006373056613839768,7,1D,-0.0036417466364798675
Candlestick,CDL_EVENING_STAR,Bearish,0.5714285714285714,-0.006491622644426883,7,1D,-0.0037094986539582186
Candlestick,CDL_THREE_INSIDE,Bullish,0.8,-0.004946369785605953,10,1D,-0.0039570958284847624
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5714285714285714,-0.008119371770178994,7,2D,-0.004639641011530853
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.75,-0.007174429616754144,8,2D,-0.005380822212565608
Candlestick,CDL_THREE_INSIDE,Bullish,0.7,-0.008887255103875103,10,2D,-0.0062210785727125715
Candlestick,CDL_THREE_INSIDE,Bearish,0.75,-0.013127839739007718,4,2D,-0.009845879804255789
Candlestick,CDL_THREE_INSIDE,Bearish,1.0,-0.012513585323471882,4,1D,-0.012513585323471882
