SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,0.02024929203400616,4,3D,0.01012464601700308
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,0.0181794707252588,4,1D,0.0090897353626294
Candlestick,CDL_EVENING_STAR,Bearish,0.5555555555555556,0.011934951515743777,9,3D,0.006630528619857654
Indicator,RSI_State,Oversold,0.3,0.02157000177521711,20,3D,0.006471000532565133
Candlestick,CDL_HARAMI_CROSS,Bearish,0.25,0.025016103379632892,4,2D,0.006254025844908223
Candlestick,CDL_EVENING_STAR,Bearish,0.4444444444444444,0.009695165239816235,9,2D,0.004308962328807215
Candlestick,CDL_HAMMER,Bullish,0.55,0.00740848534288645,20,2D,0.004074666938587548
Indicator,RSI_State,Oversold,0.3,0.012447917452902264,20,2D,0.0037343752358706787
Indicator,RSI_State,Overbought,0.416,0.008343475412346606,125,3D,0.0034708857715361877
Candlestick,CDL_HARAMI,Bullish,0.49019607843137253,0.005952348515150578,51,3D,0.0029178178995836164
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.4444444444444444,0.006195170697646086,36,3D,0.0027534091989538157
Candlestick,CDL_HARAMI,Bearish,0.44,0.006019324897530618,25,2D,0.0026485029549134717
Candlestick,CDL_HARAMI,Bullish,0.5294117647058824,0.004911535314001014,51,1D,0.002600224578000537
Indicator,RSI_State,Overbought,0.456,0.005491662262480105,125,2D,0.002504197991690928
Candlestick,CDL_HARAMI,Bullish,0.47058823529411764,0.005289068593469069,51,2D,0.00248897345575015
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3333333333333333,0.007346697725785408,3,3D,0.002448899241928469
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.4444444444444444,0.0054667138574245565,36,2D,0.0024296506032998027
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3333333333333333,0.006917207653051445,3,1D,0.0023057358843504815
Candlestick,CDL_HARAMI,Bearish,0.52,0.0040749835101736975,25,3D,0.0021189914252903227
Indicator,MACD_Trend,Bearish,0.4482758620689655,0.00454351415483848,580,3D,0.002036747724582767
Indicator,CMF_State,Positive,0.47058823529411764,0.004224303370275743,612,3D,0.001987907468365055
Indicator,EMA_Trend,Bullish,0.46105919003115264,0.004165425116370669,642,3D,0.0019205075302892803
Candlestick,CDL_HARAMI,Bearish,0.52,0.003457573789192354,25,1D,0.0017979383703800242
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3333333333333333,0.005123931170050389,3,2D,0.0017079770566834629
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.3888888888888889,0.004163019693119922,36,1D,0.0016189521028799698
Indicator,MACD_Trend,Bearish,0.47586206896551725,0.003260370749324871,580,2D,0.001551486770368387
Indicator,CMF_State,Positive,0.49836601307189543,0.002842659467776584,612,2D,0.0014166848654768923
Indicator,EMA_Trend,Bullish,0.48753894080996885,0.002758632102478603,642,2D,0.0013449405733267955
Indicator,RSI_State,Oversold,0.4,0.0032132754342300784,20,1D,0.0012853101736920315
Indicator,RSI_State,Overbought,0.512,0.0024214117020286323,125,1D,0.0012397627914386598
Candlestick,CDL_HAMMER,Bullish,0.5,0.002278758501214384,20,1D,0.001139379250607192
Indicator,EMA_Trend,Bearish,0.4904214559386973,0.0021543113457834885,522,3D,0.0010565205067443928
Indicator,CMF_State,Negative,0.4782608695652174,0.0021983329431162968,552,3D,0.0010513766249686638
Indicator,MACD_Trend,Bullish,0.5,0.0019923206119908084,584,3D,0.0009961603059954042
Indicator,MACD_Trend,Bearish,0.4793103448275862,0.0017651754521427429,580,1D,0.0008460668546477285
Indicator,CMF_State,Positive,0.49836601307189543,0.0014877530526581678,612,1D,0.0007414455572887928
Indicator,EMA_Trend,Bearish,0.49808429118773945,0.0014310964464318543,522,2D,0.0007128066591423029
Indicator,EMA_Trend,Bullish,0.4968847352024922,0.001382505503797434,642,1D,0.000686945881170376
Indicator,CMF_State,Negative,0.4855072463768116,0.0014100843488214158,552,2D,0.000684606169355325
Candlestick,CDL_HAMMER,Bullish,0.65,0.0008568138223601918,20,3D,0.0005569289845341246
Indicator,MACD_Trend,Bullish,0.5085616438356164,0.0010737313702401808,584,2D,0.0005460585906872153
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6666666666666666,0.0007646737374444323,6,3D,0.0005097824916296215
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5211267605633803,0.0008387047126997107,71,3D,0.00043707146999844075
