SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Indicator,RSI_State,Oversold,0.25,0.07038069330033139,4,3D,0.017595173325082848
Indicator,RSI_State,Oversold,0.25,0.05105264558921804,4,2D,0.01276316139730451
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5555555555555556,0.019574911278799154,27,3D,0.010874950710443976
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.7037037037037037,0.013639595822306807,27,2D,0.009598234097178865
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.25,0.03828557671175359,4,2D,0.009571394177938397
Candlestick,CDL_HAMMER,Bullish,0.5555555555555556,0.013939133183936973,36,3D,0.0077439628799649855
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.75,0.007917341457138738,4,1D,0.0059380060928540535
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.25,0.023398528492541676,4,3D,0.005849632123135419
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.4166666666666667,0.01348547002531029,24,3D,0.005618945843879288
Candlestick,CDL_SHOOTING_STAR,Bearish,0.4666666666666667,0.009905749098765375,15,2D,0.004622682912757175
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.42857142857142855,0.010347275024948763,7,1D,0.004434546439263756
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.0073831725022039385,4,1D,0.0036915862511019693
Candlestick,CDL_HARAMI,Bullish,0.5098039215686274,0.006126303948608112,51,3D,0.0031232137777217825
Indicator,EMA_Trend,Bearish,0.4762979683972912,0.006438658431701923,443,3D,0.003066719930223715
Indicator,CMF_State,Positive,0.6,0.004922349414797522,50,3D,0.002953409648878513
Candlestick,CDL_THREE_INSIDE,Bearish,0.25,0.011682090586842886,4,2D,0.0029205226467107215
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4,0.007090888836176701,55,3D,0.0028363555344706804
Candlestick,CDL_SHOOTING_STAR,Bearish,0.6666666666666666,0.004074153682767268,15,3D,0.0027161024551781783
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.43636363636363634,0.006118690666474157,55,2D,0.0026699741090069045
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.4166666666666667,0.006404352126767525,12,3D,0.002668480052819802
Indicator,MACD_Trend,Bearish,0.48697394789579157,0.005431025155111713,499,3D,0.0026447677609061047
