SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_PIERCING,Bullish,1.0,0.02152904029763721,3,2D,0.02152904029763721
Candlestick,CDL_PIERCING,Bullish,0.6666666666666666,0.01831242774332953,3,3D,0.012208285162219685
Candlestick,CDL_HARAMI_CROSS,Bearish,0.4444444444444444,0.02455809622438163,9,3D,0.010914709433058502
Candlestick,CDL_PIERCING,Bullish,0.6666666666666666,0.0076350665479842554,3,1D,0.005090044365322836
Candlestick,CDL_HARAMI,Bullish,0.5849056603773585,0.007912355554107688,53,3D,0.004627981550515818
Candlestick,CDL_HARAMI,Bullish,0.6226415094339622,0.0060914658020322365,53,2D,0.003792799461642713
Candlestick,CDL_HARAMI,Bearish,0.4782608695652174,0.0052481866973512325,23,3D,0.002510002333515807
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.47191011235955055,0.004737603897769148,89,3D,0.0022357231877112834
Indicator,EMA_Trend,Bullish,0.49556213017751477,0.003603058179960517,676,3D,0.0017855391868147532
Candlestick,CDL_MORNING_STAR,Bullish,0.25,0.0068185005938806165,4,1D,0.0017046251484701541
Indicator,MACD_Trend,Bearish,0.5,0.003024229474570526,606,3D,0.001512114737285263
Candlestick,CDL_HARAMI_CROSS,Bearish,0.3333333333333333,0.0036351814875830663,9,2D,0.0012117271625276887
Indicator,EMA_Trend,Bullish,0.47485207100591714,0.0024194142220181247,676,2D,0.0011488638539464764
Indicator,MACD_Trend,Bearish,0.528052805280528,0.002060162443779578,606,2D,0.0010878745577713944
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5617977528089888,0.0014934460552488112,89,2D,0.0008390146377802311
Indicator,MACD_Trend,Bullish,0.48028673835125446,0.0017299260231618083,558,3D,0.0008308605272533416
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5128205128205128,0.0015882670620344865,39,2D,0.0008144959292484545
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5555555555555556,0.0012361741574729887,9,1D,0.0006867634208183271
Candlestick,CDL_HARAMI,Bullish,0.4716981132075472,0.0013522893587754592,53,1D,0.000637872339045028
Indicator,EMA_Trend,Bullish,0.47337278106508873,0.0012541307027186185,676,1D,0.0005936713385650265
Indicator,MACD_Trend,Bullish,0.478494623655914,0.0011303469610484298,558,2D,0.0005408649437274745
Indicator,MACD_Trend,Bearish,0.5478547854785478,0.0009786108110514202,606,1D,0.0005361366159555636
Indicator,EMA_Trend,Bearish,0.5163934426229508,0.0007424476493047504,488,3D,0.00038339509759179735
Indicator,MACD_Trend,Bullish,0.48028673835125446,0.000592686853262041,558,1D,0.00028465963561689423
Indicator,EMA_Trend,Bearish,0.5245901639344263,0.0004993197358835984,488,2D,0.00026193822210287133
Indicator,EMA_Trend,Bearish,0.5430327868852459,0.00015566610774506845,488,1D,8.453180031238348e-05
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.375,6.807920107444743e-05,8,3D,2.5529700402917785e-05
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.006315542362567594,1,2D,0.0
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.0,0.02463645821845961,2,1D,0.0
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.002688568948634895,1,1D,0.0
Indicator,CMF_State,Positive,0.0,0.0014416554153755831,416,2D,0.0
Indicator,CMF_State,Negative,0.0,0.0017105125566834302,748,2D,0.0
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.0,0.0548251865914563,2,3D,0.0
Indicator,CMF_State,Negative,0.0,0.0029398293262793643,748,3D,0.0
Indicator,CMF_State,Positive,0.0,0.0014398784770602478,416,3D,0.0
Indicator,RSI_State,Overbought,0.0,-0.0023788703312282804,79,3D,-0.0
Indicator,RSI_State,Oversold,0.0,0.0030953485122354363,62,3D,0.0
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.01854589522694572,1,3D,0.0
