SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_PIERCING,Bullish,1.0,0.035910754218696495,1,3D,0.035910754218696495
Candlestick,CDL_PIERCING,Bullish,1.0,0.03523506046893421,1,2D,0.03523506046893421
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.4,0.039376303922246184,5,3D,0.015750521568898473
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5714285714285714,0.021540873249762258,14,3D,0.012309070428435575
Candlestick,CDL_THREE_INSIDE_UP,Bullish,1.0,0.011830605623020777,3,2D,0.011830605623020777
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.4,0.029523979511415322,5,2D,0.01180959180456613
Candlestick,CDL_HARAMI,Bearish,0.48,0.022356045683797014,25,3D,0.010730901928222566
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.6666666666666666,0.014747309688420085,3,1D,0.009831539792280056
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.017571695383009796,14,2D,0.008785847691504898
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.6666666666666666,0.012819751685208824,12,3D,0.00854650112347255
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.01586831913111491,14,1D,0.007934159565557455
Candlestick,CDL_HARAMI_CROSS,Bearish,0.14285714285714285,0.02176495922138869,7,1D,0.0031092798887698125
Candlestick,CDL_MORNING_STAR,Bullish,0.4,0.007545167903713202,5,3D,0.003018067161485281
Candlestick,CDL_HARAMI,Bearish,0.44,0.00500386086769336,25,2D,0.0022016987817850783
Candlestick,CDL_HARAMI,Bearish,0.36,0.005558001364419396,25,1D,0.0020008804911909824
Indicator,MACD_Trend,Bearish,0.4921875,0.0035179402744312527,384,3D,0.0017314862288216322
Indicator,MACD_Trend,Bearish,0.484375,0.0029311822210118937,384,2D,0.001419791388302636
Candlestick,CDL_HARAMI_CROSS,Bearish,0.42857142857142855,0.0030362052293956116,7,2D,0.0013012308125981192
Candlestick,CDL_HARAMI,Bullish,0.45161290322580644,0.0026074677761536336,31,1D,0.0011775660924564797
