SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_HAMMER,Bullish,0.5,0.05204020888908495,2,3D,0.026020104444542475
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.050325497100147276,2,2D,0.025162748550073638
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.038157661099205153,2,3D,0.019078830549602577
Candlestick,CDL_HAMMER,Bullish,0.5,0.03627287321050349,2,2D,0.018136436605251743
Indicator,RSI_State,Overbought,0.5,0.023653678023793024,10,3D,0.011826839011896512
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5,0.014201383410854604,6,2D,0.007100691705427302
Indicator,RSI_State,Overbought,0.4,0.016009372068917293,10,2D,0.006403748827566918
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.6666666666666666,0.007758096948381106,6,3D,0.005172064632254071
Indicator,RSI_State,Overbought,0.5,0.00895748943743242,10,1D,0.00447874471871621
Indicator,CMF_State,Positive,0.45054945054945056,0.009465188057477354,91,3D,0.004264535278643643
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.3333333333333333,0.010906540056260869,6,1D,0.003635513352086956
Indicator,CMF_State,Positive,0.4945054945054945,0.005820115532689112,91,2D,0.0028780791095715393
Indicator,EMA_Trend,Bullish,0.47368421052631576,0.0056564728679377495,76,3D,0.002679381884812618
Indicator,EMA_Trend,Bullish,0.5,0.004009708086122078,76,2D,0.002004854043061039
Indicator,RSI_State,Oversold,0.3333333333333333,0.005977848132144821,6,3D,0.0019926160440482737
Indicator,CMF_State,Positive,0.5274725274725275,0.0028551440288558327,91,1D,0.001506010037198681
Indicator,EMA_Trend,Bullish,0.5657894736842105,0.0019369987912020363,76,1D,0.0010959335266011521
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5,0.0012297108625468622,10,1D,0.0006148554312734311
Indicator,MACD_Trend,Bullish,0.6024096385542169,0.0007898530780012029,83,1D,0.00047581510722964035
