SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Indicator,RSI_State,Overbought,0.49230769230769234,0.01608665537234556,65,3D,0.007919584183308584
Indicator,RSI_State,Oversold,0.5,0.013623933387241528,38,3D,0.006811966693620764
Candlestick,CDL_THREE_INSIDE,Bullish,0.4666666666666667,0.013646909472379735,15,2D,0.0063685577537772094
Candlestick,CDL_THREE_INSIDE,Bullish,0.4,0.015795375329493645,15,1D,0.006318150131797458
Candlestick,CDL_THREE_INSIDE,Bearish,0.3333333333333333,0.018875229105548657,3,3D,0.006291743035182885
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6666666666666666,0.009209903848873954,3,3D,0.006139935899249303
Indicator,RSI_State,Overbought,0.5384615384615384,0.010831837964768314,65,2D,0.0058325281348752455
Indicator,CMF_State,Positive,0.4846153846153846,0.011889514802660634,260,3D,0.005761841788981692
Candlestick,CDL_THREE_INSIDE,Bullish,0.5333333333333333,0.009638630036839587,15,3D,0.0051406026863144464
Candlestick,CDL_THREE_INSIDE,Bearish,0.6666666666666666,0.007635473465209208,3,2D,0.005090315643472805
Candlestick,CDL_HARAMI_CROSS,Bullish,0.56,0.007714949032506602,25,2D,0.004320371458203697
Candlestick,CDL_HARAMI,Bullish,0.4794520547945205,0.008006748250501284,73,3D,0.003838851900925273
Indicator,RSI_State,Oversold,0.42105263157894735,0.008720351870264376,38,2D,0.0036717271032692105
Candlestick,CDL_MORNING_STAR,Bullish,0.6,0.005915863146984246,5,2D,0.0035495178881905474
Indicator,CMF_State,Positive,0.5153846153846153,0.006751996537738998,260,2D,0.003479875138680868
Candlestick,CDL_SHOOTING_STAR,Bearish,0.38461538461538464,0.008696855641694893,13,1D,0.003344944477574959
Indicator,MACD_Trend,Bearish,0.5041322314049587,0.006439521211406448,605,3D,0.0032463701974858954
Candlestick,CDL_HARAMI,Bullish,0.5205479452054794,0.006224950292820247,73,2D,0.003240385083933827
Indicator,RSI_State,Overbought,0.5230769230769231,0.006098337021438422,65,1D,0.003189899365060098
Candlestick,CDL_HARAMI_CROSS,Bullish,0.52,0.006039588790285766,25,1D,0.0031405861709485985
Candlestick,CDL_THREE_INSIDE,Bearish,0.3333333333333333,0.008028919386403932,3,1D,0.0026763064621346437
Indicator,EMA_Trend,Bullish,0.5310734463276836,0.004479265500236006,531,3D,0.0023788189662270315
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5714285714285714,0.004091833448651367,7,3D,0.0023381905420864955
Indicator,MACD_Trend,Bearish,0.48925619834710743,0.004684962143853483,605,2D,0.0022921467679018694
Candlestick,CDL_MORNING_STAR,Bullish,0.6,0.003779356413163537,5,3D,0.0022676138478981223
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5,0.004465064116277656,34,1D,0.002232532058138828
Indicator,RSI_State,Oversold,0.42105263157894735,0.0048543698205716825,38,1D,0.0020439451876091293
Indicator,CMF_State,Positive,0.5269230769230769,0.003589492096426748,260,1D,0.001891386220040248
Indicator,EMA_Trend,Bullish,0.5216572504708098,0.0031264667512720117,531,2D,0.0016309440491569628
Candlestick,CDL_HAMMER,Bullish,0.16666666666666666,0.009767906728583575,6,1D,0.001627984454763929
Candlestick,CDL_HAMMER,Bullish,0.16666666666666666,0.008772218853191552,6,2D,0.0014620364755319254
Indicator,MACD_Trend,Bearish,0.4991735537190083,0.0027902886179766414,605,1D,0.0013928382853371003
Candlestick,CDL_HARAMI,Bullish,0.5342465753424658,0.00218246415139632,73,1D,0.0011659739986911847
Candlestick,CDL_HARAMI_CROSS,Bullish,0.52,0.0021871119203429545,25,3D,0.0011372981985783364
Indicator,EMA_Trend,Bearish,0.5355450236966824,0.0017362726781227184,633,3D,0.0009298521925491335
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5866666666666667,0.001563176750200513,75,2D,0.0009170636934509676
Indicator,EMA_Trend,Bullish,0.527306967984934,0.0016185228619339637,531,1D,0.0008534583829406964
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5333333333333333,0.0011643938983077243,75,1D,0.0006210100790974529
Indicator,EMA_Trend,Bearish,0.5276461295418642,0.0010905243742742544,633,2D,0.0005754109652568736
Indicator,CMF_State,Negative,0.5276548672566371,0.0006581157898549797,904,2D,0.00034725799973542624
Indicator,EMA_Trend,Bearish,0.5260663507109005,0.0005104778225434485,633,1D,0.00026854520522427857
Indicator,CMF_State,Negative,0.547566371681416,0.00042729727564738376,904,3D,0.00023397361885559178
Indicator,CMF_State,Negative,0.5265486725663717,0.0002757745091659104,904,1D,0.00014520870172895283
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.0057914511991585815,1,1D,0.0
Candlestick,CDL_EVENING_STAR,Bearish,0.0,0.03072864352868132,3,3D,0.0
Candlestick,CDL_EVENING_STAR,Bearish,0.0,0.042079708321545915,3,1D,0.0
Candlestick,CDL_EVENING_STAR,Bearish,0.0,0.025023632374342686,3,2D,0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.04633197214244622,1,3D,0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.012622512164884414,1,2D,0.0
Candlestick,CDL_PIERCING,Bullish,0.0,0.0322891235059235,4,3D,0.0
Candlestick,CDL_HAMMER,Bullish,0.5,-0.0005787933774545525,6,3D,-0.00028939668872727625
Indicator,MACD_Trend,Bullish,0.5652951699463328,-0.0007484074186474085,559,3D,-0.000423071098913383
Candlestick,CDL_SHOOTING_STAR,Bearish,0.38461538461538464,-0.001224431247108334,13,2D,-0.00047093509504166694
Indicator,MACD_Trend,Bullish,0.5635062611806798,-0.0008657358196606725,559,2D,-0.00048784755490717687
Indicator,MACD_Trend,Bullish,0.556350626118068,-0.0009043944767780511,559,1D,-0.0005031604334131912
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5882352941176471,-0.0009659722272175793,34,2D,-0.0005682189571868114
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6666666666666666,-0.001336060192075254,3,1D,-0.000890706794716836
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5714285714285714,-0.0019107969180497317,14,1D,-0.0010918839531712753
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5733333333333334,-0.0019910739376262933,75,3D,-0.0011415490575724082
Candlestick,CDL_PIERCING,Bullish,0.5,-0.003562308088033178,4,2D,-0.001781154044016589
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.6666666666666666,-0.003110394945100533,3,2D,-0.0020735966300670216
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6,-0.00367676640972332,10,3D,-0.002206059845833992
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,-0.004759930688589685,14,2D,-0.0023799653442948426
Candlestick,CDL_SHOOTING_STAR,Bearish,0.6153846153846154,-0.004989947834788959,13,3D,-0.003070737129100898
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5588235294117647,-0.005519441085932318,34,3D,-0.003084393548021001
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.6176470588235294,-0.007669101468897008,34,3D,-0.004736797966083447
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6,-0.00797610476850431,10,2D,-0.0047856628611025855
Candlestick,CDL_PIERCING,Bullish,0.5,-0.010604895023503286,4,1D,-0.005302447511751643
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5714285714285714,-0.01057106540477105,14,3D,-0.006040608802726314
Candlestick,CDL_MORNING_STAR,Bullish,0.6,-0.01056898960408954,5,1D,-0.006341393762453723
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.6176470588235294,-0.011343661568013955,34,1D,-0.0070063792037733255
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.7,-0.01065505367874361,10,1D,-0.007458537575120526
Candlestick,CDL_HARAMI_CROSS,Bearish,0.7142857142857143,-0.011670696461046428,7,2D,-0.008336211757890306
Candlestick,CDL_HARAMI,Bearish,0.7391304347826086,-0.011376372450592073,23,1D,-0.00840862311565501
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.6764705882352942,-0.016041840551426923,34,2D,-0.010851833314200567
Candlestick,CDL_HARAMI_CROSS,Bearish,0.8571428571428571,-0.016197546059521634,7,1D,-0.0138836109081614
Candlestick,CDL_HARAMI,Bearish,0.6956521739130435,-0.022948245902608827,23,3D,-0.015963997149640922
Candlestick,CDL_HARAMI,Bearish,0.8260869565217391,-0.02108915345129819,23,2D,-0.01742147459020285
