SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.02245217072965039,2,2D,0.011226085364825195
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.021126778162105373,26,2D,0.010563389081052687
Candlestick,CDL_SHOOTING_STAR,Bearish,0.46153846153846156,0.020355710926897766,26,3D,0.009394943504722046
Indicator,RSI_State,Oversold,0.2631578947368421,0.02810101722427154,19,3D,0.007395004532703036
Candlestick,CDL_EVENING_STAR,Bearish,0.6666666666666666,0.01003522418745754,3,3D,0.006690149458305026
Candlestick,CDL_HARAMI_CROSS,Bearish,0.16666666666666666,0.03912577834417021,6,1D,0.006520963057361702
Candlestick,CDL_HARAMI_CROSS,Bearish,0.16666666666666666,0.03852420311982949,6,2D,0.006420700519971582
Indicator,RSI_State,Oversold,0.3157894736842105,0.018594289841526633,19,2D,0.005871881002587357
Candlestick,CDL_EVENING_STAR,Bearish,0.3333333333333333,0.0165946750066515,3,2D,0.0055315583355504995
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.009416358406641833,26,1D,0.004708179203320916
Candlestick,CDL_THREE_INSIDE,Bullish,0.46153846153846156,0.0094945754753796,13,2D,0.004382111757867508
Candlestick,CDL_THREE_INSIDE,Bullish,0.38461538461538464,0.01111863305954485,13,3D,0.004276397330594173
Candlestick,CDL_HARAMI_CROSS,Bullish,0.37037037037037035,0.010208397457532626,27,3D,0.0037808879472343055
Indicator,RSI_State,Oversold,0.3684210526315789,0.01000753523152614,19,1D,0.0036869866642464722
Candlestick,CDL_HARAMI_CROSS,Bearish,0.16666666666666666,0.019838843363062224,6,3D,0.003306473893843704
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.006231948470543369,2,1D,0.0031159742352716846
Candlestick,CDL_HARAMI,Bearish,0.5555555555555556,0.005293160379768711,18,1D,0.002940644655427062
Candlestick,CDL_HARAMI_CROSS,Bullish,0.37037037037037035,0.007022177323375372,27,2D,0.0026008064160649522
Candlestick,CDL_MORNING_STAR,Bullish,0.5,0.004923115152035806,2,1D,0.002461557576017903
Indicator,EMA_Trend,Bearish,0.4660714285714286,0.004028978182935693,560,3D,0.0018777916174039571
Indicator,MACD_Trend,Bearish,0.4716666666666667,0.0032617270536159254,600,3D,0.0015384479269555116
Indicator,CMF_State,Negative,0.4896421845574388,0.0029367067782380377,1062,3D,0.0014379355223011108
Indicator,EMA_Trend,Bearish,0.48035714285714287,0.002973002950497592,560,2D,0.001428103203006879
Candlestick,CDL_HARAMI,Bullish,0.4457831325301205,0.0031090214546229847,83,1D,0.001385949323145186
Candlestick,CDL_HARAMI,Bullish,0.4819277108433735,0.0028107141350141723,83,3D,0.0013545610289224927
Candlestick,CDL_HARAMI_CROSS,Bullish,0.2222222222222222,0.006089529528833846,27,1D,0.001353228784185299
Indicator,MACD_Trend,Bearish,0.48833333333333334,0.0026372494191950328,600,2D,0.0012878567997069077
Indicator,CMF_State,Negative,0.507532956685499,0.0020586741117677608,1062,2D,0.001044844958797385
Indicator,MACD_Trend,Bearish,0.47333333333333333,0.0018493186628322819,600,1D,0.0008753441670739467
Candlestick,CDL_HARAMI,Bullish,0.46987951807228917,0.001677136412679223,83,2D,0.0007880520493312011
Indicator,EMA_Trend,Bearish,0.48035714285714287,0.001561353920611752,560,1D,0.0007500075082938594
Indicator,CMF_State,Negative,0.5009416195856874,0.0011430180768582997,1062,1D,0.0005725853266371143
Indicator,MACD_Trend,Bullish,0.5283687943262412,5.281328476836025e-05,564,3D,2.7904891597466944e-05
Candlestick,CDL_EVENING_STAR,Bearish,0.0,0.02199392359571221,3,1D,0.0
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.0,0.013272510404144233,2,3D,0.0
Candlestick,CDL_PIERCING,Bullish,0.0,0.000973769293936666,1,2D,0.0
Candlestick,CDL_THREE_INSIDE,Bearish,0.0,0.011130047918785468,2,1D,0.0
Indicator,EMA_Trend,Bullish,0.5397350993377483,-0.00024996279461461435,604,1D,-0.00013491369378206005
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4945054945054945,-0.0003503171152103698,91,1D,-0.0001732337382908422
Indicator,MACD_Trend,Bullish,0.5425531914893617,-0.00038609690414523963,564,2D,-0.0002094781075681619
Candlestick,CDL_HARAMI,Bearish,0.5555555555555556,-0.00041751028338213623,18,2D,-0.00023195015743452015
Indicator,EMA_Trend,Bullish,0.5298013245033113,-0.000446034532558076,604,3D,-0.00023630968612348401
Indicator,EMA_Trend,Bullish,0.5463576158940397,-0.0004971699581118325,604,2D,-0.0002716325930081204
Indicator,MACD_Trend,Bullish,0.5514184397163121,-0.0006847704434468353,564,1D,-0.00037759504948930105
Candlestick,CDL_MORNING_STAR,Bullish,0.5,-0.0013519808061289162,2,2D,-0.0006759904030644581
Candlestick,CDL_HAMMER,Bullish,0.3333333333333333,-0.00326454077241768,9,1D,-0.00108818025747256
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5714285714285714,-0.002172382378309856,14,1D,-0.0012413613590342035
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5294117647058824,-0.0036483378662605878,34,2D,-0.0019314729880203112
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5121951219512195,-0.00397939136252297,41,3D,-0.002038224844219082
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.7142857142857143,-0.002935499851267493,14,2D,-0.0020967856080482093
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5274725274725275,-0.004146013554623167,91,2D,-0.00218690824859244
Candlestick,CDL_HARAMI,Bearish,0.5555555555555556,-0.004588995036762485,18,3D,-0.0025494416870902696
Indicator,CMF_State,Positive,0.6176470588235294,-0.004808867941452551,102,1D,-0.0029701831403089285
Candlestick,CDL_THREE_INSIDE,Bullish,0.6153846153846154,-0.004842359049316753,13,1D,-0.002979913261118002
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5853658536585366,-0.005877456779449139,41,1D,-0.0034404625050433986
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5494505494505495,-0.006322313396500033,91,3D,-0.003473798569505513
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,-0.0072314677793044535,14,3D,-0.0036157338896522268
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.6176470588235294,-0.006872022850040754,34,1D,-0.00424448470149576
Candlestick,CDL_HAMMER,Bullish,0.4444444444444444,-0.009702198081856819,9,2D,-0.0043120880363808085
Indicator,CMF_State,Positive,0.5882352941176471,-0.008056087344296642,102,2D,-0.004738874908409789
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5588235294117647,-0.009358594064793113,34,3D,-0.005229802565619681
Candlestick,CDL_HAMMER,Bullish,0.6666666666666666,-0.009700039398333256,9,3D,-0.0064666929322221706
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.6585365853658537,-0.010010097345783155,41,2D,-0.0065920153252718335
Indicator,CMF_State,Positive,0.5980392156862745,-0.011097643859900837,102,3D,-0.006636826229940697
Indicator,RSI_State,Overbought,0.8125,-0.011296176594552898,32,1D,-0.00917814348307423
Candlestick,CDL_PIERCING,Bullish,1.0,-0.009250213987065381,1,1D,-0.009250213987065381
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6666666666666666,-0.015517656018364431,6,1D,-0.010345104012242954
Candlestick,CDL_MORNING_STAR,Bullish,1.0,-0.01068492128730747,2,3D,-0.01068492128730747
Candlestick,CDL_THREE_INSIDE,Bearish,1.0,-0.011323148362291813,2,2D,-0.011323148362291813
Indicator,RSI_State,Overbought,0.78125,-0.016526133587588743,32,2D,-0.012911041865303705
Indicator,RSI_State,Overbought,0.71875,-0.023498196818664985,32,3D,-0.016889328963415457
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.8333333333333334,-0.022532910965880577,6,2D,-0.01877742580490048
Candlestick,CDL_THREE_OUTSIDE,Bullish,1.0,-0.035010579909908225,6,3D,-0.035010579909908225
Candlestick,CDL_PIERCING,Bullish,1.0,-0.03505354022488827,1,3D,-0.03505354022488827
Candlestick,CDL_THREE_INSIDE,Bearish,1.0,-0.03682924581955138,2,3D,-0.03682924581955138
