SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5,0.01708537298210694,14,3D,0.00854268649105347
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.015536946335456825,2,2D,0.0077684731677284125
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.014808304195899458,2,3D,0.007404152097949729
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,0.01209346788294959,6,1D,0.006046733941474795
Candlestick,CDL_HARAMI,Bearish,0.46153846153846156,0.012980345993029073,26,3D,0.005990928919859573
Candlestick,CDL_HAMMER,Bullish,0.375,0.015721584457762887,16,3D,0.005895594171661083
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5,0.010694133737049003,14,2D,0.005347066868524502
Candlestick,CDL_SHOOTING_STAR,Bearish,0.25,0.020708224342102205,16,2D,0.005177056085525551
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.2222222222222222,0.02326689738597105,9,3D,0.005170421641326899
Candlestick,CDL_SHOOTING_STAR,Bearish,0.375,0.012877684233729092,16,3D,0.0048291315876484095
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5428571428571428,0.008685985597626988,35,2D,0.004715249324426079
Indicator,RSI_State,Overbought,0.4942528735632184,0.009534947978661616,87,3D,0.0047126754377293046
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5714285714285714,0.008010648323717921,35,3D,0.004577513327838812
Candlestick,CDL_HAMMER,Bullish,0.4375,0.009158137506536004,16,2D,0.004006685159109502
Candlestick,CDL_HARAMI,Bearish,0.38461538461538464,0.009706291674944655,26,2D,0.0037331891057479443
Candlestick,CDL_HARAMI,Bearish,0.4230769230769231,0.008301272158839327,26,1D,0.003512076682585869
Indicator,MACD_Trend,Bullish,0.512280701754386,0.005887134032430859,570,3D,0.0030158651534558088
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.2222222222222222,0.010575505934852224,9,2D,0.002350112429967161
Indicator,CMF_State,Negative,0.4921259842519685,0.004392330744683792,762,3D,0.002161580090887693
Indicator,EMA_Trend,Bullish,0.5054602184087363,0.004078255301081088,641,3D,0.002061395815211034
Indicator,RSI_State,Overbought,0.5172413793103449,0.003972658118080013,87,2D,0.002054823164524145
Indicator,EMA_Trend,Bearish,0.491395793499044,0.004138087083795758,523,3D,0.0020334385861099616
Indicator,MACD_Trend,Bullish,0.5175438596491229,0.003599053053340194,570,2D,0.0018626678083076445
Indicator,CMF_State,Positive,0.5124378109452736,0.003560759117833608,402,3D,0.0018246676076460776
Indicator,CMF_State,Negative,0.5,0.003311018023358634,762,2D,0.001655509011679317
Indicator,EMA_Trend,Bearish,0.5066921606118547,0.0029049566447025142,523,2D,0.001471918758788081
Candlestick,CDL_SHOOTING_STAR,Bearish,0.1875,0.007602289445627547,16,1D,0.001425429271055165
Indicator,EMA_Trend,Bullish,0.5132605304212169,0.0026966071703657312,641,2D,0.001384062026599572
Candlestick,CDL_HAMMER,Bullish,0.4375,0.0031216099891486146,16,1D,0.0013657043702525189
Indicator,MACD_Trend,Bearish,0.48653198653198654,0.002395142751401633,594,3D,0.0011653135608671245
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.42857142857142855,0.00259258137665676,14,1D,0.0011111063042814685
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.42857142857142855,0.0025177722883942106,7,1D,0.0010790452664546616
Indicator,MACD_Trend,Bearish,0.5033670033670034,0.002014069496599222,594,2D,0.0010138161270760394
Indicator,CMF_State,Negative,0.5131233595800525,0.0019207053588344745,762,1D,0.0009855587864885558
Indicator,CMF_State,Positive,0.5298507462686567,0.001803039272598432,402,2D,0.0009553417041379752
Indicator,MACD_Trend,Bullish,0.5333333333333333,0.0017642827304473977,570,1D,0.0009409507895719454
Indicator,EMA_Trend,Bearish,0.502868068833652,0.0017331595377762837,523,1D,0.0008715505897421847
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5316455696202531,0.0014069490185099178,79,1D,0.0007479982123723613
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5428571428571428,0.0012628664455248144,35,1D,0.0006855560704277563
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.42857142857142855,0.001507634138514402,7,2D,0.0006461289165061723
Indicator,EMA_Trend,Bullish,0.514820592823713,0.0012288470711446292,641,1D,0.0006326357776563614
Indicator,MACD_Trend,Bearish,0.48653198653198654,0.0011590778695381937,594,1D,0.0005639284584116801
Candlestick,CDL_HARAMI,Bullish,0.546875,0.0008263600873639251,64,3D,0.0004519156727771465
Candlestick,CDL_HARAMI_CROSS,Bearish,0.16666666666666666,0.0019373299534180173,6,2D,0.00032288832556966955
Indicator,CMF_State,Positive,0.5024875621890548,0.000573522207534413,402,1D,0.0002881877759252523
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5316455696202531,0.0004360492986267944,79,3D,0.00023182367775095397
Indicator,RSI_State,Overbought,0.5862068965517241,0.00029979645161186955,87,1D,0.00017574274749661316
Candlestick,CDL_MORNING_STAR,Bullish,0.0,0.02417802513639089,2,2D,0.0
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.0,0.01420524452831594,9,1D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,0.025855185424294547,2,3D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,0.03860648723955584,2,1D,0.0
Indicator,RSI_State,Oversold,0.54,-0.0004197355685008719,50,1D,-0.00022665720699047083
Candlestick,CDL_HARAMI,Bullish,0.53125,-0.001270368758218619,64,2D,-0.0006748834028036414
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5217391304347826,-0.0013761273863246728,23,2D,-0.0007179795059085249
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5949367088607594,-0.001278702442738401,79,2D,-0.000760747022894998
Indicator,RSI_State,Oversold,0.5,-0.0016493254858769423,50,3D,-0.0008246627429384711
Indicator,RSI_State,Oversold,0.56,-0.002731626150326183,50,2D,-0.0015297106441826626
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.6111111111111112,-0.002504549572363824,36,3D,-0.0015305580720001146
Candlestick,CDL_HARAMI,Bullish,0.5625,-0.0038493312662967547,64,1D,-0.0021652488372919244
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,-0.00674818686126788,2,1D,-0.00337409343063394
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5454545454545454,-0.006211988300784823,11,1D,-0.0033883572549735395
Candlestick,CDL_HARAMI_CROSS,Bullish,0.6521739130434783,-0.005544320210459774,23,3D,-0.0036158610068215916
Candlestick,CDL_THREE_INSIDE,Bullish,0.625,-0.005865418514176546,8,1D,-0.003665886571360341
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6666666666666666,-0.0065185002059726105,6,3D,-0.00434566680398174
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.6111111111111112,-0.007382745489188849,36,1D,-0.004511677798948741
Candlestick,CDL_HARAMI_CROSS,Bullish,0.6521739130434783,-0.00713577255447499,23,1D,-0.004653764709440211
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.5714285714285714,-0.00984420987402655,7,3D,-0.005625262785158029
Candlestick,CDL_EVENING_STAR,Bearish,0.6666666666666666,-0.008497305106953882,6,2D,-0.005664870071302588
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.6111111111111112,-0.010563432838839867,36,2D,-0.00645543117929103
Candlestick,CDL_EVENING_STAR,Bearish,0.8333333333333334,-0.007795532191420799,6,1D,-0.006496276826183999
Candlestick,CDL_EVENING_STAR,Bearish,0.6666666666666666,-0.011177497756975371,6,3D,-0.0074516651713169135
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.7272727272727273,-0.0108269416749686,11,2D,-0.007874139399977163
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.6363636363636364,-0.013326244126449692,11,3D,-0.008480337171377077
Candlestick,CDL_THREE_INSIDE,Bullish,0.75,-0.01235053321558996,8,2D,-0.00926289991169247
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,1.0,-0.010847869018761558,1,1D,-0.010847869018761558
Candlestick,CDL_THREE_INSIDE,Bullish,0.625,-0.020103187638248546,8,3D,-0.012564492273905341
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,1.0,-0.023084350020901256,1,2D,-0.023084350020901256
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,1.0,-0.03670923113397728,1,3D,-0.03670923113397728
