SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5,0.026861174127859284,6,3D,0.013430587063929642
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.023199230063552734,10,3D,0.011599615031776367
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.022694764903234542,10,2D,0.011347382451617271
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.019697704738418753,10,1D,0.009848852369209377
Indicator,RSI_State,Oversold,0.25925925925925924,0.036641087634370455,27,3D,0.009499541238540488
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.16666666666666666,0.043024319162493274,6,2D,0.007170719860415545
Indicator,RSI_State,Overbought,0.49411764705882355,0.012439158300870718,85,3D,0.006146407631018472
Indicator,RSI_State,Oversold,0.37037037037037035,0.016573627533593923,27,2D,0.006138380567997749
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.16666666666666666,0.03634730092220462,6,1D,0.006057883487034102
Indicator,CMF_State,Positive,0.5389830508474577,0.010770439036495907,295,3D,0.005805084090857116
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.4146341463414634,0.0135165140658736,41,1D,0.005604408271215883
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5,0.01099033814195259,34,1D,0.005495169070976295
Candlestick,CDL_HARAMI_CROSS,Bullish,0.47058823529411764,0.011515989649818351,34,2D,0.005419289246973342
Indicator,MACD_Trend,Bullish,0.4965753424657534,0.010298357390458854,584,3D,0.005113910348001828
Candlestick,CDL_HAMMER,Bullish,0.375,0.013430473229647188,8,2D,0.005036427461117696
Candlestick,CDL_HARAMI_CROSS,Bullish,0.4117647058823529,0.012010185423238754,34,3D,0.004945370468392428
Candlestick,CDL_HAMMER,Bullish,0.375,0.012597761067981675,8,3D,0.004724160400493128
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.008921142960464451,4,1D,0.0044605714802322255
Indicator,EMA_Trend,Bearish,0.47448015122873344,0.008777534576777258,529,3D,0.00416476593340471
