SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.4,0.023831340850573878,5,1D,0.009532536340229552
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5294117647058824,0.013663093853160191,17,2D,0.007233402628143631
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.375,0.017398679574688464,8,1D,0.006524504840508174
Candlestick,CDL_THREE_INSIDE,Bearish,0.3333333333333333,0.018810748418569556,3,3D,0.006270249472856518
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.01203631392545379,2,1D,0.006018156962726895
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.4,0.013579745516625729,5,3D,0.005431898206650292
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.4,0.01348028296514967,5,2D,0.0053921131860598685
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5294117647058824,0.009075223625410009,17,3D,0.004804530154628828
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,0.008308873674162165,8,2D,0.0041544368370810825
Indicator,MACD_Trend,Bearish,0.4674657534246575,0.008835464578206727,584,3D,0.004130277105908281
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5882352941176471,0.007009703288984857,17,1D,0.004123354875873445
Candlestick,CDL_THREE_INSIDE,Bullish,0.4444444444444444,0.008992094763647287,9,1D,0.003996486561621016
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.375,0.009988535943125904,8,3D,0.003745700978672214
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.4523809523809524,0.00732294214050521,42,3D,0.0033127595397523567
Indicator,EMA_Trend,Bearish,0.4726930320150659,0.006806136083025942,531,3D,0.003217213101392677
Candlestick,CDL_HARAMI,Bullish,0.5,0.006228813623775359,42,2D,0.0031144068118876796
Indicator,MACD_Trend,Bearish,0.4794520547945205,0.005697972004318139,584,2D,0.002731904385631984
Candlestick,CDL_HARAMI,Bullish,0.5,0.005272480415028337,42,1D,0.0026362402075141684
Indicator,RSI_State,Oversold,0.4888888888888889,0.004860556259593212,45,2D,0.002376271949134459
Candlestick,CDL_HARAMI,Bearish,0.4230769230769231,0.005593069459470186,26,2D,0.0023662986174681554
Indicator,CMF_State,Negative,0.48872180451127817,0.0044784099634348935,665,3D,0.0021886965986711885
Indicator,EMA_Trend,Bearish,0.5028248587570622,0.004303650738348805,531,2D,0.002163982574649964
Candlestick,CDL_HARAMI,Bearish,0.3076923076923077,0.007017806216742297,26,3D,0.0021593249897668607
