SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.3333333333333333,0.07433855447368105,3,3D,0.024779518157893685
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.3333333333333333,0.05106299058137357,3,2D,0.017020996860457854
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.02259579385730896,6,3D,0.01129789692865448
Indicator,RSI_State,Oversold,0.35714285714285715,0.028193049885417456,14,3D,0.010068946387649092
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.018203653330381098,4,2D,0.009101826665190549
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.375,0.022141711139592138,8,3D,0.008303141677347052
Candlestick,CDL_EVENING_STAR,Bearish,0.25,0.03201359473756349,4,3D,0.008003398684390872
Indicator,RSI_State,Overbought,0.5208333333333334,0.01368387272053355,96,2D,0.0071270170419445575
Candlestick,CDL_THREE_INSIDE,Bullish,0.3333333333333333,0.02108049780108114,6,2D,0.00702683260036038
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3584905660377358,0.018857897729617205,53,3D,0.006760378431372205
Indicator,RSI_State,Oversold,0.2857142857142857,0.022383705322823466,14,2D,0.006395344377949561
Indicator,RSI_State,Overbought,0.5625,0.010795443038083094,96,3D,0.00607243670892174
Candlestick,CDL_HARAMI,Bullish,0.5443037974683544,0.00966638958128496,79,3D,0.00526145255690194
Indicator,RSI_State,Overbought,0.4479166666666667,0.01137531210405745,96,1D,0.0050951918799424
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.375,0.012933842438043158,8,1D,0.004850190914266184
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.0096474552359819,4,3D,0.00482372761799095
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5625,0.008369298459459669,16,2D,0.004707730383446063
Candlestick,CDL_SHOOTING_STAR,Bearish,0.16666666666666666,0.027401527417322085,6,2D,0.004566921236220347
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3584905660377358,0.012390658368287795,53,2D,0.004441934132027699
Candlestick,CDL_HARAMI_CROSS,Bullish,0.41935483870967744,0.010015852351386094,31,3D,0.004200196147355459
Candlestick,CDL_THREE_INSIDE,Bullish,0.16666666666666666,0.02489032524851248,6,1D,0.0041483875414187465
Indicator,EMA_Trend,Bearish,0.5374015748031497,0.007550821273202119,508,3D,0.004057823243275942
Indicator,CMF_State,Positive,0.5451713395638629,0.0070353206846685504,321,3D,0.0038354552019221064
Candlestick,CDL_MORNING_STAR,Bullish,0.25,0.015038917433980031,4,1D,0.003759729358495008
Indicator,MACD_Trend,Bearish,0.4970414201183432,0.00751694181085197,676,3D,0.003736231432612813
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.007406472967988437,4,1D,0.0037032364839942183
Candlestick,CDL_MORNING_STAR,Bullish,0.5,0.00731983903037578,4,2D,0.00365991951518789
Candlestick,CDL_PIERCING,Bullish,0.6666666666666666,0.005145039516267547,3,3D,0.0034300263441783643
Indicator,RSI_State,Oversold,0.42857142857142855,0.007079188005300353,14,1D,0.003033937716557294
Indicator,CMF_State,Positive,0.5233644859813084,0.005344561133792324,321,2D,0.0027971534905828982
Indicator,CMF_State,Negative,0.5421115065243179,0.005044280585041447,843,3D,0.0027345625472881864
Candlestick,CDL_HARAMI,Bullish,0.5569620253164557,0.004732829663732681,79,2D,0.0026360063949903536
Indicator,EMA_Trend,Bearish,0.5098425196850394,0.00501292304663077,508,2D,0.002555801317081436
Indicator,MACD_Trend,Bearish,0.4822485207100592,0.005122560514125569,676,2D,0.002470347230184816
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.42028985507246375,0.005729240175285644,69,1D,0.0024079415229461398
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4782608695652174,0.0049217713774536015,69,2D,0.0023538906587821573
Candlestick,CDL_HARAMI_CROSS,Bullish,0.41935483870967744,0.005555796350814164,31,2D,0.002329850082599488
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3584905660377358,0.006302493532745144,53,1D,0.002259384474002976
Indicator,EMA_Trend,Bullish,0.5472560975609756,0.004077514125277237,656,3D,0.002231444467948976
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.125,0.016144097113632405,8,2D,0.0020180121392040506
Indicator,MACD_Trend,Bullish,0.6065573770491803,0.002928716821378304,488,3D,0.0017764347932950368
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4927536231884058,0.0036045217999198347,69,3D,0.0017761411767720926
Candlestick,CDL_HARAMI,Bearish,0.5853658536585366,0.0028140885603066294,41,3D,0.0016472713523746122
Indicator,CMF_State,Negative,0.5290628706998813,0.0030785757770553615,843,2D,0.0016287601382760275
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5806451612903226,0.0025258967446467892,31,1D,0.0014666497226981357
Indicator,EMA_Trend,Bullish,0.5411585365853658,0.0026894490797508756,656,2D,0.0014554183282188427
Indicator,CMF_State,Positive,0.5451713395638629,0.0024973130763560835,321,1D,0.0013614635151473974
Indicator,EMA_Trend,Bearish,0.4862204724409449,0.0025331195883789626,508,1D,0.001231654603011031
