SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.8333333333333334,0.05302393394069013,12,3D,0.04418661161724178
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.75,0.038986516965677724,12,2D,0.02923988772425829
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6666666666666666,0.031378469760076515,12,1D,0.02091897984005101
Candlestick,CDL_HARAMI_CROSS,Bearish,0.38461538461538464,0.03192008268376052,13,3D,0.012276954878369432
Candlestick,CDL_MORNING_STAR,Bullish,0.3333333333333333,0.032521262776940195,3,3D,0.010840420925646731
Candlestick,CDL_HAMMER,Bullish,0.5,0.02010663793255965,12,3D,0.010053318966279826
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5151515151515151,0.019188501476150956,33,3D,0.00988498560892625
Candlestick,CDL_MORNING_STAR,Bullish,0.3333333333333333,0.027283762571453412,3,2D,0.009094587523817803
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,0.014965818032809977,12,3D,0.007482909016404989
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.5,0.014773137440267009,8,2D,0.0073865687201335045
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.16666666666666666,0.04233368755131328,6,3D,0.007055614591885547
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.6666666666666666,0.010458409643409708,12,1D,0.006972273095606472
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5833333333333334,0.010498141437458355,12,2D,0.006123915838517374
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5151515151515151,0.011841858417943149,33,2D,0.006100351306213137
Candlestick,CDL_HARAMI,Bearish,0.42857142857142855,0.013341634202545204,21,3D,0.0057178432296622304
Indicator,EMA_Trend,Bullish,0.5525606469002695,0.008672981847777884,742,3D,0.004792348460362443
Candlestick,CDL_HARAMI_CROSS,Bearish,0.3076923076923077,0.015083101065781231,13,2D,0.004640954174086533
Candlestick,CDL_EVENING_STAR,Bearish,0.5454545454545454,0.007315532328442852,11,3D,0.003990290360968828
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.5,0.006730328548645623,8,1D,0.0033651642743228113
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.16666666666666666,0.019883002320274772,6,1D,0.003313833720045795
Indicator,MACD_Trend,Bearish,0.45799011532125206,0.007016824627959787,607,3D,0.0032136363205483047
Indicator,EMA_Trend,Bullish,0.5256064690026954,0.005786935100717013,742,2D,0.0030416505246356265
Indicator,MACD_Trend,Bullish,0.5098743267504489,0.0056175356760786894,557,3D,0.0028642372208372495
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5,0.004931267369403534,12,3D,0.002465633684701767
Candlestick,CDL_EVENING_STAR,Bearish,0.5454545454545454,0.004335036570070838,11,1D,0.0023645654018568207
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.358974358974359,0.006268428344541042,39,3D,0.002250205046758323
Candlestick,CDL_HARAMI,Bearish,0.42857142857142855,0.005199162642599728,21,2D,0.002228212561114169
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.28205128205128205,0.007782361367633795,39,1D,0.0021950250011274807
Indicator,MACD_Trend,Bullish,0.5080789946140036,0.004311784567668785,557,2D,0.0021907271681333327
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.41025641025641024,0.0050604057673294765,39,2D,0.0020760639045454264
Indicator,MACD_Trend,Bearish,0.4975288303130148,0.004142892337802201,607,2D,0.00206120837893948
Candlestick,CDL_HARAMI,Bullish,0.4782608695652174,0.004065107495253396,69,2D,0.001944181845555972
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.5,0.003315119222529403,8,3D,0.0016575596112647015
Candlestick,CDL_EVENING_STAR,Bearish,0.45454545454545453,0.0034315697092283507,11,2D,0.001559804413285614
Indicator,EMA_Trend,Bullish,0.5013477088948787,0.0029310928892192557,742,1D,0.0014694967045681443
Indicator,MACD_Trend,Bullish,0.5062836624775583,0.0027279409373050325,557,1D,0.0013811119287612552
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5454545454545454,0.002499849930902616,33,1D,0.0013635545077650632
Indicator,EMA_Trend,Bearish,0.5213270142180095,0.0022578848097067087,422,3D,0.0011770963462925971
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4659090909090909,0.0019413974770120977,88,3D,0.000904514733607909
Indicator,MACD_Trend,Bearish,0.5172981878088962,0.0015373040062069095,607,1D,0.0007952445765221905
Indicator,EMA_Trend,Bearish,0.533175355450237,0.001475103811624232,422,2D,0.0007864889990887492
Candlestick,CDL_HAMMER,Bullish,0.4166666666666667,0.001838070937882898,12,2D,0.0007658628907845409
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5,0.0011424713531254945,88,2D,0.0005712356765627472
Indicator,EMA_Trend,Bearish,0.518957345971564,0.0006581414929995487,422,1D,0.00034154736248080843
Candlestick,CDL_HARAMI,Bullish,0.4492753623188406,0.0005084385215797198,69,3D,0.00022842890099958424
Indicator,RSI_State,Overbought,0.0,0.007811277565050291,119,3D,0.0
Indicator,CMF_State,Negative,0.0,0.0040691007074616535,749,3D,0.0
Indicator,RSI_State,Oversold,0.0,0.0030858765737094636,37,3D,0.0
Indicator,CMF_State,Positive,0.0,0.00711141278858108,415,2D,0.0
Indicator,RSI_State,Oversold,0.0,0.0004257437148361417,37,2D,0.0
Indicator,CMF_State,Positive,0.0,0.010458851785201548,415,3D,0.0
Indicator,RSI_State,Overbought,0.0,0.004541248704034639,119,2D,0.0
Indicator,RSI_State,Overbought,0.0,0.001431587054413952,119,1D,0.0
Indicator,RSI_State,Oversold,0.0,-3.379480244455065e-05,37,1D,-0.0
Indicator,CMF_State,Positive,0.0,0.003827829564939158,415,1D,0.0
Indicator,CMF_State,Negative,0.0,0.0026237160827453955,749,2D,0.0
Indicator,CMF_State,Negative,0.0,0.0011536146387139475,749,1D,0.0
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.0,0.01865544428544556,6,2D,0.0
Candlestick,CDL_HAMMER,Bullish,0.25,-0.0007409312135662205,12,1D,-0.00018523280339155512
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.25,-0.0012389188328719252,12,1D,-0.0003097297082179813
Candlestick,CDL_MORNING_STAR,Bullish,0.3333333333333333,-0.00132806648841155,3,1D,-0.0004426888294705167
Candlestick,CDL_HARAMI,Bullish,0.4492753623188406,-0.0012866940548834605,69,1D,-0.0005780799377012648
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.48863636363636365,-0.0023604310646631117,88,1D,-0.0011533924520512934
Candlestick,CDL_HARAMI_CROSS,Bullish,0.35714285714285715,-0.003451637599697081,28,2D,-0.001232727714177529
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5625,-0.0022246347621771023,16,2D,-0.00125135705372462
Candlestick,CDL_HARAMI_CROSS,Bullish,0.2857142857142857,-0.005908580994381419,28,3D,-0.001688165998394691
Candlestick,CDL_HARAMI_CROSS,Bullish,0.42857142857142855,-0.004809682686432,28,1D,-0.0020612925798994285
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.25,-0.009087433298483114,12,2D,-0.0022718583246207785
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,-0.008062151795104396,16,1D,-0.004031075897552198
Candlestick,CDL_SHOOTING_STAR,Bearish,0.625,-0.006625834475911731,16,3D,-0.004141146547444832
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6923076923076923,-0.007866228885037562,13,1D,-0.005445850766564466
Candlestick,CDL_HARAMI,Bearish,0.7142857142857143,-0.008604601155572267,21,1D,-0.006146143682551619
Candlestick,CDL_THREE_INSIDE_UP,Bearish,1.0,-0.01136124552913953,1,1D,-0.01136124552913953
Candlestick,CDL_THREE_INSIDE_UP,Bearish,1.0,-0.02844523360246165,1,2D,-0.02844523360246165
Candlestick,CDL_THREE_INSIDE_UP,Bearish,1.0,-0.06198192671076164,1,3D,-0.06198192671076164
