SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_HAMMER,Bullish,0.6923076923076923,0.03297224756458856,13,1D,0.022826940621638234
Candlestick,CDL_HAMMER,Bullish,0.6153846153846154,0.035044591367627345,13,3D,0.021565902380078366
Candlestick,CDL_HAMMER,Bullish,0.6153846153846154,0.028496935427136723,13,2D,0.017536575647468754
Candlestick,CDL_HARAMI_CROSS,Bullish,0.6785714285714286,0.019028524466768414,28,3D,0.012912213031021424
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5357142857142857,0.01676874193422656,28,1D,0.008983254607621371
Candlestick,CDL_HARAMI,Bearish,0.6538461538461539,0.011808852155315522,26,3D,0.007721172563090919
Candlestick,CDL_SHOOTING_STAR,Bearish,0.6428571428571429,0.0108715783050263,14,2D,0.0069888717675169075
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.013923318261817308,4,1D,0.006961659130908654
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.4358974358974359,0.014011664372873565,39,3D,0.006107648572791041
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.44047619047619047,0.012709130451460441,84,3D,0.005598069365524242
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.40476190476190477,0.013038646603808914,84,2D,0.005277547434875037
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.45454545454545453,0.010187009403813611,44,2D,0.004630458819915278
Candlestick,CDL_HARAMI,Bullish,0.4675324675324675,0.00989677260619633,77,1D,0.0046270625171827
Indicator,EMA_Trend,Bearish,0.4932301740812379,0.008868781750299358,517,3D,0.004374350766588659
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5,0.00832514463001603,44,3D,0.004162572315008015
Candlestick,CDL_HARAMI,Bullish,0.5714285714285714,0.0066889999870183795,77,3D,0.003822285706867645
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5357142857142857,0.0064866175752956445,28,2D,0.003474973701051238
Candlestick,CDL_HARAMI,Bearish,0.5769230769230769,0.005874096332910998,26,2D,0.0033889017305255755
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.46153846153846156,0.007327575733843367,39,1D,0.003381958031004631
Indicator,EMA_Trend,Bearish,0.5164410058027079,0.006363980409410791,517,2D,0.0032866204435448377
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5,0.006521579145395074,44,1D,0.003260789572697537
Candlestick,CDL_HARAMI,Bearish,0.6153846153846154,0.004490541337802783,26,1D,0.002763410054032482
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.005261588600769612,4,2D,0.002630794300384806
Indicator,MACD_Trend,Bullish,0.4679715302491103,0.004915290246205299,562,3D,0.0023002158981352203
Indicator,MACD_Trend,Bearish,0.5066445182724253,0.0044850590067448326,602,3D,0.002272330559895638
Candlestick,CDL_HARAMI,Bullish,0.4675324675324675,0.004118495735030373,77,2D,0.001925530473520694
Indicator,MACD_Trend,Bearish,0.5249169435215947,0.003353818312145758,602,2D,0.001760476057538305
Indicator,EMA_Trend,Bearish,0.5164410058027079,0.0033973847810594214,517,1D,0.00175454881342914
Candlestick,CDL_SHOOTING_STAR,Bearish,0.42857142857142855,0.0037375255688673614,14,3D,0.0016017966723717262
Candlestick,CDL_SHOOTING_STAR,Bearish,0.6428571428571429,0.0021337406602745684,14,1D,0.0013716904244622226
Indicator,MACD_Trend,Bullish,0.4395017793594306,0.003069422512715683,562,2D,0.001349016655944437
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.6071428571428571,0.0015691129725122369,84,1D,0.0009526757333110008
Indicator,MACD_Trend,Bullish,0.4430604982206406,0.0018311440307051641,562,1D,0.000811307586557982
