SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5,0.029621311798434094,8,3D,0.014810655899217047
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,1.0,0.014137316368553643,1,1D,0.014137316368553643
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.75,0.018542173671133824,8,2D,0.013906630253350368
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.25,0.04362960435905672,4,3D,0.01090740108976418
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.5,0.01804910968721324,2,1D,0.00902455484360662
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.01495359091358367,4,2D,0.007476795456791835
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.625,0.010547409207705347,8,1D,0.006592130754815842
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.5,0.012742092320275233,2,3D,0.006371046160137617
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.5,0.01167217174032148,2,2D,0.00583608587016074
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.011554291405865252,4,1D,0.005777145702932626
Candlestick,CDL_HARAMI,Bearish,0.45,0.010338588978237695,20,2D,0.004652365040206963
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3333333333333333,0.00962604325279992,15,3D,0.0032086810842666402
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5714285714285714,0.004420308344876881,7,2D,0.002525890482786789
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5263157894736842,0.0036024204728902394,38,1D,0.001896010775205389
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5,0.002684886726246517,18,3D,0.0013424433631232585
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5263157894736842,0.0024952083499279964,38,2D,0.0013132675525936823
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.5,0.0021347200984427883,2,2D,0.0010673600492213942
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.56,0.0009664817785564894,25,1D,0.0005412297959916341
