SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_HARAMI_CROSS,Bullish,0.7272727272727273,0.031222826996063147,22,3D,0.022707510542591382
Candlestick,CDL_HARAMI_CROSS,Bullish,0.6363636363636364,0.02457404809865502,22,2D,0.01563803060823501
Candlestick,CDL_HARAMI_CROSS,Bullish,0.7272727272727273,0.018841570743767192,22,1D,0.013702960540921594
Candlestick,CDL_PIERCING,Bullish,0.6,0.020952303598411114,5,2D,0.012571382159046669
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.5,0.020507789015024647,2,3D,0.010253894507512323
Candlestick,CDL_MORNING_STAR,Bullish,0.6,0.01421827065792014,5,1D,0.008530962394752083
Candlestick,CDL_PIERCING,Bullish,0.6,0.013973673357570581,5,3D,0.00838420401454235
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.01604511272256559,20,2D,0.008022556361282795
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.022757940738778015,3,3D,0.007585980246259338
Candlestick,CDL_HAMMER,Bullish,0.6666666666666666,0.010764367296837541,15,3D,0.007176244864558361
Candlestick,CDL_SHOOTING_STAR,Bearish,0.6,0.010018393121363744,20,3D,0.006011035872818246
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.01692412215763887,3,2D,0.00564137405254629
Candlestick,CDL_PIERCING,Bullish,0.6,0.006967812559193187,5,1D,0.004180687535515912
Candlestick,CDL_HARAMI,Bullish,0.5694444444444444,0.0069265066196201285,72,1D,0.003944260713950351
Candlestick,CDL_HARAMI,Bullish,0.5416666666666666,0.007102805885197436,72,3D,0.0038473531878152776
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.48717948717948717,0.0066327088957721545,39,3D,0.0032313197184531007
Candlestick,CDL_HARAMI,Bullish,0.5138888888888888,0.006283000075420617,72,2D,0.003228763927646706
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.4358974358974359,0.006750605658449737,39,2D,0.0029425716972729626
Indicator,MACD_Trend,Bearish,0.4935483870967742,0.00551441365438686,620,3D,0.0027216299649070633
Candlestick,CDL_SHOOTING_STAR,Bearish,0.4,0.0064971830083432715,20,1D,0.0025988732033373086
Candlestick,CDL_MORNING_STAR,Bullish,0.6,0.0032898965453624475,5,2D,0.0019739379272174684
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5,0.0038873081021193307,14,1D,0.0019436540510596653
Indicator,MACD_Trend,Bearish,0.49516129032258066,0.0037385426829697546,620,2D,0.0018511816188253464
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4810126582278481,0.0038412033917274028,79,3D,0.001847667454248624
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.42857142857142855,0.0036443142955605817,14,3D,0.0015618489838116778
Indicator,EMA_Trend,Bearish,0.514637904468413,0.0029076921993858276,649,3D,0.001496408620331073
Indicator,EMA_Trend,Bullish,0.4621359223300971,0.003184767602960871,515,3D,0.0014717955136013346
Indicator,EMA_Trend,Bullish,0.4640776699029126,0.002375262641402959,515,2D,0.0011023063520297226
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5714285714285714,0.0018509886087505162,14,2D,0.0010577077764288663
Indicator,MACD_Trend,Bearish,0.5112903225806451,0.0018151745334758112,620,1D,0.0009280811727610194
Candlestick,CDL_HAMMER,Bullish,0.6,0.0015106330023034224,15,2D,0.0009063798013820534
Indicator,EMA_Trend,Bearish,0.5100154083204931,0.0016880607189224985,649,2D,0.0008609369768310431
Indicator,EMA_Trend,Bullish,0.4563106796116505,0.001143693078929907,515,1D,0.0005218793661136469
Indicator,EMA_Trend,Bearish,0.5300462249614792,0.0008294356419823441,649,1D,0.00043963923088124253
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.0011791028346847716,3,1D,0.00039303427822825717
Indicator,MACD_Trend,Bullish,0.4375,0.0001991012632470538,544,3D,8.710680267058603e-05
Indicator,MACD_Trend,Bullish,0.43014705882352944,3.487971581692281e-06,544,1D,1.5003407171249887e-06
Indicator,MACD_Trend,Bullish,0.4430147058823529,1.6823593051056753e-06,544,2D,7.453099127398304e-07
Indicator,CMF_State,Positive,0.0,0.0011156901144846905,252,1D,0.0
Indicator,CMF_State,Negative,0.0,0.000927797980751427,912,1D,0.0
Indicator,RSI_State,Overbought,0.0,-0.002044140345644398,65,3D,-0.0
Indicator,CMF_State,Negative,0.0,0.002508098428577732,912,3D,0.0
Indicator,RSI_State,Oversold,0.0,0.016817315618453173,61,3D,0.0
Indicator,RSI_State,Oversold,0.0,0.008405455534748172,61,2D,0.0
Indicator,RSI_State,Overbought,0.0,-0.0034879605567695185,65,2D,-0.0
Indicator,CMF_State,Positive,0.0,0.0049200864526323775,252,3D,0.0
Indicator,RSI_State,Oversold,0.0,0.0024694226611373716,61,1D,0.0
Indicator,RSI_State,Overbought,0.0,-0.0016578533936606773,65,1D,-0.0
Indicator,CMF_State,Negative,0.0,0.0018512456190943685,912,2D,0.0
