SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6666666666666666,0.01824267756921638,3,3D,0.012161785046144253
Candlestick,CDL_THREE_INSIDE,Bullish,0.5,0.01934408349990474,2,3D,0.00967204174995237
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.3076923076923077,0.02361980932029184,13,3D,0.007267633637012875
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4,0.01726394189101931,20,3D,0.006905576756407724
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.38461538461538464,0.017941207079255686,13,2D,0.006900464261252188
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5,0.012205604803956096,12,3D,0.006102802401978048
Indicator,RSI_State,Oversold,0.2222222222222222,0.026173417888685484,9,3D,0.0058163150863745515
Candlestick,CDL_HARAMI_CROSS,Bullish,0.3333333333333333,0.014018725137215075,9,2D,0.0046729083790716915
Candlestick,CDL_HARAMI_CROSS,Bullish,0.3333333333333333,0.012425870292222307,9,1D,0.004141956764074102
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5,0.007761355218474791,12,2D,0.0038806776092373957
Candlestick,CDL_HARAMI,Bullish,0.47058823529411764,0.007782727603462286,17,2D,0.0036624600486881344
Candlestick,CDL_HARAMI,Bullish,0.4117647058823529,0.008786693738685413,17,1D,0.003618050362988111
Candlestick,CDL_HARAMI,Bullish,0.17647058823529413,0.017698367012398495,17,3D,0.0031232412374820875
Indicator,RSI_State,Oversold,0.1111111111111111,0.027645373186839288,9,2D,0.0030717081318710317
Indicator,RSI_State,Oversold,0.3333333333333333,0.008525840619433523,9,1D,0.002841946873144508
Candlestick,CDL_HARAMI,Bearish,0.45454545454545453,0.006022243912577632,11,2D,0.0027373835966261963
Indicator,CMF_State,Negative,0.45666666666666667,0.0058268681277369085,300,3D,0.0026609364449998547
Candlestick,CDL_EVENING_STAR,Bearish,0.6666666666666666,0.003866427501585242,3,1D,0.0025776183343901612
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.46153846153846156,0.004463496309790329,13,1D,0.0020600752199032286
Indicator,MACD_Trend,Bearish,0.46473029045643155,0.0043562974093518175,241,3D,0.0020245033603626702
Candlestick,CDL_HARAMI_CROSS,Bullish,0.1111111111111111,0.018029418873298293,9,3D,0.0020032687636998103
Indicator,CMF_State,Negative,0.4866666666666667,0.004037207536042355,300,2D,0.0019647743342072793
Candlestick,CDL_HARAMI,Bearish,0.09090909090909091,0.020262215374231594,11,3D,0.0018420195794755995
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5,0.0034855781084774753,12,1D,0.0017427890542387376
Indicator,EMA_Trend,Bearish,0.47150259067357514,0.0035944271582610344,193,3D,0.0016947817171075344
Candlestick,CDL_HAMMER,Bullish,0.8,0.002118234233377958,5,1D,0.0016945873867023665
Indicator,MACD_Trend,Bearish,0.5062240663900415,0.003221285699589544,241,2D,0.0016306923458503085
Candlestick,CDL_HARAMI,Bearish,0.45454545454545453,0.00307369914435305,11,1D,0.0013971359747059317
Indicator,EMA_Trend,Bearish,0.48186528497409326,0.00273409147227568,193,2D,0.0013174637664333587
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5,0.0024581914425542083,20,2D,0.0012290957212771042
Indicator,CMF_State,Negative,0.53,0.0019782207915196464,300,1D,0.0010484570195054127
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6666666666666666,0.0015363681650500949,3,2D,0.0010242454433667298
Indicator,MACD_Trend,Bearish,0.5311203319502075,0.0017772614883748193,241,1D,0.0009439397116679538
Indicator,EMA_Trend,Bearish,0.533678756476684,0.0012751710363580967,193,1D,0.0006805316929786734
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,0.0012944010336653211,4,2D,0.0006472005168326606
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.25,0.0011910649112770177,4,1D,0.00029776622781925444
Indicator,EMA_Trend,Bullish,0.5023255813953489,0.0005413701022356592,215,3D,0.000271944051355587
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,0.0003067987066229516,4,1D,0.0001533993533114758
Indicator,EMA_Trend,Bullish,0.5627906976744186,0.00013692012133058415,215,2D,7.70573706093055e-05
Indicator,EMA_Trend,Bullish,0.5674418604651162,3.497750428549952e-05,215,1D,1.9847700106190426e-05
Candlestick,CDL_PIERCING,Bullish,0.0,0.007264745968966535,1,1D,0.0
Candlestick,CDL_THREE_INSIDE,Bearish,0.0,0.03625982779822978,1,1D,0.0
Candlestick,CDL_THREE_INSIDE,Bearish,0.0,0.06150506270849254,1,3D,0.0
Candlestick,CDL_PIERCING,Bullish,0.0,0.05650368924153337,1,3D,0.0
Candlestick,CDL_HARAMI_CROSS,Bearish,0.0,0.020974867992055723,4,3D,0.0
Candlestick,CDL_THREE_INSIDE,Bullish,0.0,0.005958739201699537,2,1D,0.0
Candlestick,CDL_PIERCING,Bullish,0.0,0.019833962136666994,1,2D,0.0
Candlestick,CDL_THREE_INSIDE,Bearish,0.0,0.07276089117802065,1,2D,0.0
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6666666666666666,-0.00021478354580624823,3,1D,-0.0001431890305374988
Indicator,MACD_Trend,Bullish,0.5808383233532934,-0.001046058953651715,167,1D,-0.0006075911287677626
Indicator,MACD_Trend,Bullish,0.5508982035928144,-0.0013126489423101692,167,2D,-0.00072313594426668
Indicator,MACD_Trend,Bullish,0.5209580838323353,-0.0014356207313098298,167,3D,-0.0007478982252931449
Candlestick,CDL_DARKCLOUDCOVER,Bearish,1.0,-0.0018645987438561384,1,1D,-0.0018645987438561384
Indicator,CMF_State,Positive,0.6111111111111112,-0.003146648740901841,108,1D,-0.001922952008328903
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,-0.0056779503752902305,4,2D,-0.0028389751876451153
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.7,-0.004662612815429923,20,1D,-0.003263828970800946
Indicator,CMF_State,Positive,0.6296296296296297,-0.00605597019053171,108,2D,-0.0038130182681125582
Indicator,CMF_State,Positive,0.5740740740740741,-0.008684642822185427,108,3D,-0.004985628286810153
Candlestick,CDL_HAMMER,Bullish,0.6,-0.00927552976125361,5,3D,-0.005565317856752166
