SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_PIERCING,Bullish,1.0,0.08524470878009066,4,3D,0.08524470878009066
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.12413019888935362,2,3D,0.06206509944467681
Candlestick,CDL_PIERCING,Bullish,0.75,0.06632522586740264,4,2D,0.04974391940055198
Candlestick,CDL_HAMMER,Bullish,0.7333333333333333,0.06237239114699321,15,3D,0.045739753507795015
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6,0.06250249112042634,5,3D,0.0375014946722558
Candlestick,CDL_PIERCING,Bullish,0.75,0.03784559302044077,4,1D,0.028384194765330578
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6,0.044774385387109226,5,2D,0.026864631232265537
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.04374213585514214,2,2D,0.02187106792757107
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.8,0.016064651504347594,5,1D,0.012851721203478076
Candlestick,CDL_HAMMER,Bullish,0.5333333333333333,0.01681809538055504,15,2D,0.008969650869629356
Indicator,MACD_Trend,Bearish,0.4696223316912972,0.009052669890641444,609,3D,0.0042513359420746355
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.008326759212959833,2,1D,0.004163379606479917
Candlestick,CDL_HARAMI,Bullish,0.43956043956043955,0.00865731666717949,91,3D,0.0038054139196393366
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.40625,0.008839502348289566,32,2D,0.0035910478289926362
Indicator,EMA_Trend,Bullish,0.4349442379182156,0.007595858981306871,538,3D,0.0033037750959587506
Indicator,EMA_Trend,Bearish,0.5143769968051118,0.005316564475510762,626,3D,0.0027347184682339704
Candlestick,CDL_HARAMI,Bullish,0.4725274725274725,0.00539419524684679,91,2D,0.002548905446312219
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.42857142857142855,0.005597699201896519,14,1D,0.0023990139436699367
Indicator,EMA_Trend,Bullish,0.44981412639405205,0.004989706730030962,538,2D,0.002244440573731399
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.3125,0.0068816663865871805,32,3D,0.002150520745808494
Indicator,MACD_Trend,Bearish,0.4630541871921182,0.004450385341892169,609,2D,0.0020607695671815956
Candlestick,CDL_HARAMI,Bullish,0.4725274725274725,0.0042937991399209395,91,1D,0.002028938055127477
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.006048078842055678,3,2D,0.0020160262806852257
Indicator,EMA_Trend,Bearish,0.4968051118210863,0.0032778195265800586,626,2D,0.001628437496431946
Indicator,MACD_Trend,Bullish,0.3927927927927928,0.003650617245375573,555,2D,0.0014339361432286033
Indicator,MACD_Trend,Bullish,0.3783783783783784,0.0034264243787607116,555,3D,0.0012964849000716206
Indicator,EMA_Trend,Bullish,0.4646840148698885,0.0024205376353410727,538,1D,0.0011247851465339557
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.35714285714285715,0.003023790902101436,14,2D,0.0010799253221790842
Indicator,MACD_Trend,Bullish,0.4252252252252252,0.0025373349600046444,555,1D,0.0010789388298398127
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.45977011494252873,0.0019301081320744517,87,3D,0.0008874060377353801
Indicator,EMA_Trend,Bearish,0.48242811501597443,0.00142231121335737,626,1D,0.0006861629176260794
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.0018491574241542574,3,1D,0.0006163858080514191
Indicator,MACD_Trend,Bearish,0.46798029556650245,0.0012880051963425829,609,1D,0.0006027610524755929
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.375,0.0014253732147341512,32,1D,0.0005345149555253067
Candlestick,CDL_MORNING_STAR,Bullish,0.5,0.000979011575492239,2,3D,0.0004895057877461195
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.0005645687658526836,3,3D,0.00018818958861756117
Indicator,CMF_State,Negative,0.0,0.0038295535426108437,962,2D,0.0
Indicator,CMF_State,Negative,0.0,0.006436731306353989,962,3D,0.0
Indicator,RSI_State,Overbought,0.0,0.011972352005303803,112,3D,0.0
Indicator,CMF_State,Positive,0.0,0.006052504836140081,202,3D,0.0
Indicator,RSI_State,Oversold,0.0,0.00656444054370462,41,3D,0.0
Indicator,CMF_State,Positive,0.0,0.0031409288190434566,202,1D,0.0
Indicator,CMF_State,Negative,0.0,0.0016196969292395348,962,1D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,-0.007357493624025269,2,1D,-0.0
Indicator,RSI_State,Oversold,0.0,-0.002509980324773004,41,1D,-0.0
Indicator,CMF_State,Positive,0.0,0.0052096373089313966,202,2D,0.0
Indicator,RSI_State,Overbought,0.0,0.01429850737204034,112,2D,0.0
Indicator,RSI_State,Oversold,0.0,-0.000908226387015896,41,2D,-0.0
Indicator,RSI_State,Overbought,0.0,0.012001654539456666,112,1D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,-0.02198389818287355,2,2D,-0.0
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.35714285714285715,-0.0007433820360343647,14,3D,-0.00026549358429798744
Candlestick,CDL_HARAMI_CROSS,Bullish,0.4,-0.002513177957192325,25,1D,-0.00100527118287693
Candlestick,CDL_HAMMER,Bullish,0.3333333333333333,-0.0031929727008461455,15,1D,-0.0010643242336153818
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3181818181818182,-0.003634049459755363,22,1D,-0.0011562884644676155
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3181818181818182,-0.0043509405025690525,22,3D,-0.001384390159908335
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.2962962962962963,-0.005252818762641202,27,2D,-0.001556390744486282
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3181818181818182,-0.007699938036396378,22,2D,-0.0024499802843079383
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.2962962962962963,-0.008547366214244592,27,1D,-0.0025325529523687676
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5632183908045977,-0.004951593448945476,87,2D,-0.002788828494233659
Candlestick,CDL_SHOOTING_STAR,Bearish,0.4,-0.007490584391691368,5,1D,-0.0029962337566765474
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5287356321839081,-0.0058563555303749034,87,1D,-0.003096463843646501
Candlestick,CDL_SHOOTING_STAR,Bearish,0.4,-0.00931034766108394,5,3D,-0.003724139064433576
Candlestick,CDL_HARAMI_CROSS,Bullish,0.24,-0.015843965953827987,25,3D,-0.0038025518289187166
Candlestick,CDL_HARAMI_CROSS,Bullish,0.32,-0.013736837163963131,25,2D,-0.004395787892468202
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3333333333333333,-0.013264519388089509,27,3D,-0.004421506462696503
