SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_HAMMER,Bullish,0.375,0.025513634498937024,8,2D,0.009567612937101384
Indicator,RSI_State,Oversold,0.34210526315789475,0.02684390065529931,38,3D,0.009183439697865553
Candlestick,CDL_HAMMER,Bullish,0.625,0.013824103459769449,8,1D,0.008640064662355906
Indicator,RSI_State,Oversold,0.3684210526315789,0.01984733055667578,38,2D,0.007312174415617393
Candlestick,CDL_SHOOTING_STAR,Bearish,0.3333333333333333,0.019962786556882557,15,3D,0.006654262185627519
Candlestick,CDL_HARAMI,Bullish,0.3918918918918919,0.014257223326463304,74,3D,0.0055872902225329165
Candlestick,CDL_HARAMI_CROSS,Bullish,0.4,0.01392069516825446,20,2D,0.005568278067301784
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5,0.010522155070553369,20,1D,0.005261077535276684
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.47058823529411764,0.011115701462161114,68,3D,0.005230918335134642
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.4444444444444444,0.011698860604863557,27,3D,0.0051994936021615805
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6,0.008466630061244007,10,2D,0.005079978036746404
Candlestick,CDL_HAMMER,Bullish,0.5,0.008472695191362734,8,3D,0.004236347595681367
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5555555555555556,0.007315337835186926,27,2D,0.004064076575103848
Candlestick,CDL_HARAMI,Bullish,0.4594594594594595,0.008792025870996988,74,2D,0.00403957945424186
Candlestick,CDL_SHOOTING_STAR,Bearish,0.3333333333333333,0.011357840794719036,15,2D,0.003785946931573012
Candlestick,CDL_HARAMI_CROSS,Bullish,0.3,0.011979097583760184,20,3D,0.003593729275128055
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.006906554111414109,6,3D,0.0034532770557070547
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5,0.006735011012533378,68,2D,0.003367505506266689
