SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE,Bullish,0.5,0.014152285911892548,2,2D,0.007076142955946274
Candlestick,CDL_THREE_WHITE_SOLDIERS,Bullish,0.5,0.014018055042250399,2,3D,0.0070090275211251996
Candlestick,CDL_HARAMI,Bullish,0.42857142857142855,0.00974259662831529,7,2D,0.004175398554992267
Candlestick,CDL_HARAMI,Bullish,0.5714285714285714,0.006944494785301315,7,1D,0.003968282734457894
Indicator,CMF_State,Negative,0.42990654205607476,0.008682428815034934,107,3D,0.0037326329485196912
Indicator,MACD_Trend,Bullish,0.48717948717948717,0.006909911652329073,78,2D,0.0033663672152372407
Indicator,MACD_Trend,Bullish,0.38461538461538464,0.008233856192390228,78,3D,0.0031668677663039342
Candlestick,CDL_HARAMI,Bullish,0.42857142857142855,0.005979111591386104,7,3D,0.00256247639630833
Indicator,CMF_State,Negative,0.4953271028037383,0.004765552078883794,107,2D,0.002360507104493842
Indicator,MACD_Trend,Bullish,0.3717948717948718,0.004652917877399743,78,1D,0.0017299310056999044
Indicator,EMA_Trend,Bearish,0.46715328467153283,0.0034302698117257124,137,3D,0.001602461809857267
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.2857142857142857,0.004238862806729439,7,1D,0.001211103659065554
Indicator,EMA_Trend,Bearish,0.5255474452554745,0.0020392500157018017,137,2D,0.001071722635989268
Indicator,CMF_State,Negative,0.40186915887850466,0.001450136730443079,107,1D,0.000582765228121985
Indicator,EMA_Trend,Bearish,0.44525547445255476,0.0006402244699994443,137,1D,0.00028506345014573796
Candlestick,CDL_MORNING_STAR,Bullish,0.0,0.09396667910290124,1,2D,0.0
Candlestick,CDL_THREE_INSIDE,Bullish,0.0,0.017530097070420858,2,1D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,0.048890440134410795,1,1D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,0.045423037136834266,1,3D,0.0
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.0,0.013215846538256804,1,3D,0.0
Candlestick,CDL_HARAMI,Bearish,0.3333333333333333,-0.0006326445275351977,3,2D,-0.00021088150917839923
Candlestick,CDL_THREE_WHITE_SOLDIERS,Bullish,0.5,-0.002402780318278841,2,1D,-0.0012013901591394205
Indicator,CMF_State,Positive,0.5614035087719298,-0.0025825676675489797,57,1D,-0.0014498625502029358
Indicator,EMA_Trend,Bullish,0.5185185185185185,-0.0029537955289928247,27,1D,-0.0015315976816999831
Indicator,MACD_Trend,Bearish,0.5348837209302325,-0.0041275502480239805,86,1D,-0.002207759434989571
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6,-0.003762789367184438,5,1D,-0.0022576736203106626
Candlestick,CDL_THREE_WHITE_SOLDIERS,Bullish,0.5,-0.004805560636557682,2,2D,-0.002402780318278841
Indicator,MACD_Trend,Bearish,0.5697674418604651,-0.0049657596298254125,86,3D,-0.0028293281611795956
Indicator,MACD_Trend,Bearish,0.5697674418604651,-0.0050541794548959245,86,2D,-0.002879706898719771
Candlestick,CDL_HAMMER,Bullish,0.5,-0.0058690218638162706,4,1D,-0.0029345109319081353
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.4,-0.008005507065710283,5,3D,-0.0032022028262841135
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5714285714285714,-0.005999605354572478,7,2D,-0.0034283459168985586
Indicator,EMA_Trend,Bullish,0.5555555555555556,-0.006483836162612171,27,2D,-0.003602131201451206
Indicator,CMF_State,Positive,0.5964912280701754,-0.007115796432981539,57,2D,-0.004244510153006532
