SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.4,0.04504922396997937,10,3D,0.018019689587991747
Indicator,RSI_State,Overbought,0.38028169014084506,0.03374549097496925,71,3D,0.012832792342593938
Candlestick,CDL_SHOOTING_STAR,Bearish,0.8,0.014178730151644281,5,2D,0.011342984121315425
Indicator,RSI_State,Overbought,0.39436619718309857,0.025334501760031193,71,2D,0.009991071116632019
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5,0.01869056484757812,10,2D,0.00934528242378906
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5925925925925926,0.010528794910290486,27,3D,0.006239285872764733
Candlestick,CDL_THREE_INSIDE,Bullish,0.5,0.012408075321648726,6,1D,0.006204037660824363
Indicator,RSI_State,Oversold,0.4482758620689655,0.012588121335462837,58,3D,0.005642950943483341
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.575,0.00964835989363975,40,3D,0.005547806938842856
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5555555555555556,0.009712349691170248,27,2D,0.005395749828427916
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5,0.009949686577621308,10,1D,0.004974843288810654
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.014890972453830123,3,2D,0.004963657484610041
Candlestick,CDL_THREE_INSIDE,Bullish,0.5,0.009566045356530809,6,3D,0.004783022678265404
Candlestick,CDL_PIERCING,Bullish,0.16666666666666666,0.025943272586104977,6,3D,0.004323878764350829
Candlestick,CDL_PIERCING,Bullish,0.16666666666666666,0.023547328687461993,6,2D,0.0039245547812436655
Indicator,RSI_State,Overbought,0.3380281690140845,0.011172960449152452,71,1D,0.0037767753630937864
Candlestick,CDL_PIERCING,Bullish,0.16666666666666666,0.019977851134921048,6,1D,0.0033296418558201746
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.525,0.004945416611580672,40,2D,0.0025963437210798526
Indicator,EMA_Trend,Bullish,0.5675675675675675,0.0037608895558366587,259,3D,0.002134558937096482
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.4,0.005255760615198857,40,1D,0.0021023042460795427
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5483870967741935,0.003591702230106025,62,1D,0.0019696431584452392
Indicator,CMF_State,Negative,0.5500667556742324,0.003518134389573104,749,3D,0.0019352087696984232
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.005379401381384559,3,3D,0.001793133793794853
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.37037037037037035,0.004808604818464963,27,1D,0.0017809647475796157
Indicator,RSI_State,Oversold,0.5344827586206896,0.0032247553866363767,58,2D,0.0017235761549263392
Indicator,CMF_State,Negative,0.5433911882510013,0.002454116030333413,749,2D,0.0013335450258287035
Indicator,EMA_Trend,Bullish,0.5675675675675675,0.0019112424074111084,259,2D,0.0010847592042063047
Indicator,MACD_Trend,Bearish,0.541015625,0.0013605139585038321,512,3D,0.0007360593095811748
Indicator,CMF_State,Negative,0.5100133511348465,0.0011165018238995458,749,1D,0.0005694308367551756
Indicator,EMA_Trend,Bullish,0.5366795366795367,0.0007201252019187506,259,1D,0.00038647645971701285
Indicator,MACD_Trend,Bearish,0.560546875,0.000648569105860944,512,2D,0.00036355338551189635
Indicator,RSI_State,Oversold,0.4827586206896552,0.0006986236159060424,58,1D,0.0003372665731960205
Indicator,MACD_Trend,Bearish,0.517578125,0.00022212522150539442,512,1D,0.00011496715566197173
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.048080818412775894,1,1D,0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.15515158554122643,1,3D,0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.1002020787837683,1,2D,0.0
