SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE_UP,Bullish,1.0,0.15734593390536322,2,3D,0.15734593390536322
Indicator,EMA_Trend,Bullish,1.0,0.15715259621504307,1,3D,0.15715259621504307
Candlestick,CDL_BULLISH_ENGULFING,Bullish,1.0,0.15636597946063835,2,3D,0.15636597946063835
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,1.0,0.12667010864438388,2,3D,0.12667010864438388
Candlestick,CDL_THREE_INSIDE_UP,Bullish,1.0,0.10237038189989367,2,2D,0.10237038189989367
Indicator,EMA_Trend,Bullish,1.0,0.10211502704383446,1,2D,0.10211502704383446
Candlestick,CDL_BULLISH_ENGULFING,Bullish,1.0,0.10141794688953498,2,2D,0.10141794688953498
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,1.0,0.10135042715788367,2,2D,0.10135042715788367
Candlestick,CDL_PIERCING,Bullish,1.0,0.09100470917448722,1,3D,0.09100470917448722
Candlestick,CDL_PIERCING,Bullish,1.0,0.06917414614544515,1,2D,0.06917414614544515
Candlestick,CDL_THREE_INSIDE_UP,Bullish,1.0,0.049965791775828494,2,1D,0.049965791775828494
Candlestick,CDL_BULLISH_ENGULFING,Bullish,1.0,0.04995278457795871,2,1D,0.04995278457795871
Indicator,EMA_Trend,Bullish,1.0,0.04980665376187954,1,1D,0.04980665376187954
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,1.0,0.049016615218466564,2,1D,0.049016615218466564
Candlestick,CDL_PIERCING,Bullish,1.0,0.04629138086119666,1,1D,0.04629138086119666
Candlestick,CDL_HARAMI,Bullish,0.8,0.05709089847334714,5,3D,0.045672718778677714
Candlestick,CDL_HARAMI,Bullish,0.8,0.04011500851341885,5,2D,0.03209200681073508
Candlestick,CDL_HARAMI,Bullish,0.8,0.021753512019339838,5,1D,0.01740280961547187
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.7142857142857143,0.006504309625904885,7,3D,0.004645935447074918
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5714285714285714,0.007571055355993879,7,2D,0.004326317346282216
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.42857142857142855,0.004712707621714877,7,1D,0.0020197318378778043
Candlestick,CDL_HAMMER,Bullish,0.0,-0.002487619077623515,1,1D,-0.0
Indicator,RSI_State,Overbought,0.0,0.025396315234910854,9,1D,0.0
Indicator,RSI_State,Oversold,0.0,-0.008760149693750434,77,1D,-0.0
Candlestick,CDL_HARAMI_CROSS,Bullish,0.0,-0.013397436187956413,1,1D,-0.0
Indicator,RSI_State,Overbought,0.0,0.08019347160278731,9,3D,0.0
Indicator,CMF_State,Negative,0.0,-0.01292857151415473,190,3D,-0.0
Indicator,RSI_State,Oversold,0.0,-0.021638529086423785,77,3D,-0.0
Candlestick,CDL_HARAMI_CROSS,Bullish,0.0,-0.031091999482759425,1,3D,-0.0
Indicator,RSI_State,Oversold,0.0,-0.016540312628530323,77,2D,-0.0
Candlestick,CDL_HAMMER,Bullish,0.0,-0.036069670035335344,1,3D,-0.0
Indicator,CMF_State,Negative,0.0,-0.009647731395702578,190,2D,-0.0
Candlestick,CDL_HARAMI_CROSS,Bullish,0.0,-0.031091999482759425,1,2D,-0.0
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.0,0.004843926423974909,2,1D,0.0
Indicator,CMF_State,Negative,0.0,-0.005404141565792229,190,1D,-0.0
Candlestick,CDL_HAMMER,Bullish,0.0,-0.022388097233784654,1,2D,-0.0
Indicator,RSI_State,Overbought,0.0,0.05088475672582523,9,2D,0.0
Indicator,MACD_Trend,Bullish,0.2857142857142857,-0.00032699304343358955,91,3D,-9.342658383816844e-05
Indicator,MACD_Trend,Bullish,0.2857142857142857,-0.0006689296827100985,91,2D,-0.00019112276648859956
Indicator,MACD_Trend,Bullish,0.32967032967032966,-0.0009023780440315481,91,1D,-0.0002974872672631477
Candlestick,CDL_HARAMI,Bearish,0.5,-0.0009530365407811603,2,3D,-0.00047651827039058015
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.05263157894736842,-0.030970610791300212,19,3D,-0.0016300321469105373
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.15789473684210525,-0.011743512279536798,19,1D,-0.0018542387809794942
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.10526315789473684,-0.024575837218583925,19,2D,-0.00258693023353515
Indicator,EMA_Trend,Bearish,0.656084656084656,-0.005696262175991551,189,1D,-0.003737230210703451
Indicator,MACD_Trend,Bearish,0.6464646464646465,-0.009542126217107604,99,1D,-0.006168647251463502
