SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.7,0.05695490263473196,10,3D,0.03986843184431237
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6,0.04530769854880719,10,2D,0.027184619129284313
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.9,0.025276208890314754,10,1D,0.02274858800128328
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.6052631578947368,0.03085350792024343,38,3D,0.01867449163593681
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5789473684210527,0.027364998316092907,38,2D,0.015842893761948525
Candlestick,CDL_PIERCING,Bullish,0.5,0.012541205653246235,4,3D,0.006270602826623117
Candlestick,CDL_HARAMI_CROSS,Bullish,0.47619047619047616,0.012801848721948386,21,3D,0.00609611843902304
Indicator,EMA_Trend,Bearish,0.4738878143133462,0.012231621661685448,517,3D,0.005796416454763896
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5263157894736842,0.011005713719934876,38,1D,0.0057924809052288815
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.2,0.023046072987159792,5,3D,0.0046092145974319584
Candlestick,CDL_PIERCING,Bullish,0.5,0.00899552102859133,4,2D,0.004497760514295665
Candlestick,CDL_PIERCING,Bullish,0.5,0.008592355938990659,4,1D,0.0042961779694953295
Indicator,EMA_Trend,Bearish,0.45454545454545453,0.007752306125210371,517,2D,0.0035237755114592593
Indicator,MACD_Trend,Bullish,0.42752293577981654,0.005764003506127673,545,3D,0.0024642437007848586
Indicator,MACD_Trend,Bearish,0.5072697899838449,0.004830252282564304,619,3D,0.0024502410609453817
Candlestick,CDL_HARAMI,Bullish,0.391304347826087,0.005337063618923305,69,3D,0.0020884161987091195
Indicator,MACD_Trend,Bullish,0.44587155963302755,0.00462020403355271,545,2D,0.0020600175782629518
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.2,0.010055700151522374,5,2D,0.002011140030304475
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.4,0.004814690310014247,5,1D,0.001925876124005699
Indicator,EMA_Trend,Bearish,0.47775628626692457,0.003615947221431053,517,1D,0.0017275415158481047
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6666666666666666,0.0024421250535233696,3,1D,0.0016280833690155796
Indicator,MACD_Trend,Bullish,0.47889908256880737,0.002611411460913407,545,1D,0.0012506025528410995
Indicator,MACD_Trend,Bearish,0.5105008077544426,0.00215769314015949,619,2D,0.0011015040909376395
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.56,0.0014948862156624024,75,3D,0.0008371362807709454
Indicator,MACD_Trend,Bearish,0.5040387722132472,0.0004817006432425069,619,1D,0.00024279580079428458
Candlestick,CDL_HARAMI_CROSS,Bullish,0.42857142857142855,0.0005105134046565075,21,1D,0.0002187914591385032
Candlestick,CDL_MORNING_STAR,Bullish,0.0,-0.05588910419365645,1,1D,-0.0
Indicator,RSI_State,Oversold,0.0,0.021694031158209972,40,3D,0.0
Indicator,CMF_State,Positive,0.0,0.0028751272538219182,270,3D,0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,-0.05635100853813857,1,3D,-0.0
Indicator,RSI_State,Overbought,0.0,0.014940791236910023,117,3D,0.0
Indicator,CMF_State,Negative,0.0,0.005989959412992133,894,3D,0.0
Indicator,RSI_State,Overbought,0.0,0.00990479573174427,117,1D,0.0
Indicator,CMF_State,Positive,0.0,0.0018516957455935582,270,1D,0.0
Indicator,CMF_State,Positive,0.0,0.0022035277379224305,270,2D,0.0
Indicator,RSI_State,Oversold,0.0,0.008976769267360348,40,2D,0.0
Indicator,RSI_State,Overbought,0.0,0.011837362672447147,117,2D,0.0
Indicator,RSI_State,Oversold,0.0,-0.002015847230809914,40,1D,-0.0
Candlestick,CDL_MORNING_STAR,Bullish,0.0,-0.019399541972022538,1,2D,-0.0
Indicator,CMF_State,Negative,0.0,0.003645045595979748,894,2D,0.0
Indicator,CMF_State,Negative,0.0,0.0013662573747814965,894,1D,0.0
Indicator,EMA_Trend,Bullish,0.40494590417310666,-0.00023851470585596794,647,2D,-9.658555322142751e-05
Indicator,EMA_Trend,Bullish,0.4482225656877898,-0.000228829627689236,647,1D,-0.00010256660282825107
Indicator,EMA_Trend,Bullish,0.4080370942812983,-0.00029743481506103566,647,3D,-0.00012136443767560034
Candlestick,CDL_HARAMI,Bullish,0.4057971014492754,-0.0005564946007678421,69,1D,-0.00022582389596376203
Candlestick,CDL_HARAMI,Bullish,0.34782608695652173,-0.0008319778312195995,69,2D,-0.00028938359346768677
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.4,-0.0028207201445308526,5,2D,-0.0011282880578123411
Candlestick,CDL_THREE_INSIDE_UP,Bearish,1.0,-0.0011494516208133687,1,1D,-0.0011494516208133687
Candlestick,CDL_HAMMER,Bullish,0.3333333333333333,-0.0038227210382648707,18,1D,-0.0012742403460882902
Candlestick,CDL_HAMMER,Bullish,0.3333333333333333,-0.005551713499110174,18,2D,-0.001850571166370058
Candlestick,CDL_HARAMI_CROSS,Bullish,0.38095238095238093,-0.0052621423300347366,21,2D,-0.0020046256495370425
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.2,-0.010319904357140187,5,3D,-0.0020639808714280374
Candlestick,CDL_HAMMER,Bullish,0.3888888888888889,-0.007950966659709933,18,3D,-0.003092042589887196
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.2553191489361702,-0.014095237899711363,47,1D,-0.003598784144607156
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.2765957446808511,-0.013560161122784176,47,2D,-0.003750682863748815
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5866666666666667,-0.0065744924286821665,75,2D,-0.0038570355581602042
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5466666666666666,-0.00711561289323529,75,1D,-0.0038898683816352914
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5925925925925926,-0.007136701046604005,27,3D,-0.004229156175765336
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3617021276595745,-0.015228120289491803,47,3D,-0.005508043508965121
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5925925925925926,-0.01243094329650616,27,2D,-0.007366484916448094
Candlestick,CDL_HARAMI,Bearish,0.7142857142857143,-0.01195969346229848,14,1D,-0.008542638187356058
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.8,-0.011374670938019138,5,1D,-0.00909973675041531
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.7037037037037037,-0.012989052888018158,27,1D,-0.009140444624901668
Candlestick,CDL_EVENING_STAR,Bearish,0.6666666666666666,-0.021269604812102754,3,1D,-0.014179736541401835
Candlestick,CDL_HARAMI,Bearish,0.7857142857142857,-0.0185902698969129,14,2D,-0.014606640633288709
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6666666666666666,-0.021955901151907486,3,3D,-0.01463726743460499
Candlestick,CDL_THREE_INSIDE_UP,Bearish,1.0,-0.020689581085941322,1,3D,-0.020689581085941322
Candlestick,CDL_SHOOTING_STAR,Bearish,1.0,-0.024601390012142715,3,1D,-0.024601390012142715
Candlestick,CDL_SHOOTING_STAR,Bearish,1.0,-0.02571518269864459,3,2D,-0.02571518269864459
Candlestick,CDL_HARAMI,Bearish,0.7857142857142857,-0.03435782559189223,14,3D,-0.02699543439362961
Candlestick,CDL_HARAMI_CROSS,Bearish,1.0,-0.027889387819873712,3,2D,-0.027889387819873712
Candlestick,CDL_THREE_INSIDE_UP,Bearish,1.0,-0.03448278130022209,1,2D,-0.03448278130022209
Candlestick,CDL_EVENING_STAR,Bearish,1.0,-0.04272565335452475,3,2D,-0.04272565335452475
Candlestick,CDL_SHOOTING_STAR,Bearish,1.0,-0.04963243970048914,3,3D,-0.04963243970048914
Candlestick,CDL_EVENING_STAR,Bearish,1.0,-0.05760083109341193,3,3D,-0.05760083109341193
