SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_MORNING_STAR,Bullish,0.25,0.04040702970610893,4,3D,0.010101757426527233
Candlestick,CDL_MORNING_STAR,Bullish,0.25,0.03006187456954998,4,2D,0.007515468642387495
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.4444444444444444,0.011932003487881091,27,3D,0.005303112661280485
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5,0.010536032983237584,14,3D,0.005268016491618792
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.010208627763762523,2,2D,0.005104313881881262
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,0.008533021976986244,2,3D,0.004266510988493122
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5,0.0073165925161539636,14,1D,0.0036582962580769818
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.2962962962962963,0.011511267674143812,27,2D,0.0034107459775240922
Candlestick,CDL_HARAMI,Bullish,0.525,0.006279777964366856,40,1D,0.0032968834312925993
Candlestick,CDL_SHOOTING_STAR,Bearish,0.26666666666666666,0.012179266411816703,15,3D,0.0032478043764844543
Candlestick,CDL_HARAMI_CROSS,Bullish,0.42857142857142855,0.006593459245555203,14,2D,0.0028257682480950868
Indicator,EMA_Trend,Bullish,0.4562334217506631,0.006160725137637628,377,3D,0.00281072871000974
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.004646191411113887,2,3D,0.0023230957055569434
Indicator,EMA_Trend,Bullish,0.4907161803713528,0.004231620107487931,377,2D,0.0020765244559290907
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6,0.0033886086161286633,5,1D,0.002033165169677198
Candlestick,CDL_SHOOTING_STAR,Bearish,0.4,0.0039442403737314,15,2D,0.00157769614949256
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4745762711864407,0.0032343146784237576,59,3D,0.0015349289999299189
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3684210526315789,0.003915979979832244,19,1D,0.0014427294662539844
Indicator,MACD_Trend,Bearish,0.5297297297297298,0.002456593394749244,370,3D,0.0013013305550563564
Indicator,EMA_Trend,Bullish,0.4986737400530504,0.002317573325287284,377,1D,0.0011557129579681945
Candlestick,CDL_MORNING_STAR,Bullish,0.25,0.004373437215900555,4,1D,0.0010933593039751388
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.0021265476230819536,2,2D,0.0010632738115409768
Indicator,CMF_State,Negative,0.5180505415162455,0.001912709701593595,554,3D,0.0009908802966739382
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.4074074074074074,0.002275578488360155,27,1D,0.0009270875322948779
Indicator,MACD_Trend,Bearish,0.5108108108108108,0.0015989969561201974,370,2D,0.0008167849316397765
Candlestick,CDL_SHOOTING_STAR,Bearish,0.4,0.0018100997361211327,15,1D,0.0007240398944484531
Candlestick,CDL_HARAMI,Bullish,0.575,0.0011105325928050026,40,3D,0.0006385562408628764
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.42105263157894735,0.0012414985348915802,19,2D,0.0005227362252175074
Indicator,CMF_State,Negative,0.5108303249097473,0.000994257150128005,554,2D,0.0005078967030437282
Indicator,CMF_State,Positive,0.49696969696969695,0.0010209727107838814,165,2D,0.0005073924986925955
Indicator,MACD_Trend,Bearish,0.5351351351351351,0.0009013349374887879,370,1D,0.00048233599357508107
Indicator,RSI_State,Overbought,0.4264705882352941,0.001088435257481809,68,3D,0.00046418562451430094
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4406779661016949,0.0008040236665276836,59,2D,0.000354315514063047
Indicator,MACD_Trend,Bullish,0.4871060171919771,0.0006218708771391771,349,3D,0.0003029170461709459
Indicator,CMF_State,Negative,0.5342960288808665,0.0005280841854958344,554,1D,0.0002821532832252112
Indicator,CMF_State,Positive,0.47878787878787876,0.0004020079848238883,165,3D,0.00019247655030961924
