SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5,0.04401175960044523,2,3D,0.022005879800222616
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5,0.026412747979118245,2,2D,0.013206373989559123
Candlestick,CDL_HARAMI,Bullish,0.2,0.030469910174717386,5,1D,0.006093982034943477
Candlestick,CDL_HARAMI,Bullish,0.4,0.014167912259019588,5,3D,0.005667164903607836
Candlestick,CDL_HARAMI,Bullish,0.4,0.012344167785894866,5,2D,0.0049376671143579465
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5,0.009340772002382631,14,3D,0.004670386001191316
Candlestick,CDL_HARAMI,Bearish,0.5,0.003744123747392747,2,3D,0.0018720618736963734
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.6428571428571429,0.00186355744302721,14,2D,0.0011980012133746352
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5714285714285714,0.0005950354266187063,14,1D,0.0003400202437821179
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.03866591470331904,1,3D,0.0
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.06388838767550098,1,2D,0.0
Candlestick,CDL_HARAMI_CROSS,Bullish,0.0,0.046073359047109075,2,1D,0.0
Candlestick,CDL_THREE_BLACK_CROWS,Bearish,0.0,0.011202868109280839,1,1D,0.0
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.0,0.0014820915729787387,1,1D,0.0
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.375,-8.753059015932652e-05,8,3D,-3.282397130974744e-05
Indicator,CMF_State,Negative,0.5238095238095238,-0.00134857791892077,126,1D,-0.0007063979575299272
Indicator,EMA_Trend,Bearish,0.5434782608695652,-0.0022223674354134885,138,1D,-0.0012078083888116785
Indicator,RSI_State,Oversold,0.5897435897435898,-0.002156213060096208,39,1D,-0.0012716128303131484
Indicator,MACD_Trend,Bearish,0.515625,-0.002771262506652574,64,1D,-0.0014289322299927336
Indicator,MACD_Trend,Bullish,0.5813953488372093,-0.0025697656153000643,86,1D,-0.0014940497763372468
Indicator,MACD_Trend,Bearish,0.5625,-0.003004714857096611,64,2D,-0.0016901521071168437
Indicator,MACD_Trend,Bearish,0.5625,-0.003319907530675832,64,3D,-0.0018674479860051555
Indicator,CMF_State,Negative,0.5714285714285714,-0.0038166495020251594,126,2D,-0.002180942572585805
Indicator,EMA_Trend,Bearish,0.5942028985507246,-0.004614901108442567,138,2D,-0.002742187615161525
Indicator,RSI_State,Oversold,0.6153846153846154,-0.004899405770431373,39,2D,-0.003015018935650076
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5,-0.006647416782043045,8,2D,-0.0033237083910215223
Candlestick,CDL_EVENING_STAR,Bearish,0.5,-0.0073357569176917825,2,2D,-0.0036678784588458913
Indicator,CMF_State,Negative,0.5873015873015873,-0.0063662791370571615,126,3D,-0.0037389258423986505
Indicator,EMA_Trend,Bearish,0.5942028985507246,-0.006772273234407712,138,3D,-0.004024104385662553
Indicator,MACD_Trend,Bullish,0.627906976744186,-0.006895546348350366,86,2D,-0.00432976166059209
Indicator,RSI_State,Oversold,0.5641025641025641,-0.007675714679246534,39,3D,-0.0043298903318826605
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.75,-0.006167581662673144,8,1D,-0.004625686247004858
Candlestick,CDL_HARAMI,Bearish,0.5,-0.009735269547333059,2,1D,-0.004867634773666529
Indicator,EMA_Trend,Bullish,0.6666666666666666,-0.007639494771209075,12,1D,-0.005092996514139383
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.6666666666666666,-0.009404452506400615,6,1D,-0.006269635004267076
Indicator,CMF_State,Positive,0.7083333333333334,-0.009518326064898053,24,1D,-0.006742147629302787
Indicator,MACD_Trend,Bullish,0.6395348837209303,-0.010662120522871701,86,3D,-0.006818798008813297
Candlestick,CDL_EVENING_STAR,Bearish,0.5,-0.013675405705811106,2,1D,-0.006837702852905553
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.6666666666666666,-0.010280827349088398,6,2D,-0.006853884899392265
Indicator,EMA_Trend,Bullish,0.6666666666666666,-0.012371865320603359,12,2D,-0.008247910213735572
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.6666666666666666,-0.012615465539619156,6,3D,-0.008410310359746103
Indicator,CMF_State,Positive,0.75,-0.012684204148214353,24,2D,-0.009513153111160765
Indicator,CMF_State,Positive,0.7083333333333334,-0.013636053152542385,24,3D,-0.009658870983050856
Candlestick,CDL_SHOOTING_STAR,Bearish,0.8,-0.014500303825329585,5,1D,-0.011600243060263669
Indicator,EMA_Trend,Bullish,0.75,-0.01623689504849628,12,3D,-0.012177671286372212
Candlestick,CDL_SHOOTING_STAR,Bearish,0.6,-0.025123105763961484,5,2D,-0.01507386345837689
Candlestick,CDL_SHOOTING_STAR,Bearish,0.8,-0.021296062408636927,5,3D,-0.017036849926909542
Candlestick,CDL_THREE_INSIDE,Bullish,1.0,-0.018827780659029902,2,1D,-0.018827780659029902
Candlestick,CDL_THREE_OUTSIDE,Bullish,1.0,-0.02431369373180281,1,2D,-0.02431369373180281
Candlestick,CDL_HARAMI,Bearish,1.0,-0.030513996813602007,2,2D,-0.030513996813602007
Candlestick,CDL_THREE_INSIDE,Bullish,1.0,-0.030900799949099278,2,2D,-0.030900799949099278
Candlestick,CDL_THREE_OUTSIDE,Bullish,1.0,-0.0312654725561492,1,3D,-0.0312654725561492
Candlestick,CDL_EVENING_STAR,Bearish,1.0,-0.03137712605323417,2,3D,-0.03137712605323417
Candlestick,CDL_THREE_INSIDE,Bullish,1.0,-0.04524410021714198,2,3D,-0.04524410021714198
