SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.5,0.016578496439335812,14,3D,0.008289248219667906
Candlestick,CDL_SHOOTING_STAR,Bearish,0.47058823529411764,0.01342898117261786,17,3D,0.00631952055182017
Candlestick,CDL_SHOOTING_STAR,Bearish,0.35294117647058826,0.01506050612842943,17,2D,0.005315472751210387
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.008926909462951382,4,1D,0.004463454731475691
Candlestick,CDL_HARAMI_CROSS,Bullish,0.4482758620689655,0.007138236641001527,29,2D,0.0031998991838972364
Candlestick,CDL_SHOOTING_STAR,Bearish,0.4117647058823529,0.007718769980835479,17,1D,0.0031783170509322558
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.42857142857142855,0.006435135244532407,14,2D,0.002757915104799603
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5862068965517241,0.00395128544014408,29,1D,0.002316270775256874
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.425,0.005388628340997082,40,3D,0.0022901670449237597
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.55,0.003906336221944834,40,1D,0.002148484922069659
Candlestick,CDL_HARAMI,Bullish,0.46153846153846156,0.0037584376458268355,78,2D,0.001734663528843155
Candlestick,CDL_PIERCING,Bullish,1.0,0.0017196904557179593,1,3D,0.0017196904557179593
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.5,0.0027911848353645297,4,1D,0.0013955924176822648
Candlestick,CDL_HARAMI,Bullish,0.5128205128205128,0.0026040083551225304,78,1D,0.001335388900062836
Indicator,EMA_Trend,Bullish,0.5041597337770383,0.0025823464807628684,601,3D,0.0013019151142614795
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.35714285714285715,0.0035213249568818677,14,1D,0.0012576160560292386
Indicator,MACD_Trend,Bullish,0.4948453608247423,0.002320653649616357,582,3D,0.0011483646925936613
Candlestick,CDL_HARAMI,Bullish,0.44871794871794873,0.0024806489568357914,78,3D,0.0011131117114006757
Candlestick,CDL_HARAMI_CROSS,Bullish,0.4482758620689655,0.0022398373918988634,29,3D,0.0010040650377477664
Indicator,MACD_Trend,Bearish,0.506872852233677,0.0016068059641736188,582,3D,0.0008144463220467655
Indicator,EMA_Trend,Bullish,0.47088186356073214,0.0016876318054855545,601,2D,0.0007946752095714009
Indicator,MACD_Trend,Bullish,0.4570446735395189,0.0015884459944205816,582,2D,0.0007259907809551112
Indicator,EMA_Trend,Bearish,0.5204262877442274,0.001303359254506717,563,3D,0.0006783024184200143
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.525,0.0012287738972150187,40,1D,0.0006451062960378849
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5357142857142857,0.0010486796748933654,84,2D,0.0005617926829785886
Indicator,MACD_Trend,Bearish,0.5034364261168385,0.0011003084761726963,582,2D,0.0005539353668704468
Indicator,EMA_Trend,Bearish,0.5150976909413855,0.0009779545058409757,563,2D,0.0005037421078044103
Indicator,EMA_Trend,Bullish,0.480865224625624,0.000870638121074113,601,1D,0.0004186595956579346
Indicator,MACD_Trend,Bullish,0.46563573883161513,0.000793032819637959,582,1D,0.00036926442288984
Indicator,MACD_Trend,Bearish,0.506872852233677,0.0005949730786481671,582,1D,0.0003015757013766483
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6,0.00047912019221527655,5,1D,0.0002874721153291659
Indicator,EMA_Trend,Bearish,0.5275310834813499,0.0005054456874546776,563,1D,0.0002666383111439418
