SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.5,0.02394285054935852,6,2D,0.01197142527467926
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.028661665958427673,3,3D,0.009553888652809223
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.16666666666666666,0.049283338993473445,6,3D,0.008213889832245573
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.3333333333333333,0.02410576474464769,3,2D,0.008035254914882562
Candlestick,CDL_THREE_INSIDE,Bullish,0.4,0.019371882710111376,10,1D,0.0077487530840445506
Candlestick,CDL_THREE_INSIDE,Bullish,0.3,0.024462793426482145,10,2D,0.007338838027944643
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.013740912304415459,8,3D,0.0068704561522077295
Candlestick,CDL_MORNING_STAR,Bullish,0.75,0.00796059148688838,4,3D,0.005970443615166285
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.52,0.010983473711257328,25,3D,0.0057114063298538105
Indicator,RSI_State,Oversold,0.125,0.04332942270503344,8,3D,0.00541617783812918
Candlestick,CDL_SHOOTING_STAR,Bearish,0.375,0.014084407028783538,8,2D,0.005281652635793827
Candlestick,CDL_THREE_INSIDE,Bullish,0.5,0.010239789865345184,10,3D,0.005119894932672592
Indicator,RSI_State,Oversold,0.25,0.019673179744391575,8,1D,0.004918294936097894
Candlestick,CDL_HARAMI_CROSS,Bullish,0.5,0.009637796408735314,24,1D,0.004818898204367657
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.009619720340717758,8,3D,0.004809860170358879
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5882352941176471,0.007984661644124395,17,2D,0.004696859790661409
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.3835616438356164,0.011680659610232328,73,2D,0.004480253001185002
Indicator,RSI_State,Oversold,0.125,0.035695410742749914,8,2D,0.004461926342843739
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4383561643835616,0.009699992453088594,73,3D,0.004252051486285411
Candlestick,CDL_HARAMI_CROSS,Bullish,0.3333333333333333,0.012522089176464898,24,3D,0.004174029725488299
Candlestick,CDL_MORNING_STAR,Bullish,0.5,0.006734777462911706,4,2D,0.003367388731455853
Candlestick,CDL_PIERCING,Bullish,0.5,0.006653230578919311,4,1D,0.0033266152894596557
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5882352941176471,0.005242409000838734,17,1D,0.003083770000493373
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.47058823529411764,0.0065510137401810645,17,3D,0.0030828299953793246
Indicator,EMA_Trend,Bearish,0.5070707070707071,0.00568520313483128,495,3D,0.0028827999734194975
Indicator,CMF_State,Negative,0.5248447204968945,0.005481151163982412,644,3D,0.0028767532506615767
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.32,0.008288467168227967,25,1D,0.0026523094938329496
Indicator,MACD_Trend,Bearish,0.5358306188925082,0.004579706274809672,614,3D,0.0024539468475771693
Candlestick,CDL_HARAMI,Bullish,0.4406779661016949,0.005396579370973039,59,3D,0.002378153621106763
