SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_THREE_INSIDE,Bullish,0.2857142857142857,0.043794765722977406,7,3D,0.012512790206564973
Candlestick,CDL_HARAMI,Bearish,0.4482758620689655,0.019517584753339298,29,3D,0.008749262130807272
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5625,0.013955771793182747,16,2D,0.007850121633665295
Indicator,RSI_State,Oversold,0.41025641025641024,0.018801177726100557,39,3D,0.0077133036825027925
Candlestick,CDL_HARAMI_CROSS,Bearish,0.4166666666666667,0.015720053142715313,12,3D,0.006550022142798048
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5606060606060606,0.01140445497662976,66,3D,0.006393406577807592
Candlestick,CDL_THREE_INSIDE,Bullish,0.42857142857142855,0.014874412050400567,7,2D,0.006374748021600243
Candlestick,CDL_HARAMI,Bearish,0.6206896551724138,0.009460015908977833,29,2D,0.005871734012469
Indicator,RSI_State,Oversold,0.46153846153846156,0.011896818699563244,39,2D,0.005490839399798421
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5,0.010948103758486954,16,3D,0.005474051879243477
Indicator,CMF_State,Negative,0.4925925925925926,0.011107612534252995,540,3D,0.005471527655761661
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.4642857142857143,0.011751011640104031,28,2D,0.005455826832905443
Candlestick,CDL_HAMMER,Bullish,0.5454545454545454,0.0099402918254803,22,2D,0.005421977359352891
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.009878430834103544,8,3D,0.004939215417051772
Candlestick,CDL_THREE_INSIDE,Bullish,0.42857142857142855,0.011346422711659008,7,1D,0.004862752590711003
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5909090909090909,0.00819641916593519,66,2D,0.004843338598052613
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5,0.008784741675510516,38,2D,0.004392370837755258
Indicator,RSI_State,Overbought,0.475,0.008441501173623597,120,3D,0.004009713057471208
Indicator,MACD_Trend,Bearish,0.4861111111111111,0.008211253535402951,648,3D,0.003991581579709768
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5,0.007813713543358726,38,3D,0.003906856771679363
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5,0.007637336687466427,28,3D,0.0038186683437332137
Indicator,CMF_State,Negative,0.48703703703703705,0.007821062118730758,540,2D,0.00380914692078924
Candlestick,CDL_HAMMER,Bullish,0.5,0.007368811285955351,22,3D,0.0036844056429776754
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.2,0.01620307266791967,5,1D,0.003240614533583934
Indicator,EMA_Trend,Bearish,0.5195071868583162,0.00622576861085254,487,3D,0.0032343315370548104
Indicator,EMA_Trend,Bullish,0.518463810930576,0.005432373319157608,677,3D,0.002816488973448036
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,0.0056266406967493575,20,3D,0.0028133203483746787
Candlestick,CDL_HARAMI,Bullish,0.4393939393939394,0.006064303507900811,66,3D,0.002664618208017023
Indicator,MACD_Trend,Bearish,0.49382716049382713,0.005377366362282998,648,2D,0.002655489561621233
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.42857142857142855,0.0061123846830937545,28,1D,0.0026195934356116088
Candlestick,CDL_HAMMER,Bullish,0.45454545454545453,0.005322933952591677,22,1D,0.0024195154329962167
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.47368421052631576,0.005068097458015549,38,1D,0.002400677743270523
Indicator,RSI_State,Oversold,0.358974358974359,0.006181385746522352,39,1D,0.0022189589859311007
Indicator,EMA_Trend,Bearish,0.5338809034907598,0.004060846349816865,487,2D,0.0021680083181773815
Indicator,RSI_State,Overbought,0.45,0.004752065343391414,120,2D,0.0021384294045261364
Indicator,CMF_State,Negative,0.4925925925925926,0.004147433018628961,540,1D,0.0020429947832505623
Indicator,EMA_Trend,Bullish,0.5214180206794683,0.0036609792685364973,677,2D,0.0019089005639488681
Indicator,MACD_Trend,Bullish,0.560077519379845,0.002691422014755381,516,3D,0.0015074049656284983
Indicator,MACD_Trend,Bearish,0.5,0.0024493989618374593,648,1D,0.0012246994809187296
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,0.0024324705363175493,20,1D,0.0012162352681587747
Indicator,EMA_Trend,Bearish,0.5215605749486653,0.0020702439458987185,487,1D,0.0010797576227069292
Indicator,MACD_Trend,Bullish,0.5678294573643411,0.0018829103379857342,516,2D,0.0010691719554841476
Indicator,RSI_State,Overbought,0.44166666666666665,0.002233375874035745,120,1D,0.0009864076776991207
Candlestick,CDL_SHOOTING_STAR,Bearish,0.625,0.0015614570775551728,8,1D,0.000975910673471983
Candlestick,CDL_SHOOTING_STAR,Bearish,0.375,0.0025697251864885,8,2D,0.0009636469449331875
Indicator,EMA_Trend,Bullish,0.51698670605613,0.0018283662841095472,677,1D,0.0009452410626858811
Indicator,MACD_Trend,Bullish,0.5426356589147286,0.0012767485440390804,516,1D,0.0006928092874630668
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.4375,0.0014762475229904634,16,1D,0.0006458582913083277
Candlestick,CDL_HARAMI_CROSS,Bullish,0.35,0.0018184776630058852,20,3D,0.0006364671820520598
Indicator,CMF_State,Positive,0.5416666666666666,0.0011403129520164586,624,3D,0.0006176695156755817
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5,0.000633609015846344,66,1D,0.000316804507923172
Indicator,CMF_State,Positive,0.5608974358974359,0.00037298332218816055,624,2D,0.00020920538904784647
Candlestick,CDL_HARAMI,Bullish,0.5606060606060606,0.0002673920575756742,66,1D,0.00014990160803484762
Indicator,CMF_State,Positive,0.5416666666666666,1.0254721050000473e-05,624,1D,5.554640568750256e-06
Candlestick,CDL_EVENING_STAR,Bearish,0.0,0.10718958341304319,2,3D,0.0
Candlestick,CDL_EVENING_STAR,Bearish,0.0,0.05794494812185769,2,2D,0.0
Candlestick,CDL_EVENING_STAR,Bearish,0.0,0.028268805602933544,2,1D,0.0
Candlestick,CDL_HARAMI,Bearish,0.4827586206896552,-0.0001848325535718576,29,1D,-8.922950862089678e-05
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.6,-0.00018333653661314897,20,2D,-0.00011000192196788938
Candlestick,CDL_HARAMI,Bullish,0.48484848484848486,-0.0011056309268468389,66,2D,-0.0005360634796833159
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,-0.005054441297906609,12,1D,-0.0025272206489533044
Candlestick,CDL_HARAMI_CROSS,Bullish,0.6,-0.005280145727261936,20,1D,-0.0031680874363571618
Candlestick,CDL_MORNING_STAR,Bullish,0.6,-0.006410709383848223,5,2D,-0.0038464256303089336
Candlestick,CDL_HARAMI_CROSS,Bearish,0.6666666666666666,-0.00593519248924701,12,2D,-0.003956794992831339
Candlestick,CDL_HARAMI_CROSS,Bullish,0.55,-0.00837105853962133,20,2D,-0.004604082196791731
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.8,-0.006176649104209364,5,2D,-0.004941319283367492
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,-0.01098734759577713,4,2D,-0.005493673797888565
Candlestick,CDL_PIERCING,Bullish,0.6666666666666666,-0.009861470308555368,3,1D,-0.0065743135390369115
Candlestick,CDL_THREE_INSIDE,Bearish,0.5,-0.013921010698594055,4,1D,-0.006960505349297028
Candlestick,CDL_PIERCING,Bullish,0.6666666666666666,-0.010494851651878875,3,2D,-0.0069965677679192494
Candlestick,CDL_PIERCING,Bullish,0.6666666666666666,-0.014300692851274813,3,3D,-0.009533795234183209
Candlestick,CDL_MORNING_STAR,Bullish,0.8,-0.012016035379960854,5,1D,-0.009612828303968684
Candlestick,CDL_MORNING_STAR,Bullish,0.8,-0.013985836502684678,5,3D,-0.011188669202147743
Candlestick,CDL_DARKCLOUDCOVER,Bearish,1.0,-0.01584732487927689,5,3D,-0.01584732487927689
Candlestick,CDL_THREE_INSIDE,Bearish,0.75,-0.02403761150331632,4,3D,-0.01802820862748724
Candlestick,CDL_ADVANCE_BLOCK,Bearish,1.0,-0.0414049470248104,4,1D,-0.0414049470248104
Candlestick,CDL_ADVANCE_BLOCK,Bearish,1.0,-0.050916575131683406,4,3D,-0.050916575131683406
Candlestick,CDL_ADVANCE_BLOCK,Bearish,1.0,-0.05619009827275462,4,2D,-0.05619009827275462
