SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,0.018402873512408408,4,3D,0.009201436756204204
Candlestick,CDL_HAMMER,Bullish,0.3333333333333333,0.01677476290685509,3,1D,0.005591587635618363
Indicator,RSI_State,Oversold,0.3076923076923077,0.01689886956683231,13,2D,0.005199652174409942
Indicator,RSI_State,Oversold,0.3076923076923077,0.011359963831647911,13,3D,0.003495373486660896
Indicator,MACD_Trend,Bearish,0.42452830188679247,0.0079857075052664,212,3D,0.0033901588465753583
Indicator,RSI_State,Oversold,0.23076923076923078,0.013120935519086014,13,1D,0.003027908196712157
Indicator,MACD_Trend,Bearish,0.47641509433962265,0.005552500609062241,212,2D,0.0026452951014871995
Candlestick,CDL_THREE_INSIDE,Bullish,0.6,0.003964794862992682,5,1D,0.0023788769177956093
Candlestick,CDL_HARAMI_CROSS,Bullish,0.625,0.003272968526186762,8,1D,0.002045605328866726
Candlestick,CDL_SHOOTING_STAR,Bearish,0.25,0.006646595550093531,4,1D,0.0016616488875233829
Candlestick,CDL_HARAMI,Bullish,0.5666666666666667,0.002753791393740157,30,1D,0.001560481789786089
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.45454545454545453,0.002678615017485483,11,1D,0.0012175522806752196
Indicator,MACD_Trend,Bearish,0.4811320754716981,0.0018093557113668909,212,1D,0.0008705390686765229
Candlestick,CDL_HARAMI,Bullish,0.5333333333333333,0.001427242327794039,30,2D,0.0007611959081568209
Indicator,CMF_State,Negative,0.5127388535031847,0.0009378606484883701,314,2D,0.0004808775936516802
Indicator,CMF_State,Negative,0.4968152866242038,0.0009622043962170137,314,3D,0.0004780378528976246
Indicator,CMF_State,Negative,0.5031847133757962,0.0003103850049292711,314,1D,0.00015618098974148038
Candlestick,CDL_HAMMER,Bullish,0.0,0.02240799381373315,3,2D,0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.06913832377869666,1,3D,0.0
Candlestick,CDL_SHOOTING_STAR,Bearish,0.0,0.020118185777643682,4,2D,0.0
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.0,0.016028933464897088,4,2D,0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.00971513048511885,1,1D,0.0
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.0,0.028177765791341902,2,2D,0.0
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.0,0.009021338620529673,2,1D,0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.03554937658265733,1,2D,0.0
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.0,0.018394956397607687,4,1D,0.0
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.0,0.06446072603308717,2,3D,0.0
Candlestick,CDL_HAMMER,Bullish,0.0,0.03603194800152624,3,3D,0.0
Candlestick,CDL_SHOOTING_STAR,Bearish,0.0,0.024342736957892575,4,3D,0.0
Indicator,EMA_Trend,Bearish,0.5110410094637224,-0.0006825299825820511,317,1D,-0.00034880081128798825
Candlestick,CDL_THREE_INSIDE,Bullish,0.4,-0.0012516091181852484,5,3D,-0.0005006436472740994
Indicator,EMA_Trend,Bearish,0.526813880126183,-0.0010378327563598524,317,2D,-0.0005467447012999854
Candlestick,CDL_EVENING_STAR,Bearish,0.5,-0.0013148741011259624,2,3D,-0.0006574370505629812
Indicator,EMA_Trend,Bearish,0.5173501577287066,-0.0015891287466547794,317,3D,-0.000822136007733072
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.36363636363636365,-0.002280387121589905,11,2D,-0.0008292316805781473
Candlestick,CDL_HARAMI,Bullish,0.5333333333333333,-0.002375964774141944,30,3D,-0.0012671812128757034
Indicator,EMA_Trend,Bullish,0.5517241379310345,-0.002794649170731241,58,1D,-0.0015418754045413742
Indicator,RSI_State,Overbought,0.5,-0.00403560227622983,8,1D,-0.002017801138114915
Candlestick,CDL_THREE_INSIDE,Bullish,0.4,-0.0053641263947791454,5,2D,-0.002145650557911658
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.45454545454545453,-0.004759480564357457,11,3D,-0.002163400256526117
Candlestick,CDL_HARAMI_CROSS,Bearish,0.3333333333333333,-0.00789750079831523,3,1D,-0.0026325002661050766
Indicator,MACD_Trend,Bullish,0.5644171779141104,-0.004675061761906153,163,1D,-0.0026386851662292396
Indicator,EMA_Trend,Bullish,0.6206896551724138,-0.005112558841668805,58,2D,-0.003173312384484086
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.5833333333333334,-0.006235332165356687,24,1D,-0.0036372770964580676
Indicator,RSI_State,Overbought,0.75,-0.005296452001676888,8,2D,-0.003972339001257666
