SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_PIERCING,Bullish,1.0,0.04471348545036302,1,3D,0.04471348545036302
Candlestick,CDL_PIERCING,Bullish,1.0,0.038175974969182125,1,2D,0.038175974969182125
Candlestick,CDL_MORNING_STAR,Bullish,1.0,0.013188703502337362,2,3D,0.013188703502337362
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.5,0.022772358955407322,16,2D,0.011386179477703661
Candlestick,CDL_HAMMER,Bullish,0.5454545454545454,0.0166138436276862,11,3D,0.009062096524192473
Candlestick,CDL_MORNING_STAR,Bullish,1.0,0.00899028262572421,2,1D,0.00899028262572421
Indicator,MACD_Trend,Bullish,0.5738255033557047,0.013275967084407345,298,3D,0.007618088494743812
Indicator,EMA_Trend,Bullish,0.5721925133689839,0.012794701372447256,374,3D,0.007321032336106184
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.375,0.018741316237283735,16,3D,0.007027993588981401
Candlestick,CDL_HAMMER,Bullish,0.5454545454545454,0.011390132214895115,11,2D,0.00621279938994279
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4482758620689655,0.011915882754688968,29,3D,0.005341602614170917
Indicator,MACD_Trend,Bullish,0.587248322147651,0.0090532417840994,298,2D,0.005316501047709379
Candlestick,CDL_SHOOTING_STAR,Bearish,0.3333333333333333,0.015907772293886218,6,3D,0.005302590764628739
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.010166035195735446,2,3D,0.005083017597867723
Indicator,EMA_Trend,Bullish,0.5802139037433155,0.008660304073142396,374,2D,0.005024828833882085
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.009948486114608504,6,2D,0.004974243057304252
Candlestick,CDL_MORNING_STAR,Bullish,1.0,0.004922972554433969,2,2D,0.004922972554433969
Candlestick,CDL_HAMMER,Bullish,0.6363636363636364,0.006871714694314982,11,1D,0.004372909350927716
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.008665513858466534,2,1D,0.004332756929233267
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.00735319939924628,6,1D,0.00367659969962314
Candlestick,CDL_THREE_OUTSIDE_UP,Bearish,0.375,0.009349553571559026,16,1D,0.0035060825893346347
Candlestick,CDL_HARAMI,Bearish,0.3333333333333333,0.008653482059330994,3,3D,0.0028844940197769978
Candlestick,CDL_HARAMI,Bearish,0.3333333333333333,0.00815271062194752,3,2D,0.0027175702073158397
Indicator,MACD_Trend,Bullish,0.5302013422818792,0.005023458535513262,298,1D,0.0026634444584264947
Indicator,EMA_Trend,Bullish,0.5374331550802139,0.004582980553742539,374,1D,0.0024630456986691187
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.3793103448275862,0.004634106163100051,29,2D,0.0017577644066931225
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.0014349071352874887,2,2D,0.0007174535676437443
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5555555555555556,0.0011714861496187365,18,1D,0.0006508256386770758
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3888888888888889,0.0010630366256226635,18,3D,0.0004134031321865914
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.6206896551724138,0.0005540324322992035,29,1D,0.0003438821993581263
Candlestick,CDL_HARAMI,Bullish,0.391304347826087,0.0005678581806783065,23,1D,0.00022220537504803297
Candlestick,CDL_HARAMI,Bearish,0.0,0.004135255820002219,3,1D,0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.004458331703484308,1,1D,0.0
Indicator,CMF_State,Positive,0.0,0.011350582422998067,222,3D,0.0
Candlestick,CDL_HARAMI_CROSS,Bearish,0.0,0.0066006466976293865,1,1D,0.0
Indicator,RSI_State,Oversold,0.0,-0.04356667626000091,55,3D,-0.0
Indicator,RSI_State,Overbought,0.0,0.018732845362806,121,3D,0.0
Indicator,CMF_State,Positive,0.0,0.0033682259956840117,222,1D,0.0
Indicator,CMF_State,Negative,0.0,-4.225338060171582e-05,418,1D,-0.0
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.0,-0.02626141651452152,1,2D,-0.0
Indicator,RSI_State,Oversold,0.0,-0.020936027165035145,55,1D,-0.0
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.0,-0.02640898418065618,1,1D,-0.0
Candlestick,CDL_PIERCING,Bullish,0.0,-0.014769990383514675,1,1D,-0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.00044584167390882,1,2D,0.0
Indicator,RSI_State,Oversold,0.0,-0.03585097220240603,55,2D,-0.0
Indicator,CMF_State,Negative,0.0,-0.00028628727945629505,418,2D,-0.0
Indicator,CMF_State,Negative,0.0,0.00018611069962559812,418,3D,0.0
Candlestick,CDL_THREE_INSIDE_UP,Bullish,0.0,-0.021540264248553043,1,3D,-0.0
Candlestick,CDL_HARAMI_CROSS,Bullish,0.0,-0.021444914745996697,7,3D,-0.0
Indicator,CMF_State,Positive,0.0,0.007683545346404247,222,2D,0.0
Indicator,RSI_State,Overbought,0.0,0.012600892958382588,121,2D,0.0
Indicator,RSI_State,Overbought,0.0,0.007228096637338133,121,1D,0.0
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3333333333333333,-0.0027445348343859205,18,2D,-0.0009148449447953068
Indicator,MACD_Trend,Bearish,0.5321637426900585,-0.002242416332259119,342,1D,-0.0011933326680443267
Candlestick,CDL_HARAMI,Bullish,0.34782608695652173,-0.00355461185779149,23,2D,-0.001236386733144866
Indicator,MACD_Trend,Bearish,0.5380116959064327,-0.003250839378867279,342,2D,-0.001748989607343799
Candlestick,CDL_HARAMI_CROSS,Bullish,0.42857142857142855,-0.004601226534939535,7,1D,-0.0019719542292598005
Indicator,EMA_Trend,Bearish,0.556390977443609,-0.003699061914095399,266,1D,-0.0020581246740079663
Indicator,MACD_Trend,Bearish,0.5321637426900585,-0.003972557370772859,342,3D,-0.0021140509984814634
Candlestick,CDL_HARAMI,Bullish,0.34782608695652173,-0.006490102985954615,23,3D,-0.0022574271255494313
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.2857142857142857,-0.008974191979087982,7,2D,-0.0025640548511679947
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.3333333333333333,-0.008102636095999946,6,1D,-0.0027008786986666483
