SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.5,0.036983453336622396,2,1D,0.018491726668311198
Candlestick,CDL_HARAMI_CROSS,Bearish,0.42857142857142855,0.025753824881536626,7,2D,0.011037353520658554
Candlestick,CDL_HARAMI_CROSS,Bearish,0.42857142857142855,0.02522558601715679,7,3D,0.010810965435924339
Indicator,RSI_State,Oversold,0.25,0.03303166523245496,8,2D,0.00825791630811374
Candlestick,CDL_THREE_INSIDE,Bullish,0.2857142857142857,0.025534051867865504,7,3D,0.007295443390818715
Candlestick,CDL_HARAMI_CROSS,Bearish,0.2857142857142857,0.025501905164370835,7,1D,0.007286258618391666
Candlestick,CDL_MORNING_STAR,Bullish,0.4,0.01749038036257522,5,3D,0.006996152145030088
Indicator,RSI_State,Oversold,0.125,0.041107949044106334,8,3D,0.005138493630513292
Candlestick,CDL_HARAMI,Bearish,0.5333333333333333,0.009238139942655647,15,2D,0.0049270079694163455
Candlestick,CDL_HARAMI,Bearish,0.5333333333333333,0.007050339967128546,15,1D,0.003760181315801891
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.43333333333333335,0.008241978397855594,30,1D,0.003571523972404091
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.3,0.011821773983014856,30,2D,0.0035465321949044565
Indicator,EMA_Trend,Bullish,0.443620178041543,0.0074514417208528605,674,3D,0.003305609902870928
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.36666666666666664,0.008981341990429836,30,3D,0.0032931587298242727
Candlestick,CDL_HARAMI,Bearish,0.5333333333333333,0.00602627374738501,15,3D,0.0032140126652720055
Indicator,MACD_Trend,Bearish,0.4176182707993475,0.007133979013065589,613,3D,0.002979279979355287
Candlestick,CDL_HARAMI_CROSS,Bullish,0.56,0.005170567581712415,25,2D,0.0028955178457589527
Candlestick,CDL_THREE_INSIDE,Bullish,0.5714285714285714,0.004993995391742723,7,1D,0.0028537116524244128
Candlestick,CDL_HARAMI_CROSS,Bullish,0.44,0.006243548647965764,25,3D,0.0027471614051049363
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4942528735632184,0.005484299920798066,87,3D,0.002710630995336975
Candlestick,CDL_HARAMI,Bullish,0.5303030303030303,0.004228596083186495,66,2D,0.002242437316841323
Indicator,EMA_Trend,Bullish,0.4495548961424332,0.004982879211065666,674,2D,0.002240077746220915
Indicator,MACD_Trend,Bearish,0.4290375203915171,0.005189588727489054,613,2D,0.0022265282794936723
Candlestick,CDL_THREE_INSIDE,Bullish,0.2857142857142857,0.007742455204954027,7,2D,0.0022121300585582933
Indicator,RSI_State,Oversold,0.25,0.00867597523401871,8,1D,0.0021689938085046774
Indicator,CMF_State,Negative,0.45652173913043476,0.004726648102290446,874,3D,0.0021578176119152036
Candlestick,CDL_HARAMI,Bullish,0.45454545454545453,0.004325596291759314,66,3D,0.00196618013261787
Indicator,CMF_State,Positive,0.4896551724137931,0.0030950924419053116,290,3D,0.0015155280232777733
Indicator,CMF_State,Positive,0.4827586206896552,0.0030106777034560705,290,2D,0.0014534306154615514
Indicator,CMF_State,Negative,0.4576659038901602,0.002905718318268842,874,2D,0.001329848200580706
Candlestick,CDL_PIERCING,Bullish,0.2,0.0064659415544422675,5,2D,0.0012931883108884537
Candlestick,CDL_HAMMER,Bullish,0.2222222222222222,0.005736669777038671,9,1D,0.0012748155060085934
Indicator,MACD_Trend,Bearish,0.44861337683523655,0.0028195466077289852,613,1D,0.0012648863248376362
Indicator,EMA_Trend,Bullish,0.4896142433234421,0.002435360145734676,674,1D,0.0011923870149739512
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.3333333333333333,0.003494242694568217,3,1D,0.0011647475648560723
Candlestick,CDL_HARAMI,Bullish,0.45454545454545453,0.0024834860063989717,66,1D,0.001128857275635896
Candlestick,CDL_HARAMI_CROSS,Bullish,0.44,0.0024871157527037503,25,1D,0.00109433093118965
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.47126436781609193,0.0022303781981151804,87,2D,0.0010510977715255448
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.43333333333333335,0.0020450690340682366,30,2D,0.0008861965814295692
Candlestick,CDL_MORNING_STAR,Bullish,0.2,0.004206641079316742,5,1D,0.0008413282158633485
Indicator,CMF_State,Negative,0.47368421052631576,0.0016152930231424737,874,1D,0.0007651388004359086
Candlestick,CDL_BULLISH_ENGULFING,Bearish,0.4942528735632184,0.0015423431498841004,87,1D,0.0007623075338507623
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.001358390505569777,6,2D,0.0006791952527848885
Candlestick,CDL_PIERCING,Bullish,0.6,0.0011059220313612617,5,1D,0.000663553218816757
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.3333333333333333,0.0019829616327897703,3,3D,0.0006609872109299234
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5,0.0012912546014597903,18,2D,0.0006456273007298952
Indicator,MACD_Trend,Bullish,0.5172413793103449,0.0011897243458170303,551,3D,0.0006153746616294985
Indicator,CMF_State,Positive,0.5275862068965518,0.0010994618029814649,290,1D,0.000580060882262635
Candlestick,CDL_HAMMER,Bullish,0.2222222222222222,0.001425959522570815,9,2D,0.00031687989390462556
Candlestick,CDL_HAMMER,Bullish,0.4444444444444444,0.0006516500490623257,9,3D,0.0002896222440277003
Indicator,MACD_Trend,Bullish,0.5027223230490018,0.0004201024577467102,551,2D,0.00021119488347702127
Indicator,EMA_Trend,Bearish,0.48367346938775513,0.00018199446299178623,490,1D,8.802589332459865e-05
Indicator,EMA_Trend,Bearish,0.48367346938775513,0.00011068113451218144,490,2D,5.35335283252796e-05
Candlestick,CDL_SHOOTING_STAR,Bearish,0.5555555555555556,8.69784955450586e-05,18,3D,4.832138641392144e-05
Indicator,EMA_Trend,Bearish,0.49387755102040815,1.3052101427677387e-05,490,3D,6.446139888771281e-06
Indicator,MACD_Trend,Bullish,0.52994555353902,4.043474688346762e-06,551,1D,2.142821431936941e-06
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.0,0.08965054538943185,2,2D,0.0
Candlestick,CDL_DARKCLOUDCOVER,Bearish,0.0,0.07230213121092488,2,3D,0.0
Candlestick,CDL_ADVANCE_BLOCK,Bearish,0.0,0.012760677070444482,3,2D,0.0
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.5333333333333333,-0.00017742016263900818,30,3D,-9.462408674080437e-05
Candlestick,CDL_THREE_OUTSIDE,Bearish,0.5,-0.00027184240677619785,30,1D,-0.00013592120338809893
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,-0.0006670952738348848,16,1D,-0.0003335476369174424
Candlestick,CDL_EVENING_STAR,Bearish,0.6666666666666666,-0.0012028638980572566,6,1D,-0.0008019092653715043
Indicator,RSI_State,Overbought,0.569620253164557,-0.0023290663716774157,79,2D,-0.0013266833762719458
Candlestick,CDL_EVENING_STAR,Bearish,0.5,-0.0029991405559013917,6,3D,-0.0014995702779506959
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.4375,-0.003463147582550792,16,2D,-0.0015151270673659715
Indicator,RSI_State,Overbought,0.6075949367088608,-0.002881619664833069,79,1D,-0.001750857517873257
Indicator,RSI_State,Overbought,0.5189873417721519,-0.004019033306290394,79,3D,-0.0020858274121253943
Candlestick,CDL_PIERCING,Bullish,0.6,-0.0053223787350648475,5,3D,-0.0031934272410389084
Candlestick,CDL_SHOOTING_STAR,Bearish,0.6111111111111112,-0.0053293894837391775,18,1D,-0.00325684912895172
Candlestick,CDL_MORNING_STAR,Bullish,0.6,-0.005650647158354815,5,2D,-0.003390388295012889
Candlestick,CDL_INVERTED_HAMMER,Bullish,0.5,-0.007492385221762862,16,3D,-0.003746192610881431
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6666666666666666,-0.012120148228459847,9,1D,-0.00808009881897323
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.5555555555555556,-0.014574457870801028,9,3D,-0.008096921039333904
Candlestick,CDL_THREE_OUTSIDE,Bullish,0.6666666666666666,-0.021020922621507367,9,2D,-0.014013948414338244
