SignalSource,Pattern,SignalType,SuccessRate,AvgReturn,Count,Horizon,Weight
Candlestick,CDL_MORNING_STAR,Bullish,1.0,0.14446601862501307,1,3D,0.14446601862501307
Candlestick,CDL_MORNING_STAR,Bullish,1.0,0.14411407033832035,1,2D,0.14411407033832035
Candlestick,CDL_MORNING_STAR,Bullish,1.0,0.0286820132730794,1,1D,0.0286820132730794
Candlestick,CDL_HAMMER,Bullish,1.0,0.008222220026333415,5,1D,0.008222220026333415
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6666666666666666,0.007626843993356632,3,2D,0.005084562662237754
Candlestick,CDL_EVENING_STAR,Bearish,0.5,0.009935379640388542,2,3D,0.004967689820194271
Candlestick,CDL_HAMMER,Bullish,0.6,0.007187866685425326,5,2D,0.0043127200112551955
Candlestick,CDL_HARAMI_CROSS,Bearish,0.5,0.007836543713655109,2,1D,0.003918271856827554
Candlestick,CDL_HARAMI,Bearish,0.3333333333333333,0.009345368545227458,6,2D,0.0031151228484091525
Candlestick,CDL_HARAMI,Bearish,0.3333333333333333,0.00831813026242395,6,1D,0.00277271008747465
Candlestick,CDL_THREE_OUTSIDE_UP,Bullish,0.6666666666666666,0.003924728781941648,3,1D,0.0026164858546277652
Indicator,RSI_State,Overbought,0.0,-0.008245023107024102,4,2D,-0.0
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.0,0.055159835557115455,1,3D,0.0
Indicator,CMF_State,Negative,0.0,-0.0018325410137353696,287,2D,-0.0
Indicator,RSI_State,Overbought,0.0,-0.02002442045156999,4,1D,-0.0
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.0,0.0024322871324609086,1,2D,0.0
Candlestick,CDL_PIERCING,Bullish,0.0,-0.03406401336118903,2,2D,-0.0
Candlestick,CDL_THREE_INSIDE_UP,Bearish,0.0,0.012508708325954965,1,1D,0.0
Indicator,RSI_State,Oversold,0.0,-0.0022464222925359222,37,1D,-0.0
Indicator,CMF_State,Negative,0.0,-0.0005878484612488973,287,1D,-0.0
Candlestick,CDL_PIERCING,Bullish,0.0,-0.022389568069025367,2,1D,-0.0
Indicator,CMF_State,Positive,0.0,-0.01765221495836356,17,2D,-0.0
Indicator,CMF_State,Positive,0.0,-0.013438823532700246,17,1D,-0.0
Indicator,CMF_State,Positive,0.0,-0.020497382581795637,17,3D,-0.0
Indicator,RSI_State,Oversold,0.0,-0.0027048114370840873,37,2D,-0.0
Indicator,RSI_State,Oversold,0.0,0.00034627389127261633,37,3D,0.0
Indicator,RSI_State,Overbought,0.0,-0.02702240140042786,4,3D,-0.0
Indicator,CMF_State,Negative,0.0,-0.002954333527816523,287,3D,-0.0
Indicator,MACD_Trend,Bearish,0.5408163265306123,-0.000272575107427526,196,3D,-0.00014741306830264164
Candlestick,CDL_HARAMI,Bearish,0.6666666666666666,-0.00026709644516529724,6,3D,-0.00017806429677686482
Candlestick,CDL_BULLISH_ENGULFING,Bullish,0.3333333333333333,-0.0005954685062299717,9,1D,-0.00019848950207665723
Candlestick,CDL_EVENING_STAR,Bearish,0.5,-0.00048374208230944626,2,1D,-0.00024187104115472313
